state,effective_date,company_name,line_of_business,sub_type_of_insurance,overall_indicated_change,overall_rate_impact,written_premium_change,policyholders_affected,written_premium_for_program,maximum_percent_change,minimum_percent_change,rate_activity,serff_tracking_number,disposition_status,filing_date,source_pdf
ID,01/20/2025,Allstate Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,15.800%,15.000%,608726,2878,4058170,18.600%,9.900%,rate_change,ALSE-134353685,FILED,2024-12-16,output/pdfs/ID/134353685/filing_summary.pdf
ID,01/20/2025,Allstate Property and Casualty Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,3.800%,3.800%,223598,3250,5884151,4.800%,2.600%,rate_change,ALSE-134355084,FILED,2024-12-17,output/pdfs/ID/134355084/filing_summary.pdf
ID,01/20/2025,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,16.200%,15.000%,7487529,36065,49916861,39.100%,2.200%,rate_change,ALSE-134355105,FILED,2024-12-17,output/pdfs/ID/134355105/filing_summary.pdf
ID,01/20/2025,Allstate Indemnity Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,6.100%,6.100%,210679,2038,3453760,6.300%,4.000%,rate_change,ALSE-134358345,FILED,2024-12-19,output/pdfs/ID/134358345/filing_summary.pdf
ID,03/03/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.700%,0.700%,791260,58213,113037198,2.300%,0.000%,rate_change,ALSE-134400261,FILED,2025-01-31,output/pdfs/ID/134400261/filing_summary.pdf
ID,07/08/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),,1.000%,1380,158,138001,13.500%,-1.300%,rate_change,ALSE-134447963,FILED,2025-03-05,output/pdfs/ID/134447963/filing_summary.pdf
ID,05/19/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,103975400,0.000%,0.000%,rate_change,ALSE-134490732,FILED,2025-04-29,output/pdfs/ID/134490732/filing_summary.pdf
ID,06/23/2025,Allstate Fire and Casualty Insurance Company,19.0 Personal Auto,19.0004 Other,6.000%,6.000%,141982,8410,2375260,7.400%,0.000%,rate_change,ALSE-134545039,FILED,2025-05-23,output/pdfs/ID/134545039/filing_summary.pdf
ID,09/23/2025,Allstate North American Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),,-3.900%,-255942,6146,6562626,5.000%,-27.800%,rate_change,ALSE-134644319,FILED,2025-08-19,output/pdfs/ID/134644319/filing_summary.pdf
ID,09/29/2025,Allstate Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,3212622,0.000%,0.000%,rate_change,ALSE-134645740,FILED,2025-08-20,output/pdfs/ID/134645740/filing_summary.pdf
ID,09/29/2025,Allstate Property and Casualty Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,1835614,0.000%,0.000%,rate_change,ALSE-134645740,FILED,2025-08-20,output/pdfs/ID/134645740/filing_summary.pdf
ID,09/29/2025,Allstate Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,4376605,0.000%,0.000%,rate_change,ALSE-134645740,FILED,2025-08-20,output/pdfs/ID/134645740/filing_summary.pdf
ID,01/12/2026,Allstate Insurance Company,04.0 Homeowners,04.0001 Condominium Homeowners,56.200%,25.000%,130466,833,521588,40.200%,4.300%,rate_change,ALSE-134724096,FILED,2025-10-31,output/pdfs/ID/134724096/filing_summary.pdf
ID,01/12/2026,Allstate Indemnity Company,04.0 Homeowners,04.0002 Mobile Homeowners,9.100%,9.100%,205072,2371,2253383,10.700%,2.700%,rate_change,ALSE-134737223,FILED,2025-11-12,output/pdfs/ID/134737223/filing_summary.pdf
ID,03/02/2026,Allstate Vehicle and Property Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,15.000%,7.000%,4607862,38731,65826601,350.000%,-59.000%,rate_change_withdrawn,ALSE-134780087,WITHDRAWN,2025-12-19,output/pdfs/ID/134780087/filing_summary.pdf
ID,03/02/2026,Allstate Property and Casualty Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,12.500%,7.000%,396804,3121,5668628,312.400%,-12.800%,rate_change_withdrawn,ALSE-134810468,WITHDRAWN,2026-01-22,output/pdfs/ID/134810468/filing_summary.pdf
ID,03/02/2026,Allstate Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,14.600%,7.000%,284293,2758,4061334,10.900%,3.600%,rate_change_withdrawn,ALSE-134813879,WITHDRAWN,2026-01-27,output/pdfs/ID/134813879/filing_summary.pdf
ID,03/02/2026,Allstate Indemnity Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,13.800%,7.000%,223100,1959,3187140,117.200%,-3.800%,rate_change_withdrawn,ALSE-134817781,WITHDRAWN,2026-01-29,output/pdfs/ID/134817781/filing_summary.pdf
ID,04/14/2026,Allstate North American Insurance Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,0.000%,-12.100%,,,,,,rate_change,ALSE-134865728,FILED,2026-03-04,output/pdfs/ID/134865728/filing_summary.pdf
ID,03/16/2026,Encompass Indemnity Company,04.0 Homeowners,04.0003 Owner Occupied Homeowners,20.600%,20.600%,626568,1825,3041592,22.500%,13.500%,rate_change,ALSE-134545996,FILED,2025-05-23,output/pdfs/ID/134545996/filing_summary.pdf
ID,09/01/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),10.400%,10.400%,405242,785,3896556,23.700%,0.300%,rate_change,ALSE-134592232,FILED,2025-07-02,output/pdfs/ID/134592232/filing_summary.pdf
ID,06/23/2025,Encompass Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,0,3030299,0.000%,0.000%,rate_change,GMMX-134491469,FILED,2025-04-11,output/pdfs/ID/134491469/filing_summary.pdf
