state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
AZ,HO,ALSE-134052323,Allstate Vehicle and Property Insurance Company,04/15/2024,9.700%,99636,,,,,,,,,none
AZ,HO,ALSE-134052807,Allstate Property and Casualty Insurance Company,04/15/2024,10.600%,16681,,,,,,,,,none
AZ,HO,ALSE-134054902,Allstate Insurance Company,04/15/2024,7.500%,8198,,,,,,,,,none
AZ,HO,ALSE-134054919,Allstate Indemnity Company,04/15/2024,2.300%,7713,,,,,,,,,none
AZ,HO,ALSE-134316124,Allstate Indemnity Company,11/25/2024,10.700%,4016,,,,,,,,,none
AZ,HO,ALSE-134316189,Allstate Indemnity Company,11/25/2024,13.900%,3135,,,,,,,,,none
AZ,HO,ALSE-134322361,Allstate Vehicle and Property Insurance Company,11/25/2024,17.500%,5308,,,,,,,,,none
AZ,HO,ALSE-134489237,Allstate Vehicle and Property Insurance Company,04/21/2025,19.200%,112385,Allstate Vehicle and Property Insurance Company,04/21/25,19.2,112385,True,True,True,True,direct
AZ,HO,ALSE-134489897,Allstate Indemnity Company,04/21/2025,19.500%,7173,Allstate Indemnity Company,04/21/25,19.5,7173,True,True,True,True,direct
AZ,HO,ALSE-134490600,Allstate Insurance Company,04/21/2025,18.300%,7573,Allstate Insurance Company,04/21/25,18.3,7573,True,True,True,True,direct
AZ,HO,ALSE-134491858,Allstate Property and Casualty Insurance Company,04/21/2025,12.700%,15459,Allstate Property and Casualty Insurance Company,04/21/25,12.7,15459,True,True,True,True,direct
AZ,HO,ALSE-134702171,Allstate Vehicle and Property Insurance Company,11/03/2025,0.000%,114578,,,,,,,,,none
AZ,HO,ALSE-134717230,Allstate North American Insurance Company,11/12/2025,-0.100%,9598,,,,,,,,,none
AZ,HO,ALSE-134825039,Allstate North American Insurance Company,03/26/2026,0.000%,20015,,,,,,,,,none
AZ,HO,ALSE-134832470,Allstate North American Insurance Company,02/17/2026,-6.000%,19540,,,,,,,,,none
