state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
AZ,PPA,ALSE-133960970,Allstate Fire and Casualty Insurance Company,02/19/2024,3.200%,151727,,,,,,,,,none
AZ,PPA,ALSE-134148254,Allstate Fire and Casualty Insurance Company,07/01/2024,0.000%,0,,,,,,,,,none
AZ,PPA,ALSE-134180176,Allstate North American Insurance Company,10/04/2024,1.200%,2691,,,,,,,,,none
AZ,PPA,ALSE-134209181,Allstate Fire and Casualty Insurance Company,08/19/2024,3.500%,153257,,,,,,,,,none
AZ,PPA,ALSE-134359169,Allstate North American Insurance Company,01/09/2025,-5.000%,13063,,,,,,,,,none
AZ,PPA,ALSE-134406699,Allstate North American Insurance Company,03/18/2025,0.000%,16271,Allstate North American Insurance Company,03/18/25,0.0,16271,True,True,True,True,direct
AZ,PPA,ALSE-134412703,Allstate Fire and Casualty Insurance Company,02/24/2025,2.200%,147446,Allstate Fire and Casualty Insurance Company,02/24/25,2.2,147446,True,True,True,True,direct
AZ,PPA,ALSE-134458781,Allstate North American Insurance Company,04/07/2025,0.000%,16271,Allstate North American Insurance Company,04/07/25,0.0,16271,True,True,True,True,direct
AZ,PPA,ALSE-134481010,Allstate Fire and Casualty Insurance Company,04/14/2025,18.600%,6831,Allstate Fire and Casualty Insurance Company,04/14/25,18.6,6831,True,True,True,True,direct
AZ,PPA,ALSE-134494603,Allstate Fire and Casualty Insurance Company,05/05/2025,0.000%,0,Allstate Fire and Casualty Insurance Company,05/05/25,0.0,0,True,True,True,True,direct
AZ,PPA,ALSE-134545874,Allstate North American Insurance Company,06/16/2025,3.000%,16271,,,,,,,,,none
AZ,PPA,ALSE-134630441,Allstate Indemnity Company,08/25/2025,14.300%,1559,,,,,,,,,none
AZ,PPA,ALSE-134648125,Allstate Insurance Company,09/15/2025,0.000%,0,,,,,,,,,none
AZ,PPA,ALSE-134648125,Allstate Property and Casualty Insurance Company,09/15/2025,0.000%,0,,,,,,,,,none
AZ,PPA,ALSE-134648125,Allstate Indemnity Company,09/15/2025,0.000%,0,,,,,,,,,none
AZ,PPA,ALSE-134682748,Allstate North American Insurance Company,10/01/2025,-8.000%,42418,,,,,,,,,none
AZ,PPA,ALSE-134842150,Allstate Indemnity Company,02/23/2026,14.000%,1186,,,,,,,,,none
AZ,PPA,ALSE-134842297,Allstate Fire and Casualty Insurance Company,02/23/2026,3.000%,106883,,,,,,,,,none
AZ,PPA,ALSE-134883938,Allstate North American Insurance Company,03/31/2026,-2.000%,58075,,,,,,,,,none
AZ,PPA,ALSE-133925714,Encompass Property and Casualty Company,02/19/2024,19.800%,4479,,,,,,,,,none
AZ,PPA,ALSE-133925737,Encompass Property and Casualty Company,02/19/2024,0.600%,33,,,,,,,,,none
AZ,PPA,ALSE-134148937,Encompass Property and Casualty Company,08/19/2024,0.000%,0,,,,,,,,,none
AZ,PPA,ALSE-134163849,Encompass Property and Casualty Company,08/19/2024,14.900%,3588,,,,,,,,,none
AZ,PPA,ALSE-134164643,Encompass Property and Casualty Company,08/19/2024,7.800%,20,,,,,,,,,none
AZ,PPA,GMMX-134417350,Encompass Property and Casualty Company,02/19/2025,1.300%,2656,Encompass Property and Casualty Company,02/19/25,1.3,2656,True,True,True,True,direct
AZ,PPA,GECC-133941485,GEICO Indemnity Company,02/08/2024,0.000%,30917,,,,,,,,,none
AZ,PPA,GECC-133941485,GEICO Casualty Company,02/08/2024,0.000%,1513557,,,,,,,,,none
AZ,PPA,GECC-133941485,GEICO General Insurance Company,02/08/2024,0.000%,226523,,,,,,,,,none
AZ,PPA,GECC-133941485,Government Employees Insurance Company,02/08/2024,0.000%,80425,,,,,,,,,none
AZ,PPA,GECC-134023761,GEICO Choice Insurance Company,05/11/2024,-10.100%,3665,,,,,,,,,none
AZ,PPA,GECC-134023761,GEICO Secure Insurance Company,05/11/2024,-3.900%,134617,,,,,,,,,none
AZ,PPA,GECC-134108257,GEICO Choice Insurance Company,06/27/2024,0.000%,1694,,,,,,,,,none
AZ,PPA,GECC-134108257,GEICO Secure Insurance Company,06/27/2024,0.000%,118208,,,,,,,,,none
AZ,PPA,GECC-134122296,GEICO Choice Insurance Company,08/22/2024,0.000%,6786,,,,,,,,,none
AZ,PPA,GECC-134170639,GEICO Choice Insurance Company,08/29/2024,-4.600%,10235,,,,,,,,,none
AZ,PPA,GECC-134170639,GEICO Secure Insurance Company,08/29/2024,-3.700%,156407,,,,,,,,,none
AZ,PPA,GECC-134264259,GEICO Indemnity Company,12/19/2024,-3.000%,44389,,,,,,,,,none
AZ,PPA,GECC-134785112,GEICO Advantage Insurance Company,01/14/2026,0.000%,31773,,,,,,,,,none
AZ,PPA,GECC-134785112,GEICO Marine Insurance Company,01/14/2026,0.000%,8834,,,,,,,,,none
AZ,PPA,LBPM-134033458,Liberty Mutual Insurance Company,04/22/2024,1.330%,267,,,,,,,,,none
AZ,PPA,LBPM-134033458,Liberty Mutual Personal Insurance Company,04/22/2024,0.070%,70176,,,,,,,,,none
AZ,PPA,LBPM-134160175,Liberty Insurance Corporation,06/18/2024,-13.200%,1,,,,,,,,,none
AZ,PPA,LBPM-134160175,Liberty Mutual Fire Insurance Company,06/18/2024,-11.600%,634,,,,,,,,,none
