state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
GA,PPA,ALSE-134011252,Allstate Property and Casualty Insurance Company,04/29/2024,15.800%,322740,,,,,,,,,none
GA,PPA,ALSE-134047596,Allstate Insurance Company,05/27/2024,3.600%,28660,,,,,,,,,none
GA,PPA,ALSE-134049478,Allstate Fire and Casualty Insurance Company,05/27/2024,4.300%,46669,,,,,,,,,none
GA,PPA,ALSE-134143152,Allstate Property and Casualty Insurance Company,08/05/2024,0.000%,0,,,,,,,,,none
GA,PPA,ALSE-134217949,Allstate Insurance Company,10/14/2024,0.000%,0,,,,,,,,,none
GA,PPA,ALSE-134217949,Allstate Fire and Casualty Insurance Company,10/14/2024,0.000%,0,,,,,,,,,none
GA,PPA,ALSE-134217949,Allstate Indemnity Company,10/14/2024,0.000%,0,,,,,,,,,none
GA,PPA,ALSE-134217949,Allstate Northbrook Indemnity Company,10/14/2024,0.000%,0,,,,,,,,,none
GA,PPA,ALSE-134243354,Allstate Property and Casualty Insurance Company,11/11/2024,9.900%,322656,,,,,,,,,none
GA,PPA,ALSE-134269695,Allstate Insurance Company,12/02/2024,1.300%,27327,,,,,,,,,none
GA,PPA,ALSE-134449748,Allstate Property and Casualty Insurance Company,05/12/2025,7.400%,293823,Allstate Property and Casualty Insurance Company,05/12/25,7.4,293823,True,True,True,True,direct
GA,PPA,ALSE-134458966,Allstate North American Insurance Company,05/13/2025,4.500%,45750,Allstate North American Insurance Company,05/13/25,4.5,45750,True,True,True,True,direct
GA,PPA,ALSE-134474838,Allstate Northbrook Indemnity Company,07/07/2025,12.300%,2361,Allstate Northbrook Indemnity Company,07/07/25,12.3,2361,True,True,True,True,direct
GA,PPA,ALSE-134475035,Allstate Northbrook Indemnity Company,07/07/2025,9.900%,2361,Allstate Northbrook Indemnity Company,07/07/25,9.9,2361,True,True,True,True,direct
GA,PPA,ALSE-134475529,Allstate Indemnity Company,07/07/2025,20.200%,564,Allstate Indemnity Company,07/07/25,20.2,564,True,True,True,True,direct
GA,PPA,ALSE-134475551,Allstate Indemnity Company,07/07/2025,14.900%,564,Allstate Indemnity Company,07/07/25,14.9,564,True,True,True,True,direct
GA,PPA,ALSE-134493977,Allstate Property and Casualty Insurance Company,06/09/2025,0.000%,0,Allstate Property and Casualty Insurance Company,06/09/25,0.0,0,True,True,True,True,direct
GA,PPA,ALSE-134546946,Allstate North American Insurance Company,07/22/2025,0.000%,70620,Allstate North American Insurance Company,07/22/25,0.0,70620,True,True,True,True,direct
GA,PPA,ALSE-134645688,Allstate Insurance Company,10/20/2025,0.000%,0,Allstate Insurance Company,10/20/25,0.0,0,True,True,True,True,direct
GA,PPA,ALSE-134645688,Allstate Fire and Casualty Insurance Company,10/20/2025,0.000%,0,Allstate Fire and Casualty Insurance Company,10/20/25,0.0,0,True,True,True,True,direct
GA,PPA,ALSE-134645688,Allstate Indemnity Company,10/20/2025,0.000%,0,Allstate Indemnity Company,10/20/25,0.0,0,True,True,True,True,direct
GA,PPA,ALSE-134645688,Allstate Northbrook Indemnity Company,10/20/2025,0.000%,0,Allstate Northbrook Indemnity Company,10/20/25,0.0,0,True,True,True,True,direct
GA,PPA,ALSE-134647745,Allstate North American Insurance Company,10/21/2025,0.000%,96961,Allstate North American Insurance Company,10/21/25,0.0,96961,True,True,True,True,direct
GA,PPA,ALSE-134677014,Allstate Property and Casualty Insurance Company,12/01/2025,4.500%,235266,Allstate Property and Casualty Insurance Company,12/01/25,4.5,235266,True,True,True,True,direct
GA,PPA,ALSE-134681805,Allstate Property and Casualty Insurance Company,11/24/2025,3.900%,14628,Allstate Property and Casualty Insurance Company,11/24/25,3.9,14628,True,True,True,True,direct
GA,PPA,ALSE-134746590,Allstate Northbrook Indemnity Company,01/12/2026,11.800%,1367,Allstate Northbrook Indemnity Company,01/12/26,11.8,1367,True,True,True,True,direct
GA,PPA,ALSE-134747805,Allstate Northbrook Indemnity Company,01/12/2026,11.300%,1367,Allstate Northbrook Indemnity Company,01/12/26,11.3,1367,True,True,True,True,direct
GA,PPA,ALSE-134749100,Allstate Indemnity Company,01/12/2026,4.000%,502,Allstate Indemnity Company,01/12/26,4.0,502,True,True,True,True,direct
GA,PPA,ALSE-134749181,Allstate Indemnity Company,01/12/2026,7.000%,502,Allstate Indemnity Company,01/12/26,7.0,502,True,True,True,True,direct
GA,PPA,ALSE-134827619,Allstate North American Insurance Company,03/01/2026,-5.000%,89629,Allstate North American Insurance Company,03/01/26,-5.0,89629,True,True,True,True,direct
GA,PPA,ALSE-133920285,Encompass Insurance Company of America,03/29/2024,12.500%,309,,,,,,,,,none
GA,PPA,ALSE-133920285,Encompass Indemnity Company,03/29/2024,12.500%,1084,,,,,,,,,none
GA,PPA,ALSE-133920285,Encompass Home and Auto Insurance Company,03/29/2024,12.500%,6710,,,,,,,,,none
GA,PPA,ALSE-133932028,Encompass Independent Insurance Company,03/24/2024,12.500%,10814,,,,,,,,,none
GA,PPA,ALSE-134032060,Encompass Independent Insurance Company,05/15/2024,0.000%,0,,,,,,,,,none
GA,PPA,ALSE-134144230,Encompass Independent Insurance Company,09/16/2024,0.000%,0,,,,,,,,,none
GA,PPA,ALSE-134144288,Encompass Home and Auto Insurance Company,09/16/2024,0.000%,0,,,,,,,,,none
GA,PPA,ALSE-134176029,Encompass Independent Insurance Company,10/27/2024,12.500%,10108,,,,,,,,,none
GA,PPA,ALSE-134183977,Encompass Home and Auto Insurance Company,11/10/2024,12.300%,6223,,,,,,,,,none
GA,PPA,ALSE-134355124,Encompass Independent Insurance Company,05/05/2025,12.500%,8317,Encompass Independent Insurance Company,05/05/25,12.5,8317,True,True,True,True,direct
GA,PPA,GMMX-134491672,Encompass Independent Insurance Company,07/21/2025,0.000%,0,Encompass Independent Insurance Company,07/21/25,0.0,0,True,True,True,True,direct
GA,PPA,GMMX-134492978,Encompass Home and Auto Insurance Company,07/21/2025,0.000%,0,Encompass Home and Auto Insurance Company,07/21/25,0.0,0,True,True,True,True,direct
