state,line,subsidiary,effective_date,impact,policyholders
GA,PPA,Travelers Property Casualty Insurance Company,04/12/26,0.0,107612
GA,PPA,Travelers Property Casualty Insurance Company,02/15/26,0.3,107101
GA,PPA,Allstate North American Insurance Company,02/17/26,0.0,0
GA,PPA,Progressive American Insurance Company,12/05/25,-2.7,1584
GA,PPA,Progressive Freedom Insurance Company,12/05/25,-2.7,82918
GA,PPA,Progressive Mountain Insurance Company,12/05/25,-2.7,394829
GA,PPA,Progressive Southeastern Insurance Company,12/05/25,-2.7,1557
GA,PPA,Progressive Advanced Insurance Company,12/05/25,1.9,939
GA,PPA,Progressive Choice Insurance Company,12/05/25,3.6,139214
GA,PPA,Progressive Direct Insurance Company,12/05/25,1.9,583
GA,PPA,Progressive Premier Insurance Company of Illinois,12/05/25,1.9,460416
