state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
MT,HO,ALSE-134133869,Allstate Indemnity Company,07/29/2024,22.400%,505,,,,,,,,,none
MT,HO,ALSE-134137141,Allstate Vehicle and Property Insurance Company,07/08/2024,4.500%,5233,,,,,,,,,none
MT,HO,ALSE-134556264,Allstate Vehicle and Property Insurance Company,07/07/2025,3.000%,5809,Allstate Vehicle and Property Insurance Company,07/07/25,3.0,5809,True,True,True,True,direct
MT,HO,ALSE-134608548,Allstate Vehicle and Property Insurance Company,10/06/2025,0.000%,6015,,,,,,,,,none
MT,HO,ALSE-134863872,Allstate Insurance Company,04/06/2026,20.100%,642,Allstate Insurance Company,04/06/26,20.1,642,True,True,True,True,direct
MT,HO,LBPM-133923055,Liberty Mutual Fire Insurance Company,02/01/2024,22.800%,2438,,,,,,,,,none
MT,HO,LBPM-133923055,Liberty Mutual Insurance Company,02/01/2024,8.000%,225,,,,,,,,,none
MT,HO,LBPM-134778720,Liberty Mutual Fire Insurance Company,01/31/2026,6.000%,1681,Liberty Mutual Fire Insurance Company,01/31/26,6.0,1681,True,True,True,True,direct
MT,HO,LBPM-133909702,Safeco Insurance Company of America,04/22/2024,24.000%,26143,,,,,,,,,none
MT,HO,LBPM-134101230,Safeco Insurance Company of America,10/23/2024,13.000%,32028,,,,,,,,,none
MT,HO,SFMA-133900830,State Farm Fire and Casualty Company,01/15/2024,8.700%,92265,,,,,,,,,none
MT,HO,SFMA-134074421,State Farm Fire and Casualty Company,07/01/2024,-0.100%,4080,,,,,,,,,none
MT,HO,SFMA-134217410,State Farm Fire and Casualty Company,10/15/2024,10.000%,96178,,,,,,,,,none
MT,HO,SFMA-134524072,State Farm Fire and Casualty Company,07/15/2025,0.000%,99778,,,,,,,,,none
MT,HO,TRVD-134030789,Travelers Personal Insurance Company,04/05/2024,0.000%,20461,,,,,,,,,none
MT,HO,TRVD-G134243122,Travelers Personal Insurance Company,10/04/2024,12.400%,21070,,,,,,,,,none
MT,HO,TRVD-G134776712,Travelers Personal Insurance Company,02/15/2026,0.000%,20583,,,,,,,,,none
