state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
NM,PPA,ALSE-133990584,Allstate Fire and Casualty Insurance Company,03/04/2024,2.700%,42197,,,,,,,,,none
NM,PPA,ALSE-134108387,Allstate Fire and Casualty Insurance Company,06/03/2024,0.000%,0,,,,,,,,,none
NM,PPA,ALSE-134209197,Allstate Fire and Casualty Insurance Company,09/09/2024,0.000%,42009,,,,,,,,,none
NM,PPA,ALSE-134217987,Allstate Insurance Company,09/09/2024,0.000%,0,,,,,,,,,none
NM,PPA,ALSE-134217987,Allstate Property and Casualty Insurance Company,09/09/2024,0.000%,0,,,,,,,,,none
NM,PPA,ALSE-134217987,Allstate Indemnity Company,09/09/2024,0.000%,0,,,,,,,,,none
NM,PPA,ALSE-134422238,Allstate Fire and Casualty Insurance Company,03/10/2025,2.300%,42058,Allstate Fire and Casualty Insurance Company,03/10/25,2.3,42058,True,True,True,True,direct
NM,PPA,ALSE-134422258,Allstate Indemnity Company,03/10/2025,2.200%,920,Allstate Indemnity Company,03/10/25,2.2,920,True,True,True,True,direct
NM,PPA,ALSE-134494530,Allstate Fire and Casualty Insurance Company,05/05/2025,0.000%,0,Allstate Fire and Casualty Insurance Company,05/05/25,0.0,0,True,True,True,True,direct
NM,PPA,ALSE-134629045,Allstate Insurance Company,08/18/2025,0.000%,0,Allstate Insurance Company,08/18/25,0.0,0,True,True,True,True,direct
NM,PPA,ALSE-134629045,Allstate Property and Casualty Insurance Company,08/18/2025,0.000%,0,Allstate Property and Casualty Insurance Company,08/18/25,0.0,0,True,True,True,True,direct
NM,PPA,ALSE-134629045,Allstate Indemnity Company,08/18/2025,0.000%,0,Allstate Indemnity Company,08/18/25,0.0,0,True,True,True,True,direct
NM,PPA,ALSE-134689922,Allstate North American Insurance Company,10/20/2025,-7.000%,3107,Allstate North American Insurance Company,10/20/25,-7.0,3107,True,True,True,True,direct
NM,PPA,ALSE-134113978,Encompass Indemnity Company,07/15/2024,0.000%,0,,,,,,,,,none
NM,PPA,GMMX-134490358,Encompass Indemnity Company,06/23/2025,0.000%,0,Encompass Indemnity Company,06/23/25,0.0,0,True,True,True,True,direct
NM,PPA,GMMX-134513161,Encompass Indemnity Company,05/12/2025,10.100%,344,Encompass Indemnity Company,05/12/25,10.1,344,True,True,True,True,direct
NM,PPA,GECC-133985623,GEICO Indemnity Company,03/14/2024,0.000%,2503,,,,,,,,,none
NM,PPA,GECC-133985623,GEICO Casualty Company,03/14/2024,0.000%,33,,,,,,,,,none
NM,PPA,GECC-133985623,GEICO General Insurance Company,03/14/2024,0.000%,9723,,,,,,,,,none
NM,PPA,GECC-133985623,Government Employees Insurance Company,03/14/2024,0.000%,5555,,,,,,,,,none
NM,PPA,GECC-133985623,GEICO Advantage Insurance Company,03/14/2024,0.000%,23373,,,,,,,,,none
NM,PPA,GECC-133985623,GEICO Choice Insurance Company,03/14/2024,0.000%,8575,,,,,,,,,none
NM,PPA,GECC-133985623,GEICO Secure Insurance Company,03/14/2024,0.000%,29734,,,,,,,,,none
NM,PPA,GECC-134027727,GEICO Secure Insurance Company,04/11/2024,-0.700%,33945,,,,,,,,,none
NM,PPA,GECC-134652522,GEICO Secure Insurance Company,09/22/2025,2.500%,44348,GEICO Secure Insurance Company,09/22/25,2.5,44348,True,True,True,True,direct
NM,PPA,LBPM-133915768,Liberty Mutual Insurance Company,01/22/2024,0.000%,51,,,,,,,,,none
NM,PPA,LBPM-133915768,Liberty Mutual Personal Insurance Company,01/22/2024,0.000%,10089,,,,,,,,,none
NM,PPA,LBPM-133923739,Liberty Insurance Corporation,02/26/2024,22.000%,5,,,,,,,,,none
NM,PPA,LBPM-133923739,Liberty Mutual Fire Insurance Company,02/26/2024,19.900%,408,,,,,,,,,none
NM,PPA,LBPM-133923739,The First Liberty Insurance Corporation,02/26/2024,20.800%,14,,,,,,,,,none
NM,PPA,LBPM-134160476,Liberty Mutual Insurance Company,07/02/2024,-7.000%,26,,,,,,,,,none
NM,PPA,LBPM-134160476,Liberty Mutual Personal Insurance Company,07/02/2024,-10.500%,8285,,,,,,,,,none
NM,PPA,LBPM-134160588,Liberty Insurance Corporation,08/06/2024,-3.300%,5,,,,,,,,,none
NM,PPA,LBPM-134160588,Liberty Mutual Fire Insurance Company,08/06/2024,-7.300%,323,,,,,,,,,none
NM,PPA,LBPM-134160588,The First Liberty Insurance Corporation,08/06/2024,-6.500%,11,,,,,,,,,none
NM,PPA,LBPM-134276691,Liberty Mutual Insurance Company,11/18/2024,0.000%,26,,,,,,,,,none
NM,PPA,LBPM-134276691,Liberty Mutual Personal Insurance Company,11/18/2024,0.000%,8285,,,,,,,,,none
NM,PPA,LBPM-134571022,Liberty Mutual Insurance Company,07/18/2025,0.000%,15,Liberty Mutual Insurance Company,07/18/25,0.0,15,True,True,True,True,direct
NM,PPA,LBPM-134571022,Liberty Mutual Personal Insurance Company,07/18/2025,0.000%,8474,Liberty Mutual Personal Insurance Company,07/18/25,0.0,8474,True,True,True,True,direct
NM,PPA,LBPM-134861413,Liberty Mutual Insurance Company,03/27/2026,4.200%,11,,,,,,,,,none
NM,PPA,LBPM-134861413,Liberty Mutual Personal Insurance Company,03/27/2026,3.000%,14025,,,,,,,,,none
NM,PPA,GNSC-134003220,"MGA Insurance Company, Inc.",02/25/2024,9.100%,8022,,,,,,,,,none
NM,PPA,GNSC-134070488,"MGA Insurance Company, Inc.",04/18/2024,0.000%,8117,,,,,,,,,none
NM,PPA,GNSC-134334623,"MGA Insurance Company, Inc.",12/06/2024,0.000%,7864,,,,,,,,,none
NM,PPA,GNSC-134571446,"MGA Insurance Company, Inc.",06/20/2025,-10.600%,7811,"MGA Insurance Company, Inc.",06/20/25,-10.6,7811,True,True,True,True,direct
NM,PPA,GNSC-134767424,"MGA Insurance Company, Inc.",01/23/2026,-11.200%,7748,"MGA Insurance Company, Inc.",01/23/26,-11.2,7748,True,True,True,True,direct
NM,PPA,PRGS-134031926,Progressive Casualty Insurance Company,03/15/2024,0.000%,91,,,,,,,,,none
NM,PPA,PRGS-134031926,Progressive Direct Insurance Company,03/15/2024,0.000%,98329,,,,,,,,,none
NM,PPA,PRGS-134031926,Progressive Northern Insurance Company,03/15/2024,0.000%,63211,,,,,,,,,none
NM,PPA,PRGS-134031926,Progressive Preferred Insurance Company,03/15/2024,0.000%,475,,,,,,,,,none
