state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
UT,PPA,ALSE-134148368,Allstate Fire and Casualty Insurance Company,07/01/2024,0.000%,0,,,,,,,,,none
UT,PPA,ALSE-134149542,Allstate Fire and Casualty Insurance Company,06/24/2024,1.500%,105270,,,,,,,,,none
UT,PPA,ALSE-134182158,Allstate North American Insurance Company,07/30/2024,0.000%,1128,,,,,,,,,none
UT,PPA,ALSE-134221060,Allstate Fire and Casualty Insurance Company,01/01/2025,0.000%,105270,,,,,,,,,none
UT,PPA,ALSE-134221152,Allstate Indemnity Company,01/01/2025,0.000%,2364,,,,,,,,,none
UT,PPA,ALSE-134221244,Allstate Indemnity Company,01/01/2025,0.000%,182,,,,,,,,,none
UT,PPA,ALSE-134221581,Allstate Insurance Company,01/01/2025,0.000%,3629,,,,,,,,,none
UT,PPA,ALSE-134221668,Allstate Property and Casualty Insurance Company,01/01/2025,0.000%,1083,,,,,,,,,none
UT,PPA,ALSE-134223835,Allstate Property and Casualty Insurance Company,01/01/2025,0.000%,23949,,,,,,,,,none
UT,PPA,ALSE-134228970,Allstate Insurance Company,09/23/2024,0.000%,0,,,,,,,,,none
UT,PPA,ALSE-134228970,Allstate Property and Casualty Insurance Company,09/23/2024,0.000%,0,,,,,,,,,none
UT,PPA,ALSE-134228970,Allstate Indemnity Company,09/23/2024,0.000%,0,,,,,,,,,none
UT,PPA,ALSE-134412807,Allstate North American Insurance Company,02/27/2025,-10.000%,11400,,,,,,,,,none
UT,PPA,ALSE-134485149,Allstate North American Insurance Company,04/21/2025,0.000%,11400,,,,,,,,,none
UT,PPA,ALSE-134494538,Allstate Fire and Casualty Insurance Company,05/05/2025,0.000%,0,,,,,,,,,none
UT,PPA,ALSE-134507608,Allstate Fire and Casualty Insurance Company,06/16/2025,1.400%,86301,Allstate Fire and Casualty Insurance Company,05/19/25,1.4,86301,True,True,False,True,date_relaxed
UT,PPA,ALSE-134600254,Allstate North American Insurance Company,08/19/2025,-0.300%,17653,,,,,,,,,none
UT,PPA,ALSE-134652121,Allstate Insurance Company,09/15/2025,0.000%,0,,,,,,,,,none
UT,PPA,ALSE-134652121,Allstate Property and Casualty Insurance Company,09/15/2025,0.000%,0,,,,,,,,,none
UT,PPA,ALSE-134652121,Allstate Indemnity Company,09/15/2025,0.000%,0,,,,,,,,,none
UT,PPA,ALSE-134740715,Allstate Property and Casualty Insurance Company,12/01/2025,9.900%,7642,Allstate Property and Casualty Insurance Company,11/24/25,9.9,7642,True,True,False,True,date_relaxed
UT,PPA,ALSE-134771605,Allstate Indemnity Company,01/19/2026,5.600%,1374,Allstate Indemnity Company,12/23/25,5.6,1374,True,True,False,True,date_relaxed
UT,PPA,GECC-133948780,GEICO Indemnity Company,02/15/2024,0.000%,917,,,,,,,,,none
UT,PPA,GECC-133948780,GEICO Casualty Company,02/15/2024,0.000%,60025,,,,,,,,,none
UT,PPA,GECC-133948780,GEICO General Insurance Company,02/15/2024,0.000%,7663,,,,,,,,,none
UT,PPA,GECC-133948780,Government Employees Insurance Company,02/15/2024,0.000%,2646,,,,,,,,,none
UT,PPA,GECC-133948780,GEICO Choice Insurance Company,02/15/2024,0.000%,419,,,,,,,,,none
UT,PPA,GECC-133948780,GEICO Secure Insurance Company,02/15/2024,0.000%,27555,,,,,,,,,none
UT,PPA,GECC-134019362,GEICO Choice Insurance Company,04/11/2024,-10.400%,1503,,,,,,,,,none
UT,PPA,GECC-134019362,GEICO Secure Insurance Company,04/11/2024,-2.900%,12902,,,,,,,,,none
UT,PPA,GECC-134037419,GEICO Choice Insurance Company,05/16/2024,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134037419,GEICO Secure Insurance Company,05/16/2024,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134123703,GEICO Choice Insurance Company,09/12/2024,0.000%,2142,,,,,,,,,none
UT,PPA,GECC-134182398,GEICO Choice Insurance Company,08/15/2024,-6.700%,3265,,,,,,,,,none
UT,PPA,GECC-134182398,GEICO Secure Insurance Company,08/15/2024,-6.700%,36762,,,,,,,,,none
UT,PPA,GECC-134224320,GEICO Secure Insurance Company,10/08/2024,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134263694,GEICO Indemnity Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134263694,GEICO Casualty Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134263694,GEICO General Insurance Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134263694,Government Employees Insurance Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134263694,GEICO Choice Insurance Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134263694,GEICO Secure Insurance Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134264301,GEICO Indemnity Company,01/01/2025,0.000%,0,,,,,,,,,none
UT,PPA,GECC-134389837,GEICO Indemnity Company,03/10/2025,0.000%,13481,,,,,,,,,none
UT,PPA,GECC-134419173,GEICO Indemnity Company,03/10/2025,0.000%,13481,,,,,,,,,none
