timestamp,state,term,outcome,duration_s,n_doc_responses,last_doc_status,retry_after
2026-06-11T09:56:50.550,VA,State Farm,ok,4.9,4,200,
2026-06-11T09:59:46.357,VA,GEICO,ok,3.9,4,200,
2026-06-11T10:04:59.159,VA,Progressive,ok,6.4,4,200,
2026-06-11T10:10:22.206,VA,Allstate,ok,4.1,4,200,
2026-06-11T10:39:47.781,VA,Travelers,ok,3.9,4,200,
2026-06-11T11:10:11.942,VA,Liberty Mutual,ok,4.3,4,200,
2026-06-11T11:13:47.206,VA,Safeco,ok,4.1,4,200,
2026-06-11T11:16:37.474,VA,Encompass,ok,4.1,4,200,
2026-06-11T11:20:01.691,VA,MGA Insurance,begin_search_link_timeout,30.6,1,405,
2026-06-11T11:20:35.360,VA,USAA,begin_search_link_timeout,30.7,1,405,
2026-06-11T11:21:08.871,VA,United Services,begin_search_link_timeout,30.6,1,405,
2026-06-11T11:21:15.854,VA,Garrison,ok,4.0,4,200,
2026-06-11T11:22:55.569,VA,Farmers,ok,4.0,4,200,
2026-06-11T11:25:45.502,VA,Mid-Century,begin_search_link_timeout,30.4,1,405,
2026-06-11T11:26:19.045,VA,Fire Insurance Exchange,begin_search_link_timeout,30.5,1,405,
2026-06-11T11:26:52.861,VA,Truck Insurance Exchange,begin_search_link_timeout,30.8,1,405,
2026-06-11T11:27:00.288,VA,Nationwide,ok,4.4,4,200,
2026-06-11T11:45:47.620,VA,American Family,ok,4.2,4,200,
2026-06-11T11:49:25.658,VA,Country,begin_search_link_timeout,30.6,1,405,
2026-06-11T11:50:59.873,VA,MGA Insurance,ok,4.3,4,200,
2026-06-11T11:54:46.291,VA,USAA,ok,4.3,4,200,
2026-06-11T11:58:59.543,VA,United Services,ok,4.3,4,200,
2026-06-11T12:03:53.081,VA,Mid-Century,ok,4.4,4,200,
2026-06-11T12:10:08.418,VA,Fire Insurance Exchange,ok,4.2,4,200,
2026-06-11T12:14:49.949,VA,Truck Insurance Exchange,ok,4.1,4,200,
2026-06-11T12:22:04.908,VA,Country,ok,4.3,4,200,
