state,serff_tracking_number,company_name,sub_type_of_insurance,effective_date,source,external_validation,match_strength,validation_tier
ID,ALSE-133920243,Allstate Vehicle and Property Insurance Company,04.0003 Owner Occupied Homeowners,01/22/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-133922065,Allstate Insurance Company,04.0003 Owner Occupied Homeowners,01/22/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-133923427,Allstate Indemnity Company,04.0003 Owner Occupied Homeowners,01/22/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-133924608,Allstate Property and Casualty Insurance Company,04.0003 Owner Occupied Homeowners,01/22/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134145361,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),07/15/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134163422,Allstate Indemnity Company,19.0001 Private Passenger Auto (PPA),08/05/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134168088,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),08/05/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134230449,Allstate Insurance Company,19.0001 Private Passenger Auto (PPA),10/07/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134230449,Allstate Property and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),10/07/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134230449,Allstate Indemnity Company,19.0001 Private Passenger Auto (PPA),10/07/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134296907,Allstate Indemnity Company,04.0002 Mobile Homeowners,11/25/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134297132,Allstate Insurance Company,04.0000 Homeowners Sub-TOI Combinations,11/25/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134311611,Allstate North American Insurance Company,19.0001 Private Passenger Auto (PPA),12/09/2024,extension,pipeline_extracted,,pipeline_only
ID,ALSE-134353685,Allstate Insurance Company,04.0003 Owner Occupied Homeowners,01/20/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134355084,Allstate Property and Casualty Insurance Company,04.0003 Owner Occupied Homeowners,01/20/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134355105,Allstate Vehicle and Property Insurance Company,04.0003 Owner Occupied Homeowners,01/20/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134358345,Allstate Indemnity Company,04.0003 Owner Occupied Homeowners,01/20/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134400261,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),03/03/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134447963,Allstate North American Insurance Company,19.0001 Private Passenger Auto (PPA),07/08/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134490732,Allstate Fire and Casualty Insurance Company,19.0001 Private Passenger Auto (PPA),05/19/2025,original,pipeline_extracted,,pipeline_only
ID,ALSE-134545039,Allstate Fire and Casualty Insurance Company,19.0004 Other,06/23/2025,original,pipeline_extracted,,pipeline_only
