source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,e53533db1721,PPA,State Farm Group,State Farm Fire and Casualty Company,04/27/26,05/28/26,,12.9,-5.7,-921513,10049,16154975,204.3,-26.2,Rate,False
1,e53533db1721,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,04/27/26,05/28/26,,-0.2,-7.6,-14429498,233049,190380437,513.4,-66.9,Rate,False
1,5c252f94412c,PPA,,,05/01/26,10/13/25,1.7,,,,,,,,Rate,False
1,5c55d2ef295a,PPA,State Farm Group,State Farm Fire and Casualty Company,04/27/26,11/19/25,-0.2,12.9,-5.7,-921513,10049,16154975,204.3,-26.2,Rate,False
1,5c55d2ef295a,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,04/27/26,11/19/25,-0.2,-0.2,-7.6,-14429498,233049,190380437,513.4,-66.9,Rate,False
1,5c55d2ef295a,PPA,State Farm Group,State Farm Fire and Casualty Company,04/27/26,11/19/25,12.9,12.9,-5.7,-921513,10049,16154975,204.3,-26.2,Rate,False
1,5c55d2ef295a,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,04/27/26,11/19/25,12.9,-0.2,-7.6,-14429498,233049,190380437,513.4,-66.9,Rate,False
1,d1db34969b5b,PPA,,,05/01/26,11/12/25,-0.4,,,,,,,,Rate,False
1,363766da9580,PPA,Allstate Insurance Group,Allstate North American Insurance Company,04/28/26,04/22/26,,,-4.0,-740711,8816,18517786,-3.9,-4.1,Rate,False
1,6374a6291065,HO,State Farm Group,State Farm Fire and Casualty Company,03/15/26,12/23/25,23.5,23.5,19.3,125506,1793,648658,27.9,0.0,Rate,False
1,a569b54d9e01,PPA,Amica Mutual Group,,04/01/26,12/04/25,,,,,,,,,Rate,True
1,33b1da9375aa,HO,,Hartford Fire Insurance Company,04/02/26,01/14/26,,0.0,-15.0,14426,102,96175,0.8,-21.1,Rate,False
1,b9f463797def,HO,Allstate Insurance Group,Allstate North American Insurance Company,04/07/26,03/20/26,,0.0,-5.0,-81404,947,1628089,-3.9,-5.2,Rate,False
1,a1794b515d9c,PPA,Allstate Insurance Group,Allstate North American Insurance Company,04/14/26,11/25/25,,0.0,0.0,0,5787,12598171,0.0,0.0,Rate,False
1,561debd0098f,PPA,,Progressive Casualty Insurance Company,04/10/26,04/24/26,-5.863,-5.863,-2.99,-247,11,8278,14.8,-4.6,Rate,False
1,561debd0098f,PPA,,Progressive Direct Insurance Company,04/10/26,04/24/26,-5.863,-3.27,-3.31,-1097616,31099,33201839,20.9,-8.8,Rate,False
1,561debd0098f,PPA,,Progressive Northwestern Insurance Company,04/10/26,04/24/26,-5.863,-5.863,-2.99,-5279,159,176617,14.8,-4.6,Rate,False
1,561debd0098f,PPA,,Progressive Specialty Insurance Company,04/10/26,04/24/26,-5.863,-5.863,-2.99,-365407,11887,12226080,14.8,-4.6,Rate,False
1,561debd0098f,PPA,,Progressive Casualty Insurance Company,04/10/26,04/24/26,-3.27,-5.863,-2.99,-247,11,8278,14.8,-4.6,Rate,False
1,561debd0098f,PPA,,Progressive Direct Insurance Company,04/10/26,04/24/26,-3.27,-3.27,-3.31,-1097616,31099,33201839,20.9,-8.8,Rate,False
1,561debd0098f,PPA,,Progressive Northwestern Insurance Company,04/10/26,04/24/26,-3.27,-5.863,-2.99,-5279,159,176617,14.8,-4.6,Rate,False
1,561debd0098f,PPA,,Progressive Specialty Insurance Company,04/10/26,04/24/26,-3.27,-5.863,-2.99,-365407,11887,12226080,14.8,-4.6,Rate,False
1,3a1ad4b83c22,PPA,,GEICO Casualty Company,04/09/26,04/15/26,-1.1,-1.1,-5.0,-182387,3595,3647738,1.0,-9.6,Rate,False
1,3a1ad4b83c22,PPA,,GEICO Marine Insurance Company,04/09/26,04/15/26,-1.1,-1.1,-4.6,-3481,66,75671,0.2,-8.1,Rate,False
1,3a1ad4b83c22,PPA,,GEICO Casualty Company,04/09/26,04/15/26,-1.1,-1.1,-5.0,-182387,3595,3647738,1.0,-9.6,Rate,False
1,3a1ad4b83c22,PPA,,GEICO Marine Insurance Company,04/09/26,04/15/26,-1.1,-1.1,-4.6,-3481,66,75671,0.2,-8.1,Rate,False
1,81975ad4757c,PPA,,American Family Home Insurance Company,03/01/26,12/24/25,10.3,10.3,6.0,9397,332,156193,51.8,-2.6,Rate,False
1,ee40fc67dcb2,HO,,,02/01/26,08/04/25,8.6,,,,,,,,Rate,False
1,ee40fc67dcb2,HO,,,02/01/26,08/04/25,8.4,,,,,,,,Rate,False
1,01e7fbbb86ca,PPA,Amica Mutual Group,,02/01/26,08/14/25,,,,,,,,,Rate,True
1,135e9cd69b66,HO,Allstate Insurance Group,Allstate Insurance Company,02/09/26,12/23/25,12.1,12.1,12.1,217353,2411,1796401,13.4,7.3,Rate,False
1,150cbde0c08e,PPA,,Midvale Indemnity Company,01/14/26,11/04/25,,0.0,6.5,10495,75,161320,13.7,-0.6,Rate,False
1,2b3ce187605b,HO,IAT Insurance Group,Occidental Fire & Casualty Company of North Carolina,01/20/26,12/22/25,49.2,49.2,31.6,1968227,3397,6233309,109.3,-11.8,Rate,False
1,9b0de6a4eea8,PPA,Allstate Insurance Group,Allstate Property and Casualty Insurance Company,01/26/26,12/05/25,7.1,7.1,7.1,66188,3048,932224,13.1,0.0,Rate,False
1,31a56e23d2b4,PPA,Allstate Insurance Group,Allstate Property and Casualty Insurance Company,01/26/26,12/05/25,38.0,38.0,32.9,174721,1604,531068,84.9,0.0,Rate,False
1,5545e84f88d7,HO,,,12/15/25,06/26/25,,,,,,,,,Rate,True
1,7c016ce11d9d,HO,,COUNTRY Preferred Insurance Company,12/15/25,08/18/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,e64b094647b3,PPA,Allstate Insurance Group,Allstate North American Insurance Company,12/01/25,11/12/25,,0.0,-1.2,-151178,5787,12598171,0.0,0.0,Rate,False
1,1f091ba4b699,PPA,Amica Mutual Group,Amica Mutual Insurance Company,11/01/25,06/27/25,9.3,9.3,6.1,22566,151,369930,10.0,-3.0,Rate,False
1,7084d15f5f27,PPA,,Safeco Insurance Company of Illinois,11/11/25,07/09/25,9.5,9.5,9.5,55469,1383,585407,23.2,0.0,Rate,False
1,3ef9ca108c74,PPA,USAA Group,Garrison Property and Casualty Insurance Company,10/18/25,06/23/25,,,0.0,0,0,14194876,0.0,0.0,Rate,False
1,3ef9ca108c74,PPA,USAA Group,USAA Casualty Insurance Company,10/18/25,06/23/25,,,0.0,0,0,28627584,0.0,0.0,Rate,False
1,3ef9ca108c74,PPA,USAA Group,USAA General Indemnity Company,10/18/25,06/23/25,,,0.0,0,0,26668896,0.0,0.0,Rate,False
1,3ef9ca108c74,PPA,USAA Group,United Services Automobile Association,10/18/25,06/23/25,,,0.0,0,0,34741188,0.0,0.0,Rate,False
1,b4d645af9bff,PPA,,,12/01/25,10/28/25,,,,,,,,,Rate,True
1,1d10e95b96d2,PPA,,GEICO Advantage Insurance Company,11/25/25,10/23/25,,0.0,0.0,0,1462,844007,24.8,-26.5,Rate,False
1,1d10e95b96d2,PPA,,GEICO Choice Insurance Company,11/25/25,10/23/25,,0.0,0.0,0,166,187254,21.6,-18.0,Rate,False
1,1d10e95b96d2,PPA,,GEICO General Insurance Company,11/25/25,10/23/25,,0.0,0.0,0,509,261645,28.9,-24.3,Rate,False
1,1d10e95b96d2,PPA,,GEICO Indemnity Company,11/25/25,10/23/25,,0.0,0.0,0,89,79638,28.0,-16.9,Rate,False
1,1d10e95b96d2,PPA,,GEICO Secure Insurance Company,11/25/25,10/23/25,,0.0,0.0,0,191,41548,19.4,-16.7,Rate,False
1,1d10e95b96d2,PPA,,Government Employees Insurance Company,11/25/25,10/23/25,,0.0,0.0,0,282,168316,25.8,-22.0,Rate,False
1,ee5ca0aac90f,PPA,,Progressive Direct Insurance Company,09/26/25,05/29/25,-2.1,-2.1,0.6,20443,6135,3407246,88.0,-42.5,Rate,False
1,ee5ca0aac90f,PPA,,Progressive Northwestern Insurance Company,09/26/25,05/29/25,-2.1,-2.1,-2.3,-25022,1647,1087926,58.6,-33.3,Rate,False
