source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,5a98b8691088,PPA,,Bristol West Insurance Company,12/15/25,12/15/25,,0.0,0.0,0,661,4299459,0.0,0.0,Rate,False
1,a237ea8101b0,PPA,,Equity Insurance Company,01/01/26,12/08/25,13.44,13.44,9.82,1014030,5056,10326171,20.0,-20.0,Rate,False
1,da98ab3b4d34,PPA,,Traders Insurance Company,11/26/25,11/17/25,-2.5,-2.5,-2.12,-160854,8946,7595540,22.91,-27.25,Rate,False
1,7719be5ad6e6,PPA,,GEICO Secure Insurance Company,12/18/25,11/17/25,,2.8,0.0,0,28524,65063509,10.4,-6.3,Rate,False
1,f02e5de3b319,PPA,,GEICO General Insurance Company,11/14/25,11/17/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,f02e5de3b319,PPA,,GEICO Marine Insurance Company,11/14/25,11/17/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,50f2c80cc74e,HO,State Farm Group,State Farm Fire and Casualty Company,11/15/25,10/28/25,10.1,10.1,5.4,21702876,228046,399012200,16.7,-17.2,Rate,False
1,626ac16d0b81,PPA,State Farm Group,"MGA Insurance Company, Inc.",12/05/25,10/23/25,12.9,12.9,2.0,90687,1928,5588816,117.3,-74.5,Rate,False
1,8f87a8fb79e9,PPA,Allstate Insurance Group,Allstate Indemnity Company,12/01/25,10/22/25,5.0,5.0,5.0,69708,302,1394156,6.6,0.0,Rate,False
1,bf134d65595c,HO,,AIG Property Casualty Company,12/01/25,10/20/25,82.3,82.3,19.9,710875,450,3572811,32.1,10.0,Rate,False
1,5b37616a1909,HO,Travelers Group,Travelers Personal Insurance Company,11/22/25,10/15/25,,,0.0,0,28722,76049217,30.0,-50.1,Rate,False
1,7c858a803e97,PPA,,Farmers Group Property and Casualty Insurance Company,10/22/25,10/09/25,,0.0,0.6,16210,719,2701671,20.0,-5.9,Rate,False
1,a9230c7c4e1b,PPA,,Farmers Casualty Insurance Company,10/22/25,10/09/25,,0.0,2.2,44,3,2018,0.0,0.0,Rate,False
1,a9230c7c4e1b,PPA,,Farmers Property and Casualty Insurance Company,10/22/25,10/09/25,,0.0,2.2,78704,1111,3577441,20.0,-20.0,Rate,False
1,dd0e949fab91,PPA,BAMR US PC Group,American National Property And Casualty Company,12/26/25,10/07/25,1.4,1.4,1.4,58860,2047,4177609,15.5,-6.8,Rate,False
1,241816796850,PPA,,Branch Insurance Exchange,10/16/25,10/07/25,,0.0,0.0,0,0,223225,0.0,0.0,Rate,False
1,56bbd4ffe9a8,HO,Travelers Group,Travelers Personal Insurance Company,11/22/25,10/06/25,,,0.0,0,28722,76049217,0.0,0.0,Rate,False
1,d7b1622d33b9,PPA,,Shelter Mutual Insurance Company,12/16/25,10/02/25,-5.9,-5.9,-3.9,-11858395,262014,301964215,20.7,-21.1,Rate,False
1,73763855da4e,HO,,Auto Club Family Insurance Company,01/01/26,10/02/25,29.7,29.7,10.0,2204530,12569,22099865,11.3,0.0,Rate,False
1,c64d406f731f,PPA,,Economy Premier Assurance Company,11/26/25,09/29/25,,0.0,0.1,1696,551,1696440,0.4,0.0,Rate,False
1,b7fbd00050aa,HO,,,09/25/25,09/25/25,,,,,,,,,Rate,True
1,97740d862ff3,PPA,,Hugo Insurance Exchange,10/09/25,09/24/25,-14.4,-14.4,-12.4,-65557,443,528994,-8.0,-14.1,Rate,False
1,cad9badb0800,HO,,Branch Insurance Exchange,10/03/25,09/24/25,,0.0,0.0,0,0,1520802,0.0,0.0,Rate,False
1,83a2cd4e9279,PPA,,GEICO Casualty Company,10/01/25,09/16/25,,,-8.9,-718613,8167,8074299,-4.56,-10.17,Rate,False
1,83a2cd4e9279,PPA,,GEICO Marine Insurance Company,10/01/25,09/16/25,,,-8.6,-165840,1375,1928368,-5.38,-11.37,Rate,False
1,83a2cd4e9279,PPA,,GEICO Casualty Company,10/01/25,09/16/25,,,-8.9,-718613,8167,8074299,-4.56,-10.17,Rate,False
1,83a2cd4e9279,PPA,,GEICO Marine Insurance Company,10/01/25,09/16/25,,,-8.6,-165840,1375,1928368,-5.38,-11.37,Rate,False
1,8ee9051ced6c,HO,,"Acuity, A Mutual Insurance Company",10/06/25,09/16/25,57.6,57.6,50.0,4927402,3549,9862418,81.9,-5.5,Rate,False
1,94e190138d9d,HO,,Liberty Mutual Insurance Company,09/22/25,09/11/25,,0.0,0.0,0,4,5124,0.0,0.0,Rate,False
1,94e190138d9d,HO,,Liberty Mutual Personal Insurance Company,09/22/25,09/11/25,,0.0,0.0,0,959,1936923,0.0,0.0,Rate,False
1,641575743ed0,HO,,Shelter Mutual Insurance Company,11/10/25,09/03/25,13.2,13.2,12.1,658274,1687,5444685,15.9,7.3,Rate,False
1,4de9ac179e2f,HO,,Shelter Mutual Insurance Company,11/10/25,09/03/25,9.4,9.4,9.4,13476871,64827,144138456,16.6,-10.7,Rate,False
1,3d12ac8fcd1d,HO,,Shelter Mutual Insurance Company,01/01/26,09/03/25,,0.0,0.0,0,1687,5444685,0.0,0.0,Rate,False
1,86769d3a4f61,HO,,Shelter Mutual Insurance Company,01/01/26,09/03/25,,0.0,0.0,0,54724,141986975,0.0,0.0,Rate,False
1,a9e90f648e7e,HO,State Farm Group,State Farm Fire and Casualty Company,09/15/25,08/25/25,10.2,10.2,8.9,4232858,34824,47739135,30.3,0.0,Rate,False
1,c876255909fe,PPA,,Auto-Owners Insurance Company,10/10/24,08/21/25,,6.9,4.9,2378937,23157,49044606,24.9,-12.6,Rate,False
1,8ec3fac7bf61,PPA,Allstate Insurance Group,,10/20/25,08/21/25,,,,,,,,,Rate,True
1,e426b6e3814c,HO,Allstate Insurance Group,Allstate Insurance Company,09/15/25,08/18/25,20.3,20.3,19.9,90491,471,454881,23.0,14.2,Rate,False
1,4aac23d6ca84,PPA,,American Economy Insurance Company,09/01/25,08/12/25,-10.8,-10.8,-5.0,-123177,1092,2463539,4.7,-12.4,Rate,False
1,8b2da5d6e110,PPA,,Liberty Mutual Insurance Company,08/28/25,08/11/25,-5.1,-5.1,1.2,376,13,32080,5.3,-6.4,Rate,False
1,8b2da5d6e110,PPA,,Liberty Mutual Personal Insurance Company,08/28/25,08/11/25,-5.1,-5.1,-5.0,-454174,3626,9112375,5.6,-14.1,Rate,False
1,8b2da5d6e110,PPA,,Liberty Mutual Insurance Company,08/28/25,08/11/25,-5.1,-5.1,1.2,376,13,32080,5.3,-6.4,Rate,False
1,8b2da5d6e110,PPA,,Liberty Mutual Personal Insurance Company,08/28/25,08/11/25,-5.1,-5.1,-5.0,-454174,3626,9112375,5.6,-14.1,Rate,False
1,dbf723fb240a,PPA,,LM General Insurance Company,10/02/25,08/07/25,-5.1,-5.1,-5.0,-193587,1135,3907752,10.0,-20.0,Rate,False
1,dbf723fb240a,PPA,,LM Insurance Corporation,10/02/25,08/07/25,-5.1,-5.1,-2.8,-3504,37,124452,8.3,-10.1,Rate,False
1,dbf723fb240a,PPA,,LM General Insurance Company,10/02/25,08/07/25,-5.1,-5.1,-5.0,-193587,1135,3907752,10.0,-20.0,Rate,False
1,dbf723fb240a,PPA,,LM Insurance Corporation,10/02/25,08/07/25,-5.1,-5.1,-2.8,-3504,37,124452,8.3,-10.1,Rate,False
1,50adbe587fcc,HO,Cas Group,,08/01/25,06/19/25,,,,,,,,,Rate,False
1,50adbe587fcc,HO,Cas Group,,08/01/25,06/19/25,,,,,,,,,Rate,False
1,c79ce11ad3b6,HO,Cas Group,,08/01/25,06/16/25,,,,,,,,,Rate,True
1,e1c9e95e3e60,PPA,,Liberty Insurance Corporation,10/02/25,08/06/25,-5.1,-5.1,0.6,32,2,5174,1.1,0.4,Rate,False
1,e1c9e95e3e60,PPA,,Liberty Mutual Fire Insurance Company,10/02/25,08/06/25,-5.1,-5.1,-5.1,-12300,80,242786,3.0,-8.9,Rate,False
1,e1c9e95e3e60,PPA,,The First Liberty Insurance Corporation,10/02/25,08/06/25,-5.1,-5.1,-5.9,-411,3,6981,-2.9,-7.6,Rate,False
1,e1c9e95e3e60,PPA,,Liberty Insurance Corporation,10/02/25,08/06/25,-5.1,-5.1,0.6,32,2,5174,1.1,0.4,Rate,False
1,e1c9e95e3e60,PPA,,Liberty Mutual Fire Insurance Company,10/02/25,08/06/25,-5.1,-5.1,-5.1,-12300,80,242786,3.0,-8.9,Rate,False
1,e1c9e95e3e60,PPA,,The First Liberty Insurance Corporation,10/02/25,08/06/25,-5.1,-5.1,-5.9,-411,3,6981,-2.9,-7.6,Rate,False
