source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,df17b7be1c03,PPA,,,06/09/26,06/09/26,,,,,,,,,Rate,True
1,a5c440a3e768,PPA,,,05/20/26,05/19/26,,,,,,,,,Rate,True
1,84c3591ff01b,PPA,Insurance Group,,06/01/26,05/07/26,14.4,,,,,,,,Rate,True
1,84c3591ff01b,PPA,Insurance Group,,06/01/26,05/07/26,14.1,,,,,,,,Rate,True
1,48fc50f28695,PPA,,,04/01/26,04/30/26,,,,,,,,,Rate,True
1,48fc50f28695,PPA,,,04/01/26,04/30/26,,,,,,,,,Rate,True
1,b1c5f1fb6490,PPA,,,04/27/26,04/27/26,,,,,,,,,Rate,True
1,1514c78acc26,PPA,,Infinity Insurance Company,06/07/26,04/20/26,12.14,12.14,3.0,21618146,231948,721108832,10.7,-6.99,Rate,False
1,06747b988f88,PPA,,,02/01/26,04/05/26,,,,,,,,,Rate,True
1,e6dc3b1f6840,PPA,,,03/01/26,04/09/26,,,,,,,,,Rate,True
1,e6dc3b1f6840,PPA,,,03/01/26,04/09/26,,,,,,,,,Rate,True
1,e6dc3b1f6840,PPA,,,03/01/26,04/09/26,,,,,,,,,Rate,True
1,e6dc3b1f6840,PPA,,,03/01/26,04/09/26,,,,,,,,,Rate,True
1,0092b238bb95,PPA,,,04/01/26,04/02/26,,,,,,,,,Rate,True
1,ccd29001f290,PPA,,,03/01/26,03/30/26,,,,,,,,,Rate,True
1,ccd29001f290,PPA,,,03/01/26,03/30/26,,,,,,,,,Rate,True
1,ccd29001f290,PPA,,,03/01/26,03/30/26,,,,,,,,,Rate,True
1,ccd29001f290,PPA,,,03/01/26,03/30/26,,,,,,,,,Rate,True
1,ccd29001f290,PPA,,,03/01/26,03/30/26,,,,,,,,,Rate,True
1,ccd29001f290,PPA,,,03/01/26,03/30/26,,,,,,,,,Rate,True
1,ccd29001f290,PPA,,,03/01/26,03/30/26,,,,,,,,,Rate,True
1,ccd29001f290,PPA,,,03/01/26,03/30/26,,,,,,,,,Rate,True
1,b7f851304b78,PPA,,,03/27/26,03/27/26,,,,,,,,,Rate,True
1,d7f27a6e87bb,HO,,,05/09/26,03/18/26,,,,,,,,,Rate,True
1,b02dcbc5ca26,PPA,Insurance Group,Spinnaker Insurance Company,05/07/26,03/18/26,169.1,169.1,37.5,705644,2325,1881717,43.5,0.0,Rate,False
1,f5ed60db3e4f,PPA,,,11/01/25,03/06/26,,,,,,,,,Rate,True
1,03636346944b,PPA,Insurance Group,,03/06/26,03/06/26,,,,,,,,,Rate,True
1,3e2592c56855,PPA,State Farm Group,,05/08/26,03/03/26,8.5,,,,,,,,Rate,True
1,c4fc8b148ec9,PPA,,,02/27/26,02/27/26,,,,,,,,,Rate,True
