source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,e8bd53f8af3d,HO,,Stillwater Property and Casualty Insurance Company,06/10/26,05/15/26,,,-0.4,-7051,868,1933761,15.0,-17.7,Rate,False
1,cc62fdfa7fbd,PPA,,Nutmeg Insurance Company,06/04/26,05/04/26,,16.5,8.1,209709,2093,2589004,15.0,-15.0,Rate,False
1,3e7fdb61d33c,HO,,Germantown Insurance Company,05/16/26,04/24/26,,5.6,5.6,161813,2078,2880585,76.1,-18.4,Rate,False
1,3e7fdb61d33c,HO,,Philadelphia Contributionship Insurance Company,05/16/26,04/24/26,,5.6,4.0,25781,600,649064,20.3,-17.4,Rate,False
1,a24ade7d56a2,PPA,Travelers Group,,05/15/26,04/17/26,6.8,,,,,,,,Rate,True
1,19ca8c5e9d69,HO,,"Foremost Insurance Company  Grand Rapids, Michigan",06/01/26,04/17/26,19.1,19.1,8.0,467592,5074,5844897,14.85,0.3,Rate,False
1,233f0f7be4c8,HO,,Allstate Indemnity Company,06/08/26,04/07/26,,3.0,3.0,46349,977,1544955,5.4,2.1,Rate,False
1,e6554c138cf7,HO,,Allstate North American Insurance Company,05/21/26,04/06/26,,,0.0,0,2297,298313,3.5,-1.5,Rate,False
1,b00159c799b3,HO,,Allstate Insurance Company,06/08/26,04/06/26,,2.7,2.7,143991,3404,5332990,5.0,2.1,Rate,False
1,315c0fbebe5c,HO,,Germantown Insurance Company,04/25/26,04/02/26,5.6,5.6,5.6,161813,2078,2880585,76.1,-18.4,Rate,False
1,315c0fbebe5c,HO,,Philadelphia Contributionship Insurance Company,04/25/26,04/02/26,5.6,5.6,4.0,25781,600,649064,20.3,-17.4,Rate,False
1,315c0fbebe5c,HO,,Germantown Insurance Company,04/25/26,04/02/26,5.6,5.6,5.6,161813,2078,2880585,76.1,-18.4,Rate,False
