source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,86d2e3b5770b,HO,,,12/01/24,06/13/25,33.8,,,,,,,,Rate,False
1,0821864856fe,HO,,,12/01/24,06/11/25,33.1,,,,,,,,Rate,False
1,e7b8d7b008c4,HO,,Allstate Vehicle and Property Insurance Company,10/21/24,06/10/25,10.2,10.2,10.2,3674461,25053,36024123,21.6,2.0,Rate,False
1,86229fb954e8,PPA,,Dairyland Insurance Company,12/13/24,05/16/25,16.6,16.6,16.5,17983,196,108990,23.0,0.0,Rate,False
1,6c67a06cfc6e,HO,,Allstate Indemnity Company,09/02/24,05/06/25,23.0,23.0,23.0,166163,909,723004,27.0,12.5,Rate,False
1,71e230961e9d,PPA,,Grinnell Mutual Reinsurance Company,11/01/24,10/22/24,,-0.6,0.0,0,8124,19347496,14.4,-6.2,Rate,False
1,69621eeea248,PPA,Insurance Group,First Chicago Insurance Company,12/19/24,04/10/25,18.1,18.1,7.1,106350,1036,1495389,23.4,-3.5,Rate,False
1,5ae71970eb95,HO,,Allstate Insurance Company,10/21/24,04/09/25,14.8,14.8,14.8,176893,786,1195223,16.1,10.6,Rate,False
1,5a69581e485a,PPA,Insurance Group,,08/16/24,04/07/25,,,,,,,,,Rate,True
1,5b0d5bf7f896,PPA,,Viking Insurance Company of WI,11/13/24,03/31/25,16.3,16.3,14.9,102691,1106,689202,22.2,2.8,Rate,False
1,d8820174d59d,PPA,,Root Insurance Company,09/13/24,03/21/25,-5.2,-5.2,-6.0,-546694,3515,9111573,0.4,-10.0,Rate,False
1,9826d106a6a8,HO,,Allstate Indemnity Company,10/21/24,03/21/25,14.8,14.8,14.8,312899,1143,2114183,15.4,11.8,Rate,False
1,c56f3a9aea19,HO,,Allstate Property and Casualty Insurance Company,10/21/24,03/18/25,14.8,14.8,14.8,725327,2488,4900861,16.1,11.1,Rate,False
1,ca3e31e7b18f,HO,Insurance Group,,11/13/24,03/03/25,,,,,,,,,Rate,True
1,59710677ba6c,HO,,"Acuity, A Mutual Insurance Company",12/02/24,02/06/25,31.8,31.8,30.0,3526326,6447,11769540,47.4,0.0,Rate,False
1,743af0865337,PPA,Ins Group,,10/08/24,01/21/25,,,,,,,,,Rate,True
1,d0924ea93f4f,HO,Insurance Group,,12/15/24,10/23/24,,,,,,,,,Rate,True
1,759ddff8ea43,HO,Insurance Group,,12/15/24,10/25/24,,,,,,,,,Rate,True
1,cb712231a377,HO,,Armed Forces Insurance Exchange,12/30/24,10/01/24,27.25,27.25,24.77,65236,150,263351,31.35,0.0,Rate,False
1,7833329c335f,PPA,,Root Insurance Company,03/15/24,01/09/25,17.6,17.6,10.0,1236827,3618,6509617,41.9,-12.1,Rate,False
1,d9d087f01c85,PPA,,Liberty Mutual Insurance Company,11/19/24,01/08/25,-8.4,-8.4,-7.9,-854,4,10765,-1.4,-11.4,Rate,False
1,d9d087f01c85,PPA,,Liberty Mutual Personal Insurance Company,11/19/24,01/08/25,-8.4,-8.4,-8.1,-661014,3943,8119532,-0.5,-16.4,Rate,False
1,d9d087f01c85,PPA,,Liberty Mutual Insurance Company,11/19/24,01/08/25,-8.4,-8.4,-7.9,-854,4,10765,-1.4,-11.4,Rate,False
1,d9d087f01c85,PPA,,Liberty Mutual Personal Insurance Company,11/19/24,01/08/25,-8.4,-8.4,-8.1,-661014,3943,8119532,-0.5,-16.4,Rate,False
