source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,6821e17aab98,PPA,,United Security Insurance Company,08/20/24,08/19/25,,18.526,13.936,552623,4349,3965290,24.0,6.0,Rate,False
1,6d1b9b97895b,PPA,,Unique Insurance Company,02/26/24,03/12/25,,0.0,0.0,0,48564,65209712,118.1,-71.23,Rate,False
1,ed3d4ec8aade,PPA,,American Property & Casualty Insurance Company,08/15/24,03/07/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,dc4fe964bb3b,PPA,,,09/30/24,12/02/24,,,,,,,,,Rate,True
1,e085403cb5f7,PPA,,American Heartland Insurance Company,10/04/24,11/21/24,11.41,11.41,11.41,2634912,47875,23093435,11.766,11.061,Rate,False
1,d51e1e6525cf,PPA,,United Equitable Insurance Company,10/04/24,11/21/24,11.014,11.014,11.014,2208201,38233,20048438,11.66,10.5,Rate,False
1,ee526851eadd,PPA,State Farm Group,"MGA Insurance Company, Inc.",09/24/24,11/21/24,16.0,16.0,-0.1,-13912,5607,11662242,41.8,-27.0,Rate,False
1,16bbb5f9a02f,HO,,Selective Insurance Company of South Carolina,10/31/24,11/13/24,,0.0,0.0,7966,8137,22154750,21.4,-17.0,Rate,False
1,59bd9e4782cf,PPA,,American Access Casualty Company,08/22/24,11/12/24,15.8,15.8,15.7,3517893,17262,22336464,40.8,-3.6,Rate,False
1,4779d420fb6a,PPA,,American Access Casualty Company,08/22/24,11/12/24,19.7,19.7,19.6,3640894,13455,18537950,41.1,-1.2,Rate,False
1,1d01fc63c6fe,PPA,,,10/15/24,11/12/24,,,,,,,,,Rate,True
1,246cf6d88d2d,PPA,,Selective Insurance Company of South Carolina,10/31/24,11/07/24,14.0,14.0,10.1,1729547,5769,17072134,18.1,5.6,Rate,False
1,877fa6d27e72,HO,,Grange Indemnity Insurance Company,10/23/24,10/30/24,30.8,30.8,20.0,1606258,4442,8035484,46.7,0.0,Rate,False
1,f0dad3caba56,PPA,,Progressive Direct Insurance Company,08/09/24,10/29/24,-0.1,-3.7,-3.8,-199901,17506,5329441,40.9,-25.4,Rate,False
1,f0dad3caba56,PPA,,Progressive Northern Insurance Company,08/09/24,10/29/24,-0.1,-0.1,-1.2,-3569638,952611,289825786,139.2,-39.7,Rate,False
1,f0dad3caba56,PPA,,Progressive Universal Insurance Company,08/09/24,10/29/24,-0.1,-3.7,-3.8,-15011523,1447520,400212316,99.4,-34.3,Rate,False
1,feec8334a34f,HO,,Homesite Insurance Company of Illinois,10/14/24,10/28/24,6.7,6.7,6.7,759884,12029,11311365,7.4,6.0,Rate,False
1,fafd36cd357f,PPA,,GEICO Marine Insurance Company,10/03/24,10/24/24,,0.0,-2.1,-15165,544,722150,4.9,-6.9,Rate,False
1,bbff989567a5,PPA,,United Equitable Insurance Company,10/05/24,10/18/24,10.889,10.889,10.889,1706476,30065,15670911,11.527,10.5,Rate,False
1,12c7888b1596,PPA,,American Heartland Insurance Company,10/05/24,10/18/24,11.322,11.322,11.322,1974327,36329,17438531,11.693,11.061,Rate,False
1,9e08b0e99c65,PPA,,American Heartland Insurance Company,10/04/24,10/18/24,11.682,11.682,11.682,660585,11546,5654904,11.965,11.061,Rate,False
1,0a3f4f0190e4,PPA,,American Freedom Insurance Company,10/17/24,10/18/24,11.4,11.4,9.903,2699331,41313,27258411,10.09,9.836,Rate,False
1,9474923f47c4,PPA,,American Alliance Casualty Company,09/15/24,10/17/24,,1.2,1.2,94682,1011,7860664,5.1,0.0,Rate,False
1,01febea56a12,PPA,Pekin Insurance Group,Pekin Insurance Company,10/11/24,10/17/24,3.2,3.2,3.2,9640,212,301236,29.8,-14.3,Rate,False
1,01febea56a12,PPA,Pekin Insurance Group,The Farmers Automobile Insurance Association,10/11/24,10/17/24,3.2,3.2,3.2,2704902,41398,84528185,48.0,-21.5,Rate,False
1,d204ad7f3761,PPA,Allstate Insurance Group,Integon Casualty Insurance Company,10/25/24,10/17/24,,0.0,0.0,0,0,45093155,0.0,0.0,Rate,False
1,1a8cabba6ba1,PPA,,Allmerica Financial Alliance Insurance Company,10/25/24,10/16/24,4.9,4.9,0.0,0,26308,80557121,0.0,0.0,Rate,False
1,61b2d9458eb4,PPA,,United Security Insurance Company,09/26/24,10/10/24,20.17,20.17,17.19,231401,2334,1346232,12.04,10.266,Rate,False
1,8f686e272194,PPA,,GEICO Secure Insurance Company,04/11/24,10/10/24,,0.0,-4.9,-11438865,106087,233446217,0.0,-7.3,Rate,False
1,3775c84bee4a,HO,Pekin Insurance Group,Pekin Insurance Company,10/11/24,10/10/24,8.0,8.0,4.3,330522,5174,7678748,36.9,0.0,Rate,False
1,3775c84bee4a,HO,Pekin Insurance Group,The Farmers Automobile Insurance Association,10/11/24,10/10/24,8.0,8.0,4.3,2079596,32548,48306532,36.9,0.0,Rate,False
1,9020ef43e535,PPA,,American Alliance Casualty Company,09/15/24,10/07/24,2.14,2.14,2.14,2647961,123010,123769682,8.04,0.0,Rate,False
1,8143656a3d49,HO,State Farm Group,State Farm Fire and Casualty Company,10/15/24,10/03/24,23.0,23.0,20.8,3927312,48020,18859315,22.8,0.0,Rate,False
1,dd7f9d8e3915,HO,State Farm Group,State Farm Fire and Casualty Company,10/15/24,10/03/24,18.8,18.8,17.9,21317632,103854,119099448,19.3,0.0,Rate,False
1,84e20b3f52c4,PPA,Allstate Insurance Group,Allstate Indemnity Company,10/14/24,10/02/24,,0.0,0.0,0,0,6167452,0.0,0.0,Rate,False
1,84e20b3f52c4,PPA,Allstate Insurance Group,Allstate Insurance Company,10/14/24,10/02/24,,0.0,0.0,0,0,53758997,0.0,0.0,Rate,False
1,84e20b3f52c4,PPA,Allstate Insurance Group,Allstate Property and Casualty Insurance Company,10/14/24,10/02/24,,0.0,0.0,0,0,26366753,0.0,0.0,Rate,False
1,c66242e9f9e0,PPA,Westfield Group,American Select Insurance Company,10/23/24,09/26/24,2.2,2.2,2.1,549951,10416,26732990,9.0,-4.5,Rate,False
1,30c3718db3c0,PPA,,Trustgard Insurance Company,09/01/24,09/26/24,0.8,0.8,0.0,-4041,4550,13470254,7.8,-1.7,Rate,False
