source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,5ef7f6715a18,HO,Insurance Group,Progressive Southeastern Insurance Company,08/14/24,01/22/25,29.7,29.7,29.59,1788457,12799,6044091,55.0,-47.0,Rate,False
1,a5b2dd83d6e9,PPA,,Allstate North American Insurance Company,12/17/24,01/13/25,,,-5.0,-1639303,15505,32786050,-5.0,-5.0,Rate,False
1,e6b3d61cfd6b,PPA,,American Family Connect Property and Casualty Insurance Company,12/12/24,01/06/25,3.8,3.8,3.7,260646,4259,7044498,58.4,-16.8,Rate,False
1,ecac2af32342,PPA,Insurance Group,Auto-Owners Insurance Company,11/28/24,01/06/25,3.6,3.6,2.0,3711662,95627,188744829,29.1,-32.0,Rate,False
1,6d348d7a995e,PPA,,Hartford Insurance Company of the Southeast,12/05/24,01/03/25,28.9,28.9,4.0,415677,6499,10391934,9.0,1.5,Rate,False
1,c67d5e60f78c,PPA,Root Insurance Group,Root Insurance Company,12/20/24,01/02/25,,0.0,0.0,0,11475,27872638,25.4,-0.8,Rate,False
1,03cf3967f496,PPA,,Esurance Insurance Company,07/24/24,12/20/24,11.7,11.7,11.7,1488193,5796,12715125,22.4,-6.6,Rate,False
1,ad5e821b510b,HO,,Indiana Farmers Mutual Insurance Company,01/01/25,12/18/24,13.0,13.0,6.0,5319121,64621,88652021,10.0,0.0,Rate,False
1,e9e2d78c7d07,HO,Insurance Group,Property-Owners Insurance Company,12/18/24,12/18/24,16.1,16.1,11.96,19742782,103635,165067901,68.403,-35.99,Rate,False
1,8d241c64a023,PPA,Amica Mutual Group,Amica Mutual Insurance Company,11/01/24,12/11/24,11.9,11.9,5.5,295386,5591,5370654,10.0,3.0,Rate,False
1,8d241c64a023,PPA,Amica Mutual Group,Amica Property and Casualty Insurance Company,11/01/24,12/11/24,11.9,11.9,6.1,6426,118,105343,10.0,5.0,Rate,False
1,8d241c64a023,PPA,Amica Mutual Group,Amica Mutual Insurance Company,11/01/24,12/11/24,11.9,11.9,5.5,295386,5591,5370654,10.0,3.0,Rate,False
1,8d241c64a023,PPA,Amica Mutual Group,Amica Property and Casualty Insurance Company,11/01/24,12/11/24,11.9,11.9,6.1,6426,118,105343,10.0,5.0,Rate,False
1,9ae3fd1f7921,PPA,,American Economy Insurance Company,12/14/24,12/09/24,-12.5,-12.5,-3.0,-701660,9875,23468357,7.2,-8.2,Rate,False
1,5b56352f8ecc,PPA,,Safeco Insurance Company of Indiana,12/14/24,12/09/24,-12.5,-12.5,-3.0,-3409135,48861,113483837,9.7,-9.6,Rate,False
1,c8f71b7221d3,HO,,Farmers Group Property and Casualty Insurance Company,12/20/24,12/09/24,15.7,15.7,3.8,215364,3018,5667485,4.0,0.0,Rate,False
1,c8f71b7221d3,HO,,Farmers Property and Casualty Insurance Company,12/20/24,12/09/24,15.7,15.7,7.9,512686,3248,6489701,8.0,0.0,Rate,False
1,c8f71b7221d3,HO,,Farmers Group Property and Casualty Insurance Company,12/20/24,12/09/24,15.7,15.7,3.8,215364,3018,5667485,4.0,0.0,Rate,False
1,c8f71b7221d3,HO,,Farmers Property and Casualty Insurance Company,12/20/24,12/09/24,15.7,15.7,7.9,512686,3248,6489701,8.0,0.0,Rate,False
1,12f348f3c61c,PPA,,InsureMax Insurance Company,09/30/24,12/05/24,21.74,21.74,10.4,55357,689,530874,179.0,-69.0,Rate,False
1,3a60d6e31688,PPA,,AssuranceAmerica Insurance Company,09/30/24,12/05/24,19.38,19.38,9.1,92545,1053,1020372,154.0,-34.0,Rate,False
