source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,55cf7cfc66bf,PPA,,Allstate Fire and Casualty Insurance Company,05/25/26,06/01/26,,0.0,0.0,0,0,83531738,0.0,0.0,Rate,False
1,a9f731a53fbb,HO,,,05/15/26,05/20/26,,,,,,,,,Rate,True
1,cdb65bc488f7,PPA,,Esurance Property and Casualty Insurance Company,06/11/26,05/18/26,,0.0,0.0,0,0,4628368,0.0,0.0,Rate,False
1,cf387edd18cb,PPA,Travelers Group,The Standard Fire Insurance Company,05/08/26,05/14/26,-15.8,-15.8,-6.1,-5310714,35119,87060880,4.0,-12.0,Rate,False
1,6e5739fcd6fa,PPA,,Liberty Mutual Insurance Company,04/30/26,04/30/26,,0.0,0.0,-1680,3578,9534444,14.9,-54.1,Rate,False
1,6e5739fcd6fa,PPA,,Liberty Mutual Personal Insurance Company,04/30/26,04/30/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,c41fcc599085,PPA,,The Cincinnati Casualty Company,05/01/26,04/23/26,,0.0,0.0,0,0,17152858,0.0,0.0,Rate,False
1,5fe13c1b8386,HO,Amica Mutual Group,Amica Mutual Insurance Company,04/13/26,04/13/26,4.1,4.1,4.0,156045,598,3901133,73.0,-26.0,Rate,False
1,fc09bdcde181,HO,,Allstate North American Insurance Company,05/06/26,04/13/26,,0.0,-7.2,-1276782,8077,17733078,0.0,-6.6,Rate,False
1,f9f6d9a63afb,PPA,State Farm Group,State Farm Fire and Casualty Company,05/18/26,04/09/26,0.2,22.1,-0.7,-161061,17393,23678868,4.1,-5.8,Rate,False
1,f9f6d9a63afb,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,05/18/26,04/09/26,0.2,0.2,-7.6,-39786539,583087,522201214,4.4,-15.8,Rate,False
1,f9f6d9a63afb,PPA,State Farm Group,State Farm Fire and Casualty Company,05/18/26,04/09/26,22.1,22.1,-0.7,-161061,17393,23678868,4.1,-5.8,Rate,False
1,f9f6d9a63afb,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,05/18/26,04/09/26,22.1,0.2,-7.6,-39786539,583087,522201214,4.4,-15.8,Rate,False
1,0b148df9ddb3,HO,,Allstate North American Insurance Company,06/17/26,03/30/26,,0.0,0.0,0,580,104502,3.5,-1.4,Rate,False
1,ace1a818d9a7,PPA,Insurance Group,,03/27/26,03/27/26,,,,,,,,,Rate,True
1,6517c57d6521,PPA,,Traders Insurance Company,04/08/26,03/24/26,1.6,1.6,0.13,616853,17737,38536157,13.75,-11.64,Rate,False
1,f4f18649f172,HO,,Encompass Indemnity Company,04/06/26,03/24/26,,0.0,-9.2,-2343174,8432,25469284,0.0,-12.0,Rate,False
1,011772358f15,HO,,,04/06/26,03/20/26,,,,,,,,,Rate,True
1,0033442659e5,PPA,Cas Group,Nationwide Property and Casualty Insurance Company,04/25/26,03/19/26,-14.1,-14.1,-10.0,-819326,3388,8180158,-1.1,-26.6,Rate,False
1,21012083ed83,PPA,,American Economy Insurance Company,05/17/26,03/19/26,2.4,2.4,2.0,232467,3531,11826653,-3.3,11.4,Rate,False
1,f25c35fcaeea,HO,,Stillwater Insurance Company,03/07/26,03/06/26,,,-0.2,-1502,580,993534,28.9,-13.3,Rate,False
