source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,aec62c8ab042,HO,,Allstate North American Insurance Company,12/23/25,01/06/26,,,0.0,0,1131,1963973,0.0,0.0,Rate,False
1,be2e2ce237c8,HO,,Nationwide General Insurance Company,12/07/25,12/24/25,,0.0,-0.2,-43184,8760,18748499,4.1,-25.0,Rate,False
1,be2e2ce237c8,HO,,Nationwide Mutual Insurance Company,12/07/25,12/24/25,,0.0,0.0,0,5962,12731912,0.0,0.0,Rate,False
1,be2e2ce237c8,HO,,Nationwide General Insurance Company,12/07/25,12/24/25,,0.0,-0.2,-43184,8760,18748499,4.1,-25.0,Rate,False
1,be2e2ce237c8,HO,,Nationwide Mutual Insurance Company,12/07/25,12/24/25,,0.0,0.0,0,5962,12731912,0.0,0.0,Rate,False
1,b4c19661ca3a,PPA,,,12/22/25,12/22/25,,,,,,,,,Rate,True
1,43ef77e6e9db,PPA,,Integon Indemnity Corporation,12/11/25,12/16/25,,2.9,0.0,-2,20616,53373571,5.0,0.0,Rate,False
1,fae717c5b388,PPA,,American Economy Insurance Company,11/17/25,12/04/25,,0.0,0.0,0,6341,16050237,0.0,0.0,Rate,False
1,fae717c5b388,PPA,,Liberty Mutual Insurance Company,11/17/25,12/04/25,,0.0,0.0,0,106,380730,0.0,0.0,Rate,False
1,fae717c5b388,PPA,,Liberty Mutual Personal Insurance Company,11/17/25,12/04/25,,0.0,0.0,0,27999,82992581,0.0,0.0,Rate,False
1,760676a12f83,PPA,Alfa Insurance Group,Trexis One Insurance Corporation,11/17/25,11/17/25,-1.7,-1.7,-9.4,-501070,1188,5330533,-7.0,-10.1,Rate,False
1,0e58c46fae94,PPA,Alfa Insurance Group,Trexis Insurance Corporation,11/17/25,11/14/25,2.4,2.4,-8.4,-3445928,11823,41022948,-5.2,-9.0,Rate,False
1,a0390a940660,PPA,,Nationwide Insurance Company of America,11/23/25,11/12/25,,,0.0,-3746,4551,11822053,10.3,-10.3,Rate,False
1,a0390a940660,PPA,,Nationwide Mutual Insurance Company,11/23/25,11/12/25,,,0.0,-14,4051,12969727,10.3,-10.3,Rate,False
1,a0390a940660,PPA,,Nationwide Property and Casualty Insurance Company,11/23/25,11/12/25,,,0.0,42,2802,9386301,10.3,-10.3,Rate,False
1,c806fbef1c17,HO,,Allstate North American Insurance Company,11/11/25,11/10/25,,0.0,-2.8,0,0,0,-1.9,-3.8,Rate,False
1,94984f912d3d,PPA,,Progressive Casualty Insurance Company,10/31/25,11/04/25,-2.695,-2.695,-3.392,-6152398,147265,181404418,8.182,-10.909,Rate,False
1,94984f912d3d,PPA,,Progressive Direct Insurance Company,10/31/25,11/04/25,-2.695,-0.332,-2.492,-4479127,193454,179725650,8.553,-10.693,Rate,False
1,94984f912d3d,PPA,,Progressive Northern Insurance Company,10/31/25,11/04/25,-2.695,-2.695,-3.392,-28940,890,853297,8.182,-10.909,Rate,False
1,94984f912d3d,PPA,,Progressive Casualty Insurance Company,10/31/25,11/04/25,-0.332,-2.695,-3.392,-6152398,147265,181404418,8.182,-10.909,Rate,False
1,94984f912d3d,PPA,,Progressive Direct Insurance Company,10/31/25,11/04/25,-0.332,-0.332,-2.492,-4479127,193454,179725650,8.553,-10.693,Rate,False
1,94984f912d3d,PPA,,Progressive Northern Insurance Company,10/31/25,11/04/25,-0.332,-2.695,-3.392,-28940,890,853297,8.182,-10.909,Rate,False
1,de163da6e40d,PPA,,Liberty Insurance Corporation,10/14/25,11/04/25,-2.9,-2.9,0.0,0,2,15612,0.0,0.0,Rate,False
1,de163da6e40d,PPA,,Liberty Mutual Fire Insurance Company,10/14/25,11/04/25,-2.9,-2.9,0.0,0,454,2392415,0.0,0.0,Rate,False
1,de163da6e40d,PPA,,The First Liberty Insurance Corporation,10/14/25,11/04/25,-2.9,-2.9,0.0,0,4,17916,0.0,0.0,Rate,False
1,1a9956e6e856,HO,,,01/01/26,10/30/25,,,,,,,,,Rate,True
1,9f696edc5903,PPA,State Farm Group,State Farm Fire and Casualty Company,12/26/25,10/24/25,-0.8,13.0,-10.0,-4233233,23369,42539306,0.0,-16.0,Rate,False
1,9f696edc5903,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,12/26/25,10/24/25,-0.8,-0.8,-9.8,-91645946,884754,939218807,0.1,-15.5,Rate,False
1,9f696edc5903,PPA,State Farm Group,State Farm Fire and Casualty Company,12/26/25,10/24/25,13.0,13.0,-10.0,-4233233,23369,42539306,0.0,-16.0,Rate,False
1,9f696edc5903,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,12/26/25,10/24/25,13.0,-0.8,-9.8,-91645946,884754,939218807,0.1,-15.5,Rate,False
1,dc922a364e0f,PPA,Sentry Insurance Group,Dairyland Insurance Company,11/20/25,10/23/25,6.9,6.9,6.9,131118,3296,1900268,65.8,-3.5,Rate,False
1,e5994372c8ed,HO,,Rock Ridge Insurance Company,11/20/25,10/23/25,,0.0,0.0,-111,6989,19336744,156.4,-54.1,Rate,False
1,3d11b98ff11b,PPA,,Allstate North American Insurance Company,11/11/25,10/14/25,,0.0,-2.3,-68469,2343,2976927,0.0,-4.9,Rate,False
1,21bd88d1a097,PPA,,,09/11/25,10/09/25,,,,,,,,,Rate,True
1,e21eac6228c7,PPA,,Kentucky Farm Bureau Mutual Insurance Company,12/15/25,10/07/25,5.8,5.8,3.0,14400000,410746,479000000,5.94,1.45,Rate,False
1,fdca56702dfe,HO,,Kentucky Farm Bureau Mutual Insurance Company,12/15/25,10/06/25,27.1,27.1,8.0,34300000,259853,429200000,19.2,-6.65,Rate,False
1,db06415d41f1,HO,,Stillwater Insurance Company,11/23/25,10/02/25,-3.7,-3.7,-3.7,-38666,731,1049927,17.1,-13.3,Rate,False
