source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,eeaa677e21b1,HO,,"Northern Security Insurance Company, Inc.",10/05/25,12/18/25,,6.7,5.7,954307,9173,18821949,20.5,-3.8,Rate,False
1,eeaa677e21b1,HO,,Vermont Mutual Insurance Company,10/05/25,12/18/25,,6.7,5.6,6341097,40726,115442046,20.3,-4.1,Rate,False
1,79347c18c548,PPA,,Incline Casualty Company,01/01/26,11/26/25,-2.1,-2.1,-2.1,-274554,3169,13073998,19.0,-19.7,Rate,False
1,06d413ca8f14,HO,,Privilege Underwriters Reciprocal Exchange,12/08/25,11/24/25,,0.0,0.0,3000,1,101824726,0.0,0.0,Rate,False
1,99c0b74ced85,HO,,Bay State Insurance Company,11/14/25,11/13/25,6.2,6.2,5.5,5379542,49921,97809853,44.0,3.0,Rate,False
1,99c0b74ced85,HO,,Cambridge Mutual Fire Insurance Company,11/14/25,11/13/25,6.2,9.9,5.0,2025825,19116,40516493,20.0,3.0,Rate,False
1,b893f22223b3,PPA,,Farmers Property and Casualty Insurance Company,12/15/25,10/14/25,19.9,19.9,10.0,17409227,72538,174092273,27.5,1.1,Rate,False
1,9fdb95303cb6,HO,USAA Group,Garrison Property and Casualty Insurance Company,11/10/25,10/08/25,,0.0,0.0,0,0,13849909,0.0,0.0,Rate,False
1,9fdb95303cb6,HO,USAA Group,USAA Casualty Insurance Company,11/10/25,10/08/25,,0.0,0.0,0,0,53588092,0.0,0.0,Rate,False
1,9fdb95303cb6,HO,USAA Group,USAA General Indemnity Company,11/10/25,10/08/25,,0.0,0.0,0,0,28041877,0.0,0.0,Rate,False
1,9fdb95303cb6,HO,USAA Group,United Services Automobile Association,11/10/25,10/08/25,,1.8,1.8,909694,1929,50963017,2.1,0.0,Rate,False
1,9fdb95303cb6,HO,USAA Group,Garrison Property and Casualty Insurance Company,11/10/25,10/08/25,1.8,0.0,0.0,0,0,13849909,0.0,0.0,Rate,False
