source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,8b8b4bc88bce,PPA,,,11/18/24,04/10/26,,,,,,,,,Rate,True
1,4de5a0eb253a,PPA,,,10/03/24,04/10/26,,,,,,,,,Rate,True
1,e01ab94a80b7,PPA,State Farm Group,"MGA Insurance Company, Inc.",10/21/24,07/17/25,23.0,23.0,8.2,1262631,5064,15381113,10.0,-5.0,Rate,False
1,56b1ecb6c1a4,HO,,American Economy Insurance Company,10/23/24,06/27/25,13.2,13.2,5.1,3802297,27917,74727645,43.0,-16.9,Rate,False
1,869bbdbd441b,PPA,Root Insurance Group,Root Insurance Company,12/09/24,06/24/25,,0.0,0.0,0,7691,18083271,28.4,-0.6,Rate,False
1,508f7e15a33e,PPA,,,10/15/24,06/11/25,,,,,,,,,Rate,True
1,5170741951c4,PPA,Travelers Group,Travelers Property Casualty Insurance Company,07/19/24,05/28/25,,0.0,0.0,0,62409,192907444,32.2,-3.1,Rate,False
1,823070fc86b8,HO,,,12/14/24,05/21/25,,,,,,,,,Rate,True
1,50cec2d5570b,PPA,,Progressive Specialty Insurance Company,11/22/24,05/12/25,-2.9,-2.9,-1.9,-2040526,58334,107396117,135.88,-34.86,Rate,False
1,135bdf521fb3,PPA,,GEICO Casualty Company,03/22/24,05/12/25,30.2,10.1,2.3,17218115,276228,748613706,64.9,-34.6,Rate,False
1,135bdf521fb3,PPA,,GEICO Choice Insurance Company,03/22/24,05/12/25,30.2,,2.0,165479,1289,8273928,5.3,0.4,Rate,False
1,135bdf521fb3,PPA,,GEICO General Insurance Company,03/22/24,05/12/25,30.2,4.2,0.9,2006484,85120,222942704,166.7,-32.0,Rate,False
1,135bdf521fb3,PPA,,GEICO Indemnity Company,03/22/24,05/12/25,30.2,17.4,3.5,1113779,8178,31822244,39.5,-19.8,Rate,False
1,135bdf521fb3,PPA,,GEICO Secure Insurance Company,03/22/24,05/12/25,30.2,30.2,2.5,6991152,92835,279646098,68.6,-30.7,Rate,False
1,135bdf521fb3,PPA,,Government Employees Insurance Company,03/22/24,05/12/25,30.2,4.2,0.9,1545496,67853,171721757,47.7,-31.4,Rate,False
1,135bdf521fb3,PPA,,GEICO Casualty Company,03/22/24,05/12/25,,10.1,2.3,17218115,276228,748613706,64.9,-34.6,Rate,False
1,135bdf521fb3,PPA,,GEICO Choice Insurance Company,03/22/24,05/12/25,,,2.0,165479,1289,8273928,5.3,0.4,Rate,False
1,135bdf521fb3,PPA,,GEICO General Insurance Company,03/22/24,05/12/25,,4.2,0.9,2006484,85120,222942704,166.7,-32.0,Rate,False
1,135bdf521fb3,PPA,,GEICO Indemnity Company,03/22/24,05/12/25,,17.4,3.5,1113779,8178,31822244,39.5,-19.8,Rate,False
1,135bdf521fb3,PPA,,GEICO Secure Insurance Company,03/22/24,05/12/25,,30.2,2.5,6991152,92835,279646098,68.6,-30.7,Rate,False
1,135bdf521fb3,PPA,,Government Employees Insurance Company,03/22/24,05/12/25,,4.2,0.9,1545496,67853,171721757,47.7,-31.4,Rate,False
1,135bdf521fb3,PPA,,GEICO Casualty Company,03/22/24,05/12/25,4.2,10.1,2.3,17218115,276228,748613706,64.9,-34.6,Rate,False
1,135bdf521fb3,PPA,,GEICO Choice Insurance Company,03/22/24,05/12/25,4.2,,2.0,165479,1289,8273928,5.3,0.4,Rate,False
1,135bdf521fb3,PPA,,GEICO General Insurance Company,03/22/24,05/12/25,4.2,4.2,0.9,2006484,85120,222942704,166.7,-32.0,Rate,False
1,135bdf521fb3,PPA,,GEICO Indemnity Company,03/22/24,05/12/25,4.2,17.4,3.5,1113779,8178,31822244,39.5,-19.8,Rate,False
1,135bdf521fb3,PPA,,GEICO Secure Insurance Company,03/22/24,05/12/25,4.2,30.2,2.5,6991152,92835,279646098,68.6,-30.7,Rate,False
