source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,8220ad361744,HO,,Stillwater Property and Casualty Insurance Company,06/12/26,06/08/26,,,-0.05,-261,384,508114,22.2,-17.9,Rate,False
1,3bd7809002dc,PPA,,,06/11/26,06/04/26,,,,,,,,,Rate,True
1,905f72157458,PPA,,Esurance Insurance Company,06/11/26,05/21/26,,0.0,0.0,0,0,1251658,0.0,0.0,Rate,False
1,637cd66add58,PPA,,Allstate Fire and Casualty Insurance Company,05/25/26,05/07/26,,0.0,0.0,0,0,51112112,0.0,0.0,Rate,False
1,2b36beb2261f,HO,Ins Group,Union Mutual Fire Insurance Company,06/15/26,05/04/26,4.1,4.1,0.0,0,4721,6387972,5.4,-6.1,Rate,False
1,cad098e3bfbe,PPA,,Farmers Direct Property and Casualty Insurance Company,05/01/26,04/27/26,9.7,9.7,-2.5,-231628,4374,9265135,81.5,-6.0,Rate,False
1,9c7829a6f17c,PPA,,Liberty Mutual Insurance Company,05/01/26,04/22/26,-5.5,-5.5,5.3,24523,235,465523,21.3,-39.2,Rate,False
1,9c7829a6f17c,PPA,,Liberty Mutual Personal Insurance Company,05/01/26,04/22/26,-5.5,-5.5,-0.2,-29385,9488,18304830,51.3,-77.2,Rate,False
1,9c7829a6f17c,PPA,,Liberty Mutual Insurance Company,05/01/26,04/22/26,-5.5,-5.5,5.3,24523,235,465523,21.3,-39.2,Rate,False
1,9c7829a6f17c,PPA,,Liberty Mutual Personal Insurance Company,05/01/26,04/22/26,-5.5,-5.5,-0.2,-29385,9488,18304830,51.3,-77.2,Rate,False
1,d6ef470441ea,PPA,,Dairyland Insurance Company,05/04/26,04/17/26,2.4,2.4,0.1,4173,1929,4173148,36.7,-31.7,Rate,False
1,e30975dca325,HO,,American Economy Insurance Company,05/13/26,04/17/26,1.9,1.9,-9.3,-691756,4137,7416554,0.0,-42.7,Rate,False
1,ecce3aa9c7e4,PPA,,Allstate Insurance Company,05/11/26,04/14/26,,,0.0,0,1260,1710435,0.0,0.0,Rate,False
1,a6741c3e0cee,PPA,,Allstate Indemnity Company,05/11/26,04/14/26,,,0.0,0,169,669654,0.0,0.0,Rate,False
1,5655b252cfad,HO,Insurance Group,,03/23/26,04/06/26,,,,,,,,,Rate,True
1,5872ba148dec,PPA,,MMG Insurance Company,06/01/26,04/03/26,5.0,5.0,0.0,11373,19539,35616300,28.0,-19.7,Rate,False
1,41eaef3d0ae4,PPA,,Safeco National Insurance Company,04/18/26,03/31/26,7.2,7.2,7.2,1630372,12948,22791833,12.0,-0.2,Rate,False
1,c095c3e26d7e,HO,Travelers Group,Travelers Personal Insurance Company,04/25/26,03/30/26,22.5,22.5,21.2,9925,121,46815,26.7,13.4,Rate,False
