source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,e3ed08b17179,PPA,C Ins Group,,10/28/24,08/19/24,,,,,,,,,Rate,True
1,aaf63e7616cb,HO,,Branch Insurance Exchange,12/15/24,02/13/25,58.7,58.7,19.9,100135,365,503049,46.1,-0.9,Rate,False
1,74fab10712c3,HO,,,12/23/24,12/23/24,,,,,,,,,Rate,True
1,00922fa5eb4d,HO,Insurance Group,Auto-Owners Insurance Company,01/01/25,12/12/24,,0.0,0.0,0,521029,690169159,,,Rate,False
1,7b5402e57288,HO,Insurance Group,Auto-Owners Insurance Company,01/01/25,12/12/24,,0.0,0.0,0,9511,4626959,,,Rate,False
1,7b5402e57288,HO,Insurance Group,Home-Owners Insurance Company,01/01/25,12/12/24,,0.0,0.0,0,7922,4698539,,,Rate,False
1,d4fecde8452a,PPA,,Branch Insurance Exchange,12/20/24,12/11/24,33.6,33.6,20.5,77927,353,371433,66.0,-10.3,Rate,False
1,9733fb5bbae2,HO,Travelers Group,,12/06/24,12/06/24,,,,,,,,,Rate,True
1,72621a601963,PPA,,Liberty Mutual Insurance Company,12/18/24,12/06/24,,0.0,0.0,0,1017,2487044,0.0,0.0,Rate,False
1,72621a601963,PPA,,Liberty Mutual Personal Insurance Company,12/18/24,12/06/24,,0.0,0.0,0,49846,153131929,0.0,0.0,Rate,False
1,b0990b9713e8,PPA,,"National General Insurance Online, Inc.",12/13/24,11/26/24,0.8,0.8,0.8,19100,1623,2327653,10.0,-5.0,Rate,False
1,dd307422b3fe,PPA,,National General Insurance Company,12/13/24,11/26/24,0.9,0.9,0.9,374260,14861,39915686,10.0,-5.0,Rate,False
1,ea105c6c49c1,PPA,Ins Group,GEICO General Insurance Company,12/05/24,11/13/24,,-6.6,-6.4,-974778,6893,15230911,16.8,-19.1,Rate,False
1,ea105c6c49c1,PPA,Ins Group,Government Employees Insurance Company,12/05/24,11/13/24,,-6.6,-5.4,-2835979,24681,52518138,7.2,-17.8,Rate,False
1,8eeed06b49ca,PPA,,MAIPF,01/01/25,11/15/24,1.01,1.01,1.01,5130,171,509975,1.01,1.01,Rate,False
1,13154a07dfda,PPA,,MAIPF,01/01/25,11/07/24,17.0,17.0,17.0,87105,171,509975,56.7,0.0,Rate,False
1,c28d6c8025c8,HO,,,12/05/24,11/04/24,,,,,,,,,Rate,True
