source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,61e29585bacd,PPA,,Hugo Insurance Exchange,06/11/26,06/10/26,-14.9,-14.9,-13.1,-71354,553,544328,-9.6,-14.9,Rate,False
1,87699ee8eb91,PPA,Ins Group,GEICO Casualty Company,06/11/26,06/02/26,,0.0,0.0,0,18371,31712211,12.0,-11.5,Rate,False
1,87699ee8eb91,PPA,Ins Group,GEICO Marine Insurance Company,06/11/26,06/02/26,,-2.0,-2.0,-235664,5347,11783201,17.9,-16.7,Rate,False
1,c9dc57bc34f0,HO,,Liberty Mutual Insurance Company,06/15/26,06/01/26,,0.0,0.0,0,30,3587748,0.0,0.0,Rate,False
1,c9dc57bc34f0,HO,,Liberty Mutual Personal Insurance Company,06/15/26,06/01/26,,0.0,0.0,0,1441,128724,0.0,0.0,Rate,False
1,2db62b374154,PPA,Travelers Group,The Standard Fire Insurance Company,05/22/26,05/18/26,-5.8,-5.8,-6.0,-2110106,12255,35168432,0.7,-10.5,Rate,False
1,7cc15aa6082c,PPA,Insurance Group,Mountain Laurel Assurance Company,06/12/26,05/13/26,-1.4,-1.4,-0.8,-944627,94767,118078418,121.0,-42.0,Rate,False
1,cdb3bcbc6d63,PPA,Insurance Group,Progressive Gulf Insurance Company,06/12/26,05/13/26,-5.8,-5.8,-3.1,-4933157,123661,159134089,139.8,-50.8,Rate,False
1,71b5cbdf62c3,HO,,Encompass Indemnity Company,06/08/26,05/04/26,-4.0,-4.0,-13.3,-339173,958,2547687,-5.3,-17.8,Rate,False
1,021e00e2b871,PPA,,,06/11/26,05/04/26,,,,,,,,,Rate,True
1,1a2847151f5b,PPA,,Allstate Property and Casualty Insurance Company,05/25/26,04/17/26,,0.0,0.0,0,0,89664969,0.0,0.0,Rate,False
1,a70d824693db,PPA,State Farm Group,State Farm Fire and Casualty Company,12/15/25,04/15/26,,10.6,-6.9,-2294648,13215,33095066,68.0,-37.4,Rate,False
1,a70d824693db,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,12/15/25,04/15/26,,-2.5,-9.2,-60899189,600635,661415183,117.7,-39.4,Rate,False
1,50f1864afa72,PPA,State Farm Group,State Farm Fire and Casualty Company,04/21/25,04/15/26,-3.2,13.1,-0.5,-200842,17960,41156277,36.0,-15.0,Rate,False
1,50f1864afa72,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,04/21/25,04/15/26,-3.2,-3.2,-7.4,-53496941,584691,719590671,50.9,-20.8,Rate,False
1,50f1864afa72,PPA,State Farm Group,State Farm Fire and Casualty Company,04/21/25,04/15/26,13.1,13.1,-0.5,-200842,17960,41156277,36.0,-15.0,Rate,False
1,50f1864afa72,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,04/21/25,04/15/26,13.1,-3.2,-7.4,-53496941,584691,719590671,50.9,-20.8,Rate,False
