major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
PPA,,Bristol West Insurance Company,05/15/26,05/18/26,0.1,0.1,0.3,154066,2685,5135554,,,Rate,False
PPA,,GEICO Advantage Insurance Company,04/09/26,04/23/26,-3.9,-4.2,-3.6,-178405,4214,4955691,6.2,-6.7,Rate,False
PPA,,GEICO Marine Insurance Company,04/09/26,04/23/26,-3.9,-3.9,-3.3,-25293,424,766450,1.3,-5.6,Rate,False
PPA,,GEICO Advantage Insurance Company,04/09/26,04/23/26,-4.2,-4.2,-3.6,-178405,4214,4955691,6.2,-6.7,Rate,False
PPA,,GEICO Marine Insurance Company,04/09/26,04/23/26,-4.2,-3.9,-3.3,-25293,424,766450,1.3,-5.6,Rate,False
PPA,Allstate Insurance Group,Allstate Fire and Casualty Insurance Company,05/11/26,04/20/26,,0.0,0.0,0,0,20915012,0.0,0.0,Rate,False
HO,Allstate Insurance Group,Allstate North American Insurance Company,05/21/26,04/20/26,,0.0,0.0,0,2578,345659,3.5,-1.5,Rate,False
HO,,Branch Insurance Exchange,03/09/26,04/14/26,11.2,11.2,10.1,232803,1068,2299857,64.2,-52.0,Rate,False
HO,,"Zesty.ai Property Risk Solutions, LLC",04/13/26,04/13/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,Travelers Group,The Standard Fire Insurance Company,05/03/26,04/13/26,,,0.0,0,16318,37918974,0.0,0.0,Rate,False
HO,Chubb INA Group,Chubb National Insurance Company,04/20/26,04/02/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
HO,Chubb INA Group,Executive Risk Indemnity Inc.,04/20/26,04/02/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,,04/01/26,04/01/26,,,,,,,,,Rate,True
PPA,,Branch Insurance Exchange,03/09/26,03/30/26,15.1,15.1,12.7,1276089,1087,1134641,50.4,-25.4,Rate,False
HO,Allstate Insurance Group,Allstate Insurance Company,04/06/26,03/30/26,20.1,20.1,20.1,67059,642,333916,45.2,0.0,Rate,False
HO,,,03/28/26,03/25/26,,,,,,,,,Rate,False
PPA,,,03/28/26,03/25/26,,,,,,,,,Rate,False
HO,,,03/28/26,03/25/26,,,,,,,,,Rate,False
PPA,,,03/28/26,03/25/26,,,,,,,,,Rate,False
HO,,,03/23/26,03/23/26,6.8,,,,,,,,Rate,False
PPA,Sentry Insurance Group,Dairyland Insurance Company,03/09/26,03/05/26,,0.0,0.0,0,123,58127,137.0,-30.7,Rate,False
PPA,Sentry Insurance Group,Sentry Select Insurance Company,03/09/26,03/05/26,,0.0,0.0,0,247,141936,171.8,-32.7,Rate,False
HO,,Nationwide Mutual Insurance Company,04/28/26,03/05/26,21.8,21.8,11.9,1660946,6583,13968562,17.65,0.0,Rate,False
PPA,,Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-2.2,-485,11,22007,5.0,-11.0,Rate,False
PPA,,Liberty Mutual Fire Insurance Company,03/05/26,03/03/26,-9.5,-9.5,-5.0,-224172,1725,4490217,5.0,-14.0,Rate,False
PPA,,The First Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-6.4,-17386,95,269668,5.0,-11.2,Rate,False
PPA,,Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-2.2,-485,11,22007,5.0,-11.0,Rate,False
PPA,,Liberty Mutual Fire Insurance Company,03/05/26,03/03/26,-9.5,-9.5,-5.0,-224172,1725,4490217,5.0,-14.0,Rate,False
PPA,,The First Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-6.4,-17386,95,269668,5.0,-11.2,Rate,False
PPA,,Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-2.2,-485,11,22007,5.0,-11.0,Rate,False
PPA,,Liberty Mutual Fire Insurance Company,03/05/26,03/03/26,-9.5,-9.5,-5.0,-224172,1725,4490217,5.0,-14.0,Rate,False
PPA,,The First Liberty Insurance Corporation,03/05/26,03/03/26,-9.5,-9.5,-6.4,-17386,95,269668,5.0,-11.2,Rate,False
PPA,,Mid-Century Insurance Company,05/06/26,02/25/26,2.1,2.1,2.0,500870,11452,25310588,7.2,0.0,Rate,False
PPA,,Nationwide Mutual Insurance Company,03/21/26,02/17/26,,0.0,0.0,0,2672,7031088,3.2,-4.7,Rate,False
PPA,,Farmers Direct Property and Casualty Insurance Company,02/20/26,02/03/26,-5.6,-5.6,-4.6,-57696,488,1254261,-5.0,-10.0,Rate,False
PPA,,Mid-Century Insurance Company,01/10/26,02/03/26,,0.0,0.0,0,12255,28076296,0.0,0.0,Rate,False
HO,,Farmers Insurance Exchange,01/10/26,02/03/26,,0.0,0.0,0,7104,21419579,0.0,0.0,Rate,False
HO,,Farmers Direct Property and Casualty Insurance Company,02/20/26,02/03/26,3.0,3.0,-0.3,-12226,1000,4139384,10.0,-10.0,Rate,False
HO,,Nutmeg Insurance Company,12/04/25,12/23/25,23.6,23.6,3.0,14853,430,495106,56.4,-25.3,Rate,False
HO,,Liberty Mutual Fire Insurance Company,01/31/26,12/19/25,19.1,19.1,6.0,289896,1681,4828381,10.04,4.01,Rate,False
PPA,BAMR US PC Group,American National Property And Casualty Company,02/20/26,12/16/25,3.4,3.4,3.4,76033,1209,2221411,12.4,-5.0,Rate,False
PPA,,,12/15/25,12/10/25,,,,,,,,,Rate,True
HO,,Stillwater Insurance Company,01/14/26,12/08/25,,,-0.2,-3499,708,1512102,35.8,-20.2,Rate,False
PPA,,,12/15/25,12/02/25,,,,,,,,,Rate,True
HO,,"Acuity, A Mutual Insurance Company",12/29/25,11/25/25,-10.9,-10.9,0.0,20,2401,7145573,52.9,-15.2,Rate,False
PPA,Allstate Insurance Group,Allstate North American Insurance Company,05/12/26,11/20/25,,,0.0,0,0,0,0.0,0.0,Rate,False
