source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,f63b96837426,PPA,,Esurance Insurance Company,06/11/26,05/27/26,,0.0,0.0,0,0,707112,0.0,0.0,Rate,False
1,b2b4343e0766,HO,,"Grinnell Advisory Company, L.L.C.",05/01/26,05/06/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,2b1b0c4a1e93,PPA,,,04/30/26,04/30/26,,,,,,,,,Rate,False
1,1fcfbf8774e4,HO,,Encompass Indemnity Company,06/08/26,04/29/26,,0.0,-12.0,-558,5,4652,-10.2,-13.7,Rate,False
1,be1c0f7680af,PPA,,Encompass Indemnity Company,06/08/26,04/29/26,,0.0,-19.0,-624,1,3291,-19.0,-19.0,Rate,False
1,c85d9f547036,HO,,Northwest G F Mutual Insurance Company,06/15/26,04/28/26,-4.0,-4.0,-4.0,-130309,627,3018208,-10.0,0.0,Rate,False
1,233d38e6a2e7,HO,,Farmers Insurance Exchange,05/17/26,04/24/26,8.3,8.3,7.2,543662,3148,7528917,25.562,-22.683,Rate,False
1,233d38e6a2e7,HO,,Fire Insurance Exchange,05/17/26,04/24/26,8.3,8.3,5.5,115696,1480,2108587,8.0,2.947,Rate,False
1,233d38e6a2e7,HO,,Truck Insurance Exchange,05/17/26,04/24/26,8.3,8.3,7.5,136979,2170,1827390,14.041,0.0,Rate,False
1,233d38e6a2e7,HO,,Farmers Insurance Exchange,05/17/26,04/24/26,8.3,8.3,7.2,543662,3148,7528917,25.562,-22.683,Rate,False
1,233d38e6a2e7,HO,,Fire Insurance Exchange,05/17/26,04/24/26,8.3,8.3,5.5,115696,1480,2108587,8.0,2.947,Rate,False
1,233d38e6a2e7,HO,,Truck Insurance Exchange,05/17/26,04/24/26,8.3,8.3,7.5,136979,2170,1827390,14.041,0.0,Rate,False
1,233d38e6a2e7,HO,,Farmers Insurance Exchange,05/17/26,04/24/26,8.3,8.3,7.2,543662,3148,7528917,25.562,-22.683,Rate,False
1,233d38e6a2e7,HO,,Fire Insurance Exchange,05/17/26,04/24/26,8.3,8.3,5.5,115696,1480,2108587,8.0,2.947,Rate,False
1,233d38e6a2e7,HO,,Truck Insurance Exchange,05/17/26,04/24/26,8.3,8.3,7.5,136979,2170,1827390,14.041,0.0,Rate,False
1,52afefd89cc6,HO,,Farmers Property and Casualty Insurance Company,05/15/26,04/17/26,,0.0,-1.0,-92851,2857,8915737,0.0,-25.5,Rate,False
