source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,9b6f00651e3b,PPA,,Property and Casualty Insurance Company of Hartford,06/04/26,06/02/26,8.6,8.6,3.3,18994,716,575579,20.2,-11.9,Rate,False
1,20bbb0238b1e,PPA,,"Cambridge Mobile Telematics, Inc.",06/08/26,06/01/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,07d2882c7391,PPA,Cas Group,Nationwide Mutual Insurance Company,05/10/26,02/17/26,,0.0,-2.0,-111589,2782,5596124,-0.2,-14.7,Rate,False
1,87939e30c5d3,PPA,Amica Mutual Group,Amica Mutual Insurance Company,05/01/26,02/11/26,,0.0,0.0,0,19634,38723480,0.0,0.0,Rate,False
1,87939e30c5d3,PPA,Amica Mutual Group,Amica Property and Casualty Insurance Company,05/01/26,02/11/26,,0.0,0.0,0,231,606524,0.0,0.0,Rate,False
1,b2f558a2b83f,HO,State Farm Group,State Farm Fire and Casualty Company,05/01/26,04/14/26,6.0,6.0,2.7,2136390,86247,78013084,19.6,-14.1,Rate,False
1,64736fd95ea9,PPA,Insurance Group,Progressive Casualty Insurance Company,05/08/26,04/24/26,-4.3,-4.3,-1.9,-272,9,14295,3.2,-3.6,Rate,False
1,64736fd95ea9,PPA,Insurance Group,Progressive Northern Insurance Company,05/08/26,04/24/26,-4.3,-4.3,-1.9,-1794479,52744,94446268,3.2,-3.6,Rate,False
1,42007dd2cca1,PPA,Insurance Group,Progressive Universal Insurance Company,05/08/26,04/23/26,3.1,3.1,2.0,3343446,107628,167172323,7.7,-2.0,Rate,False
1,d3807716ece9,HO,,Integon National Insurance Company,05/11/26,04/30/26,,0.0,-15.3,-10343,50,67800,-10.1,-31.4,Rate,False
1,aeb90932cfda,HO,Ins Group,Union Mutual Fire Insurance Company,05/15/26,04/14/26,,0.0,0.0,0,5881,6317869,4.9,-6.2,Rate,False
1,4e8893fd92e7,PPA,Ins Group,GEICO Casualty Company,05/27/26,05/22/26,-7.8,-7.0,-7.0,-27082,917,386879,0.0,-13.12,Rate,False
1,4e8893fd92e7,PPA,Ins Group,GEICO Marine Insurance Company,05/27/26,05/22/26,-7.8,-7.8,-7.8,-452,28,5795,0.0,-11.3,Rate,False
1,4e8893fd92e7,PPA,Ins Group,GEICO Casualty Company,05/27/26,05/22/26,-7.0,-7.0,-7.0,-27082,917,386879,0.0,-13.12,Rate,False
1,4e8893fd92e7,PPA,Ins Group,GEICO Marine Insurance Company,05/27/26,05/22/26,-7.0,-7.8,-7.8,-452,28,5795,0.0,-11.3,Rate,False
1,5e1252f702ba,PPA,,Allstate Fire and Casualty Insurance Company,05/25/26,05/20/26,,0.0,0.0,0,0,69655413,0.0,0.0,Rate,False
1,c0dce8524974,PPA,,Farmers Direct Property and Casualty Insurance Company,05/08/26,04/30/26,,0.0,0.0,0,5294,8063937,0.0,0.0,Rate,False
1,ddd9839a0529,HO,,Farmers Direct Property and Casualty Insurance Company,05/08/26,04/30/26,,0.0,0.0,0,7462,8276031,0.0,0.0,Rate,False
1,f14a8487ec25,HO,,American Modern Property and Casualty Insurance Company,03/18/26,11/17/25,11.7,11.7,11.7,286576,2520,2446576,14.3,0.0,Rate,False
1,34f7d4bb8ffd,PPA,,Middlesex Insurance Company,03/16/26,03/04/26,32.3,32.3,5.0,5084,145,101690,107.2,-70.9,Rate,False
1,94f3e6e0a79b,HO,,Liberty Mutual Insurance Company,04/20/26,03/31/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,94f3e6e0a79b,HO,,Peerless Indemnity Insurance Company,04/20/26,03/31/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,3d74c74a4beb,HO,,,04/20/26,03/12/26,,,,,,,,,Rate,True
1,392248611aab,PPA,,,03/20/26,04/21/26,,,,,,,,,Rate,True
1,25485387e3f7,PPA,,Hartford Insurance Company of the Midwest,04/02/26,04/09/26,0.3,0.3,0.6,903,107,162654,26.0,-5.0,Rate,False
1,25485387e3f7,PPA,,"Sentinel Insurance Company, Ltd.",04/02/26,04/09/26,0.3,0.3,-0.3,-495,86,156632,28.0,-15.0,Rate,False
1,25485387e3f7,PPA,,Hartford Insurance Company of the Midwest,04/02/26,04/09/26,0.3,0.3,0.6,903,107,162654,26.0,-5.0,Rate,False
1,25485387e3f7,PPA,,"Sentinel Insurance Company, Ltd.",04/02/26,04/09/26,0.3,0.3,-0.3,-495,86,156632,28.0,-15.0,Rate,False
1,3ee5d806626a,PPA,,Hartford Casualty Insurance Company,04/02/26,04/09/26,6.9,6.9,3.7,857,14,23131,9.7,0.2,Rate,False
1,3ee5d806626a,PPA,,Hartford Fire Insurance Company,04/02/26,04/09/26,6.9,6.9,5.0,374297,4509,7469086,21.0,-4.0,Rate,False
1,3ee5d806626a,PPA,,Hartford Casualty Insurance Company,04/02/26,04/09/26,6.9,6.9,3.7,857,14,23131,9.7,0.2,Rate,False
1,3ee5d806626a,PPA,,Hartford Fire Insurance Company,04/02/26,04/09/26,6.9,6.9,5.0,374297,4509,7469086,21.0,-4.0,Rate,False
1,80d18a0207e7,HO,,"Northern Security Insurance Company, Inc.",03/09/26,11/20/25,14.1,14.1,4.3,89037,2161,2061554,17.4,-3.4,Rate,False
1,80d18a0207e7,HO,,Vermont Mutual Insurance Company,03/09/26,11/20/25,14.1,14.1,5.2,1442716,21574,27633760,17.6,-3.6,Rate,False
1,80d18a0207e7,HO,,"Northern Security Insurance Company, Inc.",03/09/26,11/20/25,14.1,14.1,4.3,89037,2161,2061554,17.4,-3.4,Rate,False
1,80d18a0207e7,HO,,Vermont Mutual Insurance Company,03/09/26,11/20/25,14.1,14.1,5.2,1442716,21574,27633760,17.6,-3.6,Rate,False
1,0ee10bcf16f9,PPA,BAMR US PC Group,Argonaut Insurance Company,02/20/26,12/19/25,3.2,3.2,3.2,128209,2498,3993917,74.0,-21.8,Rate,False
1,be9097ee5fad,HO,,MMG Insurance Company,03/01/26,01/22/26,-13.7,-13.7,-9.9,-1371961,16504,15548201,60.0,-52.0,Rate,False
1,6809b457dc00,HO,,American Economy Insurance Company,02/21/26,01/02/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,383702f3458d,HO,,Liberty Mutual Insurance Company,03/01/26,02/10/26,,0.0,-15.1,-6684,16,44346,-14.4,-15.3,Rate,False
1,383702f3458d,HO,,Peerless Indemnity Insurance Company,03/01/26,02/10/26,,0.0,-15.0,-172550,753,1152430,-10.2,-15.6,Rate,False
