source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,1e22860b2152,HO,,,12/17/24,01/28/25,,,,,,,,,Rate,True
1,b9e7a318dace,PPA,,,01/01/25,12/20/24,26.2,,,,,,,,Rate,False
1,ddbe3540d899,HO,,,12/16/24,12/16/24,,,,,,,,,Rate,True
1,c65d67c338ab,HO,,Allstate New Jersey Property and Casualty Insurance Company,12/16/24,12/06/24,38.9,38.9,19.0,47597875,168460,250296190,39.3,0.5,Rate,False
1,e3f5fa23c622,HO,,Privilege Underwriters Reciprocal Exchange,01/01/25,12/03/24,21.8,21.8,9.9,2885118,4030,29133539,32.9,0.0,Rate,False
1,db5ef5641761,HO,,Stillwater Property and Casualty Insurance Company,12/06/24,11/27/24,19.3,19.3,4.9,1264335,27187,25976868,25.0,-11.7,Rate,False
1,c3794c555e1a,PPA,Amica Mutual Group,Amica Mutual Insurance Company,12/01/24,11/27/24,24.2,24.2,6.9,2208485,13003,32007024,12.3,1.0,Rate,False
1,c3794c555e1a,PPA,Amica Mutual Group,Amica Property and Casualty Insurance Company,12/01/24,11/27/24,24.2,16.6,6.9,678435,3132,9832386,13.0,0.4,Rate,False
1,c3794c555e1a,PPA,Amica Mutual Group,Amica Mutual Insurance Company,12/01/24,11/27/24,16.6,24.2,6.9,2208485,13003,32007024,12.3,1.0,Rate,False
1,c3794c555e1a,PPA,Amica Mutual Group,Amica Property and Casualty Insurance Company,12/01/24,11/27/24,16.6,16.6,6.9,678435,3132,9832386,13.0,0.4,Rate,False
1,31c4896f8885,HO,,Clear Blue Insurance Company,12/28/24,11/14/24,83.9,83.9,5.0,295183,2442,5894898,5.29,3.63,Rate,False
1,ff3ab6bb3fb6,PPA,Travelers Group,St. Paul Protective Insurance Company,11/01/24,11/01/24,,,0.1,257983,113380,355709897,124.8,-47.0,Rate,False
1,ee0002396954,PPA,Travelers Group,"Fidelity and Guaranty Insurance Underwriters, Inc.",11/01/24,11/01/24,,,0.0,731,16271,39198773,10.2,-4.7,Rate,False
1,715e55ecec90,PPA,Travelers Group,St. Paul Protective Insurance Company,11/17/24,10/31/24,18.0,18.0,12.0,43498819,116185,362490162,27.3,2.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Chubb Insurance Company of New Jersey,12/09/24,10/25/24,11.9,11.9,4.1,4680237,19671,113966246,22.0,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Federal Insurance Company,12/09/24,10/25/24,11.9,11.9,2.0,775968,5717,38577825,17.6,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Great Northern Insurance Company,12/09/24,10/25/24,11.9,11.9,4.6,526103,1716,11498888,19.9,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Pacific Indemnity Company,12/09/24,10/25/24,11.9,11.9,3.0,19557,129,655292,14.7,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Vigilant Insurance Company,12/09/24,10/25/24,11.9,11.9,3.5,632626,2868,18014610,16.3,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Chubb Insurance Company of New Jersey,12/09/24,10/25/24,11.9,11.9,4.1,4680237,19671,113966246,22.0,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Federal Insurance Company,12/09/24,10/25/24,11.9,11.9,2.0,775968,5717,38577825,17.6,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Great Northern Insurance Company,12/09/24,10/25/24,11.9,11.9,4.6,526103,1716,11498888,19.9,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Pacific Indemnity Company,12/09/24,10/25/24,11.9,11.9,3.0,19557,129,655292,14.7,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Vigilant Insurance Company,12/09/24,10/25/24,11.9,11.9,3.5,632626,2868,18014610,16.3,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Chubb Insurance Company of New Jersey,12/09/24,10/25/24,11.9,11.9,4.1,4680237,19671,113966246,22.0,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Federal Insurance Company,12/09/24,10/25/24,11.9,11.9,2.0,775968,5717,38577825,17.6,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Great Northern Insurance Company,12/09/24,10/25/24,11.9,11.9,4.6,526103,1716,11498888,19.9,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Pacific Indemnity Company,12/09/24,10/25/24,11.9,11.9,3.0,19557,129,655292,14.7,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Vigilant Insurance Company,12/09/24,10/25/24,11.9,11.9,3.5,632626,2868,18014610,16.3,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Chubb Insurance Company of New Jersey,12/09/24,10/25/24,11.9,11.9,4.1,4680237,19671,113966246,22.0,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Federal Insurance Company,12/09/24,10/25/24,11.9,11.9,2.0,775968,5717,38577825,17.6,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Great Northern Insurance Company,12/09/24,10/25/24,11.9,11.9,4.6,526103,1716,11498888,19.9,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Pacific Indemnity Company,12/09/24,10/25/24,11.9,11.9,3.0,19557,129,655292,14.7,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Vigilant Insurance Company,12/09/24,10/25/24,11.9,11.9,3.5,632626,2868,18014610,16.3,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Chubb Insurance Company of New Jersey,12/09/24,10/25/24,11.9,11.9,4.1,4680237,19671,113966246,22.0,0.0,Rate,False
1,fa411d1ce1c6,HO,Chubb INA Group,Federal Insurance Company,12/09/24,10/25/24,11.9,11.9,2.0,775968,5717,38577825,17.6,0.0,Rate,False
