major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
PPA,,American Hallmark Insurance Company of Texas,05/25/26,05/22/26,18.7,18.7,0.44,9603,2825,2196722,15.0,-15.0,Rate,False
HO,,Markel American Insurance Company,07/15/25,05/14/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
PPA,,Branch Insurance Exchange,06/01/26,05/14/26,,0.0,0.0,0,96,84547,0.0,0.0,Rate,False
PPA,,Economy Premier Assurance Company,05/01/26,05/11/26,6.1,6.1,0.1,12090,3807,12089553,15.0,0.0,Rate,False
HO,,,05/21/26,05/07/26,,,,,,,,,Rate,False
PPA,,Hartford Insurance Company of Illinois,04/02/26,04/28/26,4.3,4.3,2.4,1254,40,52259,17.1,-2.9,Rate,False
PPA,,Hartford Insurance Company of the Southeast,04/02/26,04/28/26,4.3,4.3,2.1,46225,2360,2201202,17.0,-6.8,Rate,False
PPA,,Hartford Insurance Company of Illinois,04/02/26,04/28/26,4.3,4.3,2.4,1254,40,52259,17.1,-2.9,Rate,False
PPA,,Hartford Insurance Company of the Southeast,04/02/26,04/28/26,4.3,4.3,2.1,46225,2360,2201202,17.0,-6.8,Rate,False
HO,State Farm Group,,06/01/26,04/27/26,,,,,,,,,Rate,False
PPA,,Allstate North American Insurance Company,05/05/26,04/23/26,,0.0,-1.1,-248706,8327,22609626,0.0,0.0,Rate,False
PPA,,Allstate Fire and Casualty Insurance Company,05/11/26,04/20/26,,0.0,0.0,0,0,97353542,0.0,0.0,Rate,False
PPA,,,04/14/26,04/14/26,,,,,,,,,Rate,False
PPA,,Root Insurance Company,05/08/26,04/14/26,-4.6,-4.6,0.0,0,7605,19910595,28.3,-20.92,Rate,False
HO,,Homesite Insurance Company,04/15/26,04/13/26,,0.0,-1.0,-359813,19355,37696879,0.0,-11.8,Rate,False
PPA,,Farmers Insurance Exchange,04/26/26,04/06/26,-11.7,-11.7,0.0,-1984,12238,26916404,17.3,-14.0,Rate,False
PPA,,Loya Insurance Company,04/06/26,03/27/26,5.5,5.5,-0.1,-18563,11265,18563018,15.0,-16.6,Rate,False
PPA,,,04/08/26,03/27/26,,,,,,,,,Rate,False
HO,,Farmers Insurance Company of Arizona,03/22/26,03/04/26,10.4,10.4,5.4,662000,5497,12367000,5.8,3.92,Rate,False
HO,,Farmers Insurance Exchange,03/22/26,03/04/26,10.4,10.4,5.6,3606000,27120,64151000,7.51,-8.5,Rate,False
HO,,Fire Insurance Exchange,03/22/26,03/04/26,10.4,10.4,3.3,707000,17510,21464000,72.62,-44.35,Rate,False
HO,,Farmers Insurance Company of Arizona,03/22/26,03/04/26,10.4,10.4,5.4,662000,5497,12367000,5.8,3.92,Rate,False
HO,,Farmers Insurance Exchange,03/22/26,03/04/26,10.4,10.4,5.6,3606000,27120,64151000,7.51,-8.5,Rate,False
HO,,Fire Insurance Exchange,03/22/26,03/04/26,10.4,10.4,3.3,707000,17510,21464000,72.62,-44.35,Rate,False
HO,,Farmers Insurance Company of Arizona,03/22/26,03/04/26,10.4,10.4,5.4,662000,5497,12367000,5.8,3.92,Rate,False
HO,,Farmers Insurance Exchange,03/22/26,03/04/26,10.4,10.4,5.6,3606000,27120,64151000,7.51,-8.5,Rate,False
HO,,Fire Insurance Exchange,03/22/26,03/04/26,10.4,10.4,3.3,707000,17510,21464000,72.62,-44.35,Rate,False
PPA,,,04/01/26,02/24/26,,,,,,,,,Rate,True
PPA,,,04/01/26,02/24/26,,,,,,,,,Rate,True
PPA,,,04/01/26,02/24/26,,,,,,,,,Rate,True
PPA,,Sentry Insurance Company,03/12/26,02/13/26,,0.0,0.0,0,22982,46643331,0.0,0.0,Rate,False
PPA,BAMR US PC Group,American National Property And Casualty Company,04/03/26,02/13/26,2.6,2.6,2.6,85543,1610,3322685,7.9,-2.9,Rate,False
PPA,,Unique Insurance Company,02/26/26,02/11/26,,0.0,0.0,0,1505,2411606,3.9,-27.3,Rate,False
HO,,,02/20/26,02/11/26,,,,,,,,,Rate,False
PPA,,,06/01/26,02/05/26,,,,,,,,,Rate,False
HO,,The Cincinnati Casualty Company,05/15/26,02/05/26,8.457,8.457,7.983,210518,771,2637044,29.621,-9.589,Rate,False
