major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
PPA,,USA Underwriters Insurance Company,05/20/26,05/05/26,0.27,0.27,0.27,41985,8379,15817699,0.79,-29.44,Rate,False
HO,,,05/01/26,04/24/26,,,,,,,,,Rate,False
PPA,PC Group,COUNTRY Casualty Insurance Company,05/15/26,04/13/26,,20.967,0.0,0,17,15316,0.007,0.0,Rate,False
PPA,PC Group,COUNTRY Mutual Insurance Company,05/15/26,04/13/26,,29.066,0.0,-2,936,620271,0.667,-0.558,Rate,False
PPA,PC Group,COUNTRY Preferred Insurance Company,05/15/26,04/13/26,,19.039,-0.002,-17,1543,693014,1.361,-0.628,Rate,False
PPA,PC Group,COUNTRY Casualty Insurance Company,05/15/26,04/13/26,,20.967,0.002,0,7,9553,0.005,0.0,Rate,False
PPA,PC Group,COUNTRY Mutual Insurance Company,05/15/26,04/13/26,,29.066,-0.001,-1,239,134097,0.044,-0.174,Rate,False
PPA,PC Group,COUNTRY Preferred Insurance Company,05/15/26,04/13/26,,19.039,-0.001,-2,532,293208,0.074,-0.224,Rate,False
PPA,PC Group,COUNTRY Casualty Insurance Company,05/15/26,04/13/26,,20.967,-0.004,0,12,12469,0.0,-0.029,Rate,False
PPA,PC Group,COUNTRY Mutual Insurance Company,05/15/26,04/13/26,,29.066,-0.002,-4,198,160480,0.03,-0.255,Rate,False
PPA,PC Group,COUNTRY Preferred Insurance Company,05/15/26,04/13/26,,19.039,0.0,-1,408,288156,0.067,-0.151,Rate,False
HO,Insurance Group,American Strategic Insurance Corp.,05/08/26,04/07/26,8.0,8.0,3.0,31758,1687,1058623,4.23,-27.18,Rate,False
HO,,,04/01/26,04/01/26,,,,,,,,,Rate,True
PPA,Travelers Group,,04/12/26,03/17/26,,,,,,,,,Rate,False
PPA,,Mendakota Insurance Company,03/20/26,03/16/26,8.092,8.092,0.042,35031,33770,82964371,20.107,-26.167,Rate,False
PPA,,LM General Insurance Company,04/15/26,03/12/26,5.8,5.8,5.138,719668,4229,14005224,11.11,0.0,Rate,False
PPA,,LM Insurance Corporation,04/15/26,03/12/26,5.8,5.8,5.138,9778,32,191349,8.9,3.0,Rate,False
HO,,Imperial Fire and Casualty Insurance Company,04/06/26,03/04/26,,0.0,-4.323,-45810,581,1059589,5.424,-18.607,Rate,False
PPA,,American Hallmark Insurance Company of Texas,03/16/26,03/02/26,,0.0,0.0,0,3301,2398329,65.331,-30.297,Rate,False
HO,,Hartford Accident and Indemnity Company,03/12/26,02/26/26,4.265,4.265,3.738,70794,1186,1893739,13.493,0.0,Rate,False
HO,,Hartford Fire Insurance Company,03/12/26,02/26/26,4.265,4.265,4.182,1617,29,38667,10.053,0.0,Rate,False
