source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,45f7517b6ef1,PPA,,GM National Insurance Company,12/06/24,01/13/25,,0.0,-6.7,-52882,763,789282,2.9,-19.5,Rate,False
1,51dc3b4f7f78,PPA,,Root Insurance Company,12/09/24,03/07/25,-2.9,-2.9,0.0,0,15318,20116480,3.3,-4.61,Rate,False
1,d639d18967d0,PPA,Insurance Group,Progressive Direct Insurance Company,12/13/24,10/15/24,-11.2,-11.2,-1.2,-73080,87587,6090020,134.4,-54.4,Rate,False
1,d639d18967d0,PPA,Insurance Group,Progressive Specialty Insurance Company,12/13/24,10/15/24,-11.2,-11.2,-3.8,-364523,138881,9592699,102.0,-51.7,Rate,False
1,d639d18967d0,PPA,Insurance Group,Progressive Direct Insurance Company,12/13/24,10/15/24,-11.2,-11.2,-1.2,-73080,87587,6090020,134.4,-54.4,Rate,False
1,d639d18967d0,PPA,Insurance Group,Progressive Specialty Insurance Company,12/13/24,10/15/24,-11.2,-11.2,-3.8,-364523,138881,9592699,102.0,-51.7,Rate,False
1,ef6c9696f496,PPA,,The Hanover Insurance Company,12/09/24,10/01/24,,0.0,0.0,0,11083,27118093,0.0,0.0,Rate,False
1,2a18f2847ac0,HO,,Encompass Home and Auto Insurance Company,12/19/24,10/02/24,23.1,23.1,23.1,1945398,3277,8436981,24.2,0.0,Rate,False
1,cbaaaf443113,PPA,,"Acuity, A Mutual Insurance Company",12/17/24,10/17/24,4.2,4.2,3.5,345371,4652,9849682,8.7,0.9,Rate,False
1,d3ce4497b518,PPA,,The Hanover Insurance Company,12/09/24,09/04/24,,0.0,0.0,0,142,27240,0.0,0.0,Rate,False
1,dea62a431b45,HO,,American Family Insurance Company,12/15/24,09/13/24,39.9,39.9,24.1,9868679,22185,40971550,73.5,-0.8,Rate,False
1,ecb59e81683f,PPA,,Safeco Insurance Company of Illinois,11/16/24,08/22/24,10.4,10.4,9.7,370217,10225,3807801,39.1,0.0,Rate,False
1,63549a64e516,PPA,,The National Mutual Insurance Company,11/01/24,08/30/24,3.2,3.2,3.2,502575,9554,15705457,15.9,-1.8,Rate,False
1,578e04b4ea46,PPA,,The Celina Mutual Insurance Company,11/01/24,08/29/24,7.2,7.2,7.2,444342,3928,6171417,20.5,1.0,Rate,False
1,3f2dc926edb2,PPA,,"Foremost Insurance Company  Grand Rapids, Michigan",12/15/24,07/10/24,,0.0,0.0,0,2922,1449126,0.0,0.0,Rate,False
1,f97b399082af,PPA,,"Foremost Insurance Company  Grand Rapids, Michigan",12/15/24,07/10/24,,0.0,0.0,0,545,519955,0.0,0.0,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide General Insurance Company,09/02/24,01/30/25,23.0,23.0,22.7,10163070,33167,44770157,31.6,1.8,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide Insurance Company of America,09/02/24,01/30/25,23.0,23.0,27.3,21834821,62905,79837458,163.6,-33.5,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide Mutual Insurance Company,09/02/24,01/30/25,23.0,23.0,20.4,11456790,35456,56055799,30.4,1.4,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide Property and Casualty Insurance Company,09/02/24,01/30/25,23.0,23.0,20.4,14903248,50851,73040360,30.4,1.6,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide General Insurance Company,09/02/24,01/30/25,23.0,23.0,22.7,10163070,33167,44770157,31.6,1.8,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide Insurance Company of America,09/02/24,01/30/25,23.0,23.0,27.3,21834821,62905,79837458,163.6,-33.5,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide Mutual Insurance Company,09/02/24,01/30/25,23.0,23.0,20.4,11456790,35456,56055799,30.4,1.4,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide Property and Casualty Insurance Company,09/02/24,01/30/25,23.0,23.0,20.4,14903248,50851,73040360,30.4,1.6,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide General Insurance Company,09/02/24,01/30/25,23.0,23.0,22.7,10163070,33167,44770157,31.6,1.8,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide Insurance Company of America,09/02/24,01/30/25,23.0,23.0,27.3,21834821,62905,79837458,163.6,-33.5,Rate,False
1,da1bc95511ec,HO,Cas Group,Nationwide Mutual Insurance Company,09/02/24,01/30/25,23.0,23.0,20.4,11456790,35456,56055799,30.4,1.4,Rate,False
