source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,2b66cadbf7a2,PPA,Travelers Group,"The Automobile Insurance Company of Hartford, Connecticut",04/26/24,04/15/24,6.4,6.4,5.9,9957537,79258,168771819,12.6,1.0,Rate,False
1,2b66cadbf7a2,PPA,Travelers Group,Travelers Property Casualty Insurance Company,04/26/24,04/15/24,6.4,6.4,5.6,7511214,59317,134128815,12.6,1.1,Rate,False
1,2b66cadbf7a2,PPA,Travelers Group,"The Automobile Insurance Company of Hartford, Connecticut",04/26/24,04/15/24,6.4,6.4,5.9,9957537,79258,168771819,12.6,1.0,Rate,False
1,2b66cadbf7a2,PPA,Travelers Group,Travelers Property Casualty Insurance Company,04/26/24,04/15/24,6.4,6.4,5.6,7511214,59317,134128815,12.6,1.1,Rate,False
1,e33a485d6fc4,PPA,,Allstate North American Insurance Company,08/04/24,06/19/25,,,-7.0,-7716317,41578,110233099,-6.9,-7.1,Rate,False
1,582a46b57e56,PPA,,,12/05/24,01/22/25,,,,,,,,,Rate,True
1,bbe91791df02,HO,,Penn Charter Mutual Insurance Company,01/01/25,09/27/24,21.8,21.8,4.6,13380,248,289050,25.0,0.0,Rate,False
1,18e304267cd1,PPA,,,12/30/24,12/30/24,,,,,,,,,Rate,True
1,18e304267cd1,PPA,,,12/30/24,12/30/24,,,,,,,,,Rate,True
1,7503100f9fe4,PPA,,Coast National Insurance Company,12/24/24,12/24/24,,0.0,0.0,0,0,48840544,0.0,0.0,Rate,False
1,79d03cf68bb2,PPA,,Bristol West Insurance Company,12/24/24,12/24/24,,0.0,0.0,0,0,48481240,0.0,0.0,Rate,False
1,79d03cf68bb2,PPA,,Bristol West Insurance Company,12/24/24,12/24/24,,0.0,0.0,0,0,3273342,0.0,0.0,Rate,False
1,86445baae9d3,HO,Erie Insurance Group,Erie Insurance Exchange,01/01/25,12/20/24,2.5,2.5,2.2,7370000,310978,329219000,40.1,-20.6,Rate,False
1,8dcf4b1f719b,HO,,Stillwater Insurance Company,12/27/24,12/19/24,17.1,17.1,16.9,1099297,7269,6495595,25.0,-9.4,Rate,False
1,e2ecab0b2c80,PPA,,Root Property & Casualty Insurance Company,12/20/24,12/18/24,,0.0,0.0,0,439,1638404,10.0,-9.6,Rate,False
1,7f82a26f75d4,PPA,Travelers Group,,01/01/25,12/12/24,,,,,,,,,Rate,True
1,13d9811319d1,PPA,,Encompass Insurance Company,12/16/24,12/03/24,,0.0,9.9,3587392,12787,36308029,45.2,-4.3,Rate,False
1,ddbc7d8cad06,HO,,,01/01/25,12/02/24,,,,,,,,,Rate,True
1,240c30b9c9ae,PPA,,Allstate Fire and Casualty Insurance Company,12/16/24,12/02/24,1.6,1.6,1.6,15295001,336083,955937576,19.1,-6.6,Rate,False
1,b71669667afa,HO,,The Farmers Fire Insurance Company,12/01/24,11/25/24,71.7,71.7,35.0,2149903,5474,6142581,59.2,5.3,Rate,False
