source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,424129d0acb9,PPA,BAMR US PC Group,,06/12/26,06/11/26,,,,,,,,,Rate,True
1,54c6cfc0e412,HO,America Group,American Commerce Insurance Company,05/31/26,05/28/26,,0.0,0.0,0,5795,9653134,53.56,-36.36,Rate,False
1,f46bf543573a,PPA,,Allstate North American Insurance Company,04/14/26,05/14/26,,0.0,-0.4,-58214,9023,14553587,1.9,-4.3,Rate,False
1,e1300076609c,PPA,Insurance Group,,06/12/26,05/11/26,,,,,,,,,Rate,True
1,a42029beface,HO,,,05/12/26,05/07/26,,,,,,,,,Rate,True
1,c83c16d2bea9,HO,,,04/17/26,04/16/26,,,,,,,,,Rate,True
1,33175bdbc66b,PPA,,"Cambridge Mobile Telematics, Inc.",04/17/26,04/16/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,51eeee9e6e1b,PPA,,Liberty Mutual Insurance Company,04/20/26,03/25/26,11.7,11.7,10.59,27234,84,257188,33.0,-6.55,Rate,False
1,51eeee9e6e1b,PPA,,Liberty Mutual Personal Insurance Company,04/20/26,03/25/26,11.7,11.7,0.16,45760,8365,27736941,35.1,-27.6,Rate,False
1,51eeee9e6e1b,PPA,,Liberty Mutual Insurance Company,04/20/26,03/25/26,11.7,11.7,10.59,27234,84,257188,33.0,-6.55,Rate,False
1,51eeee9e6e1b,PPA,,Liberty Mutual Personal Insurance Company,04/20/26,03/25/26,11.7,11.7,0.16,45760,8365,27736941,35.1,-27.6,Rate,False
1,e1e227366272,PPA,,New London County Mutual Insurance Co.,06/01/26,03/23/26,7.4,7.4,3.0,92412,1171,3143686,9.6,-1.0,Rate,False
1,95ce2c3499aa,PPA,,Sentry Select Insurance Company,04/13/26,03/19/26,,0.0,-0.1,-121,161,121040,40.8,-31.0,Rate,False
1,8dfd9c6dedd4,HO,Amica Mutual Group,Amica Mutual Insurance Company,05/01/26,03/05/26,22.8,22.8,3.0,2664801,38434,88826691,6.0,-1.0,Rate,False
1,d3067efe2da4,PPA,,Dairyland Insurance Company,04/13/26,02/17/26,,20.2,7.8,16233,397,208116,145.3,-55.4,Rate,False
1,b09387611a2a,PPA,,Farmers Group Property and Casualty Insurance Company,04/13/26,02/16/26,,0.0,0.0,0,6295,20159692,0.0,-1.0,Rate,False
1,265b8a8eaafe,PPA,BAMR US PC Group,Argonaut Insurance Company,04/03/26,02/16/26,2.0,2.0,2.0,23665,463,1190937,4.5,-0.2,Rate,False
