source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,b3e98c31b2be,PPA,,Bristol West Insurance Company,05/29/26,05/28/26,-0.8,-0.8,-0.4,-16463,1827,4115818,17.0,-1.0,Rate,False
1,58503585bd0f,PPA,,Farmers Casualty Insurance Company,06/05/26,05/27/26,,0.0,0.1,918,226,917572,7.0,0.0,Rate,False
1,5c8f1222b30c,HO,Insurance Group,American Strategic Insurance Corp.,04/29/26,05/27/26,20.0,20.0,7.904,547164,2879,6922401,56.983,-22.407,Rate,False
1,e148fdbe6f51,PPA,Insurance Group,Auto-Owners Insurance Company,06/15/26,05/21/26,,,0.0,-30,12877,27676726,11.7,-9.6,Rate,False
1,5d6db83538f9,PPA,,,06/13/26,05/13/26,,,,,,,,,Rate,True
1,5502c73c0c9c,PPA,,Esurance Property and Casualty Insurance Company,06/11/26,05/06/26,,0.0,0.0,0,0,1119856,0.0,0.0,Rate,False
1,e13f0cdeed50,HO,,"Grinnell Advisory Company, L.L.C.",05/01/26,04/30/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,79af244c52d3,HO,,Allstate North American Insurance Company,06/17/26,04/28/26,,0.0,0.0,0,1168,148780,3.1,-1.3,Rate,False
1,fde1d2ccb519,HO,,Stillwater Insurance Company,05/29/26,04/22/26,,,-0.2,-1562,376,729414,4.5,-14.7,Rate,False
1,a91f584e30ee,PPA,,,04/22/26,04/22/26,,,,,,,,,Rate,True
1,fde1d2ccb519,HO,,Stillwater Insurance Company,05/29/26,04/22/26,,,-0.2,-1562,376,729414,4.5,-14.7,Rate,False
1,a91f584e30ee,PPA,,,04/22/26,04/22/26,,,,,,,,,Rate,True
1,f3593ed1d13a,PPA,,Allstate Insurance Company,05/11/26,04/22/26,,0.0,0.0,0,0,6309446,0.0,0.0,Rate,False
1,0711bcbb819d,HO,,American Economy Insurance Company,05/19/26,04/20/26,28.7,28.7,3.32,562353,4291,16942830,23.76,-14.02,Rate,False
1,6ae10c7ff00a,HO,,"Foremost Insurance Company  Grand Rapids, Michigan",04/20/26,04/20/26,,0.0,0.0,0,607,130677,0.0,0.0,Rate,False
1,a28bb7213d7e,PPA,,Allstate Property and Casualty Insurance Company,04/06/26,04/17/26,72.2,72.2,28.1,57485,621,204572,61.9,0.0,Rate,False
1,c02e587464c2,PPA,Ins Group,GEICO Casualty Company,04/09/26,04/08/26,-7.5,-7.5,-8.5,-155952,1974,1834729,3.8,-17.7,Rate,False
1,c02e587464c2,PPA,Ins Group,GEICO Marine Insurance Company,04/09/26,04/08/26,-7.5,-7.5,-9.2,-52388,431,569437,0.0,-15.2,Rate,False
1,c02e587464c2,PPA,Ins Group,GEICO Casualty Company,04/09/26,04/08/26,-7.5,-7.5,-8.5,-155952,1974,1834729,3.8,-17.7,Rate,False
1,c02e587464c2,PPA,Ins Group,GEICO Marine Insurance Company,04/09/26,04/08/26,-7.5,-7.5,-9.2,-52388,431,569437,0.0,-15.2,Rate,False
1,c2a29c2c30d1,PPA,,Farmers Insurance Exchange,03/29/26,03/27/26,,0.0,1.4,53764,2009,3961637,14.4,-14.2,Rate,False
1,c2a29c2c30d1,PPA,,Mid-Century Insurance Company,03/29/26,03/27/26,,0.0,0.0,0,4787,12911707,0.0,0.0,Rate,False
1,c2a29c2c30d1,PPA,,Farmers Insurance Exchange,03/29/26,03/27/26,,0.0,1.4,53764,2009,3961637,14.4,-14.2,Rate,False
1,c2a29c2c30d1,PPA,,Mid-Century Insurance Company,03/29/26,03/27/26,,0.0,0.0,0,4787,12911707,0.0,0.0,Rate,False
1,8bb5a752891a,HO,,Encompass Insurance Company,04/20/26,03/25/26,,,-5.0,-326404,2483,6501785,5.0,-13.8,Rate,False
1,9d0de16b0853,PPA,,Viking Insurance Company of WI,05/04/26,03/18/26,-4.8,-4.8,-2.9,-271352,4239,9356981,44.5,-36.0,Rate,False
1,dee8bc320835,PPA,,Allstate North American Insurance Company,03/31/26,03/18/26,,0.0,0.0,0,2418,4743352,2.9,-40.4,Rate,False
1,9a30e9a875c0,PPA,,Safeco Insurance Company of America,04/19/26,03/17/26,-8.9,-8.9,-3.2,-389238,4814,12103954,10.0,-10.0,Rate,False
1,d95918cf69da,HO,,"Zesty.ai Property Risk Solutions, LLC",03/13/26,03/13/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,48f628b4746a,HO,,Northwest G F Mutual Insurance Company,06/15/26,03/13/26,-2.0,-2.0,-2.0,-142964,650,5616327,-10.0,0.0,Rate,False
1,c32cdcffc436,PPA,,,05/01/26,03/10/26,0.2,,,,,,,,Rate,False
