source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,79ca97512f5e,PPA,Ins Group,GEICO Advantage Insurance Company,06/28/24,06/28/24,,0.0,0.0,0,66075,171109699,10.0,-31.6,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO Casualty Company,06/28/24,06/28/24,,0.0,0.0,0,7141,20378906,10.0,-18.0,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO Choice Insurance Company,06/28/24,06/28/24,,0.0,0.0,0,19720,60205637,10.0,-24.9,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO General Insurance Company,06/28/24,06/28/24,,0.0,0.0,0,20427,42957355,10.0,-28.9,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO Secure Insurance Company,06/28/24,06/28/24,,0.0,-2.5,-4421582,75844,176863261,60.0,-29.0,Rate,False
1,79ca97512f5e,PPA,Ins Group,Government Employees Insurance Company,06/28/24,06/28/24,,0.0,0.0,0,7418,17349906,10.0,-23.2,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO Advantage Insurance Company,06/28/24,06/28/24,,0.0,0.0,0,66075,171109699,10.0,-31.6,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO Casualty Company,06/28/24,06/28/24,,0.0,0.0,0,7141,20378906,10.0,-18.0,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO Choice Insurance Company,06/28/24,06/28/24,,0.0,0.0,0,19720,60205637,10.0,-24.9,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO General Insurance Company,06/28/24,06/28/24,,0.0,0.0,0,20427,42957355,10.0,-28.9,Rate,False
1,79ca97512f5e,PPA,Ins Group,GEICO Secure Insurance Company,06/28/24,06/28/24,,0.0,-2.5,-4421582,75844,176863261,60.0,-29.0,Rate,False
1,79ca97512f5e,PPA,Ins Group,Government Employees Insurance Company,06/28/24,06/28/24,,0.0,0.0,0,7418,17349906,10.0,-23.2,Rate,False
1,372f6bcb7a4c,PPA,,Farmers Property and Casualty Insurance Company,01/01/25,01/13/25,12.8,12.8,-0.1,-14366,4979,14365788,16.0,0.0,Rate,False
1,a3f45b80ffa6,PPA,,Kentucky National Insurance Company,01/01/25,12/13/24,5.1,5.1,5.22,70240,1180,3150301,8.37,3.45,Rate,False
1,c572810cf792,HO,,,12/21/24,12/13/24,,,,,,,,,Rate,True
1,a38c00f58eef,PPA,,Root Insurance Company,12/12/24,12/11/24,,0.0,0.0,0,8520,22950695,16.4,-0.7,Rate,False
1,1b3f36fabe9e,PPA,,Viking Insurance Company of WI,02/10/24,12/09/24,5.5,5.5,5.1,93135,2520,1826181,47.9,-4.8,Rate,False
1,7d50ed6043aa,PPA,Westfield Group,,12/10/24,11/14/24,,,,,,,,,Rate,True
1,ddc8303032ac,PPA,,Toggle Insurance Company,09/21/24,12/04/24,32.61,32.61,14.7,123858,919,845005,23.5,0.0,Rate,False
1,45a8f74512da,HO,,National Security Fire & Casualty Company,01/01/25,11/27/24,11.2,11.2,11.2,43659,342,389158,13.81,8.38,Rate,False
1,cf5ae9d1b8e8,PPA,Insurance Group,,11/27/24,11/27/24,,,,,,,,,Rate,True
1,b463db68dc10,HO,Insurance Group,American Strategic Insurance Corp,11/13/24,11/07/24,22.7,22.7,15.0,11463481,41958,87853524,72.1,1.3,Rate,False
1,753a1e25721c,HO,,"Acuity, A Mutual Insurance Company",12/02/24,11/07/24,6.1,6.1,6.0,706860,5659,11803383,14.6,0.0,Rate,False
1,0ab71abbbe35,PPA,Travelers Group,"The Automobile Insurance Company of Hartford, Connecticut",11/22/24,11/07/24,,,-14.4,-1371733,2765,9525925,-1.2,-16.5,Rate,False
1,0ab71abbbe35,PPA,Travelers Group,TravCo Insurance Company,11/22/24,11/07/24,,,1.3,255464,7129,19651094,16.3,-0.8,Rate,False
1,0ab71abbbe35,PPA,Travelers Group,Travelers Property Casualty Insurance Company,11/22/24,11/07/24,,,1.2,1105710,39447,92142509,17.5,-0.9,Rate,False
1,0ab71abbbe35,PPA,Travelers Group,"The Automobile Insurance Company of Hartford, Connecticut",11/22/24,11/07/24,,,-14.4,-1371733,2765,9525925,-1.2,-16.5,Rate,False
1,0ab71abbbe35,PPA,Travelers Group,TravCo Insurance Company,11/22/24,11/07/24,,,1.3,255464,7129,19651094,16.3,-0.8,Rate,False
