source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,913508f81892,HO,,Residence Mutual Insurance Company,05/01/24,06/05/26,28.6,28.6,21.7,0,0,0,75.0,0.0,Rate,False
1,913508f81892,HO,,Western Mutual Insurance Company,05/01/24,06/05/26,28.6,28.6,21.7,1377037,7548,6345793,75.0,0.0,Rate,False
1,abcb59a7ae08,HO,,,01/01/24,03/25/26,,,,,,,,,Rate,True
1,35874fbd776f,HO,Farmers Insurance Group,Farmers Insurance Exchange,01/05/24,03/06/26,64.6,46.4,20.0,4439000,6815,22195000,375.1,10.8,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Fire Insurance Exchange,01/05/24,03/06/26,64.6,44.6,18.0,2548000,33395,14126000,28.0,6.0,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Mid-Century Insurance Company of Texas,01/05/24,03/06/26,64.6,73.079,25.6,15707000,70372,61260000,25.6,25.6,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Texas Farmers Insurance Company,01/05/24,03/06/26,64.6,64.6,22.7,199231000,356939,877187000,375.1,-12.7,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Farmers Insurance Exchange,01/05/24,03/06/26,73.079,46.4,20.0,4439000,6815,22195000,375.1,10.8,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Fire Insurance Exchange,01/05/24,03/06/26,73.079,44.6,18.0,2548000,33395,14126000,28.0,6.0,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Mid-Century Insurance Company of Texas,01/05/24,03/06/26,73.079,73.079,25.6,15707000,70372,61260000,25.6,25.6,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Texas Farmers Insurance Company,01/05/24,03/06/26,73.079,64.6,22.7,199231000,356939,877187000,375.1,-12.7,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Farmers Insurance Exchange,01/05/24,03/06/26,44.6,46.4,20.0,4439000,6815,22195000,375.1,10.8,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Fire Insurance Exchange,01/05/24,03/06/26,44.6,44.6,18.0,2548000,33395,14126000,28.0,6.0,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Mid-Century Insurance Company of Texas,01/05/24,03/06/26,44.6,73.079,25.6,15707000,70372,61260000,25.6,25.6,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Texas Farmers Insurance Company,01/05/24,03/06/26,44.6,64.6,22.7,199231000,356939,877187000,375.1,-12.7,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Farmers Insurance Exchange,01/05/24,03/06/26,46.4,46.4,20.0,4439000,6815,22195000,375.1,10.8,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Fire Insurance Exchange,01/05/24,03/06/26,46.4,44.6,18.0,2548000,33395,14126000,28.0,6.0,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Mid-Century Insurance Company of Texas,01/05/24,03/06/26,46.4,73.079,25.6,15707000,70372,61260000,25.6,25.6,Rate,False
1,35874fbd776f,HO,Farmers Insurance Group,Texas Farmers Insurance Company,01/05/24,03/06/26,46.4,64.6,22.7,199231000,356939,877187000,375.1,-12.7,Rate,False
1,6f8ef86576d8,HO,,,05/01/24,03/05/26,,,,,,,,,Rate,True
1,6144b49a2dfe,PPA,,,01/31/24,02/12/26,,,,,,,,,Rate,True
1,949c18a7bbc0,PPA,USAA Group,Garrison Property and Casualty Insurance Company,04/01/24,01/28/26,12.6,11.2,5.0,20551498,170820,411029968,6.0,1.8,Rate,False
1,949c18a7bbc0,PPA,USAA Group,USAA Casualty Insurance Company,04/01/24,01/28/26,12.6,3.3,2.8,17615636,258404,629129842,5.0,0.0,Rate,False
1,949c18a7bbc0,PPA,USAA Group,USAA General Indemnity Company,04/01/24,01/28/26,12.6,12.6,2.1,9404626,179392,447839317,5.0,0.6,Rate,False
1,949c18a7bbc0,PPA,USAA Group,United Services Automobile Association,04/01/24,01/28/26,12.6,9.6,4.0,26557533,249722,663938335,5.0,0.6,Rate,False
1,949c18a7bbc0,PPA,USAA Group,Garrison Property and Casualty Insurance Company,04/01/24,01/28/26,3.3,11.2,5.0,20551498,170820,411029968,6.0,1.8,Rate,False
1,949c18a7bbc0,PPA,USAA Group,USAA Casualty Insurance Company,04/01/24,01/28/26,3.3,3.3,2.8,17615636,258404,629129842,5.0,0.0,Rate,False
1,949c18a7bbc0,PPA,USAA Group,USAA General Indemnity Company,04/01/24,01/28/26,3.3,12.6,2.1,9404626,179392,447839317,5.0,0.6,Rate,False
1,949c18a7bbc0,PPA,USAA Group,United Services Automobile Association,04/01/24,01/28/26,3.3,9.6,4.0,26557533,249722,663938335,5.0,0.6,Rate,False
1,949c18a7bbc0,PPA,USAA Group,Garrison Property and Casualty Insurance Company,04/01/24,01/28/26,9.6,11.2,5.0,20551498,170820,411029968,6.0,1.8,Rate,False
1,949c18a7bbc0,PPA,USAA Group,USAA Casualty Insurance Company,04/01/24,01/28/26,9.6,3.3,2.8,17615636,258404,629129842,5.0,0.0,Rate,False
1,949c18a7bbc0,PPA,USAA Group,USAA General Indemnity Company,04/01/24,01/28/26,9.6,12.6,2.1,9404626,179392,447839317,5.0,0.6,Rate,False
1,949c18a7bbc0,PPA,USAA Group,United Services Automobile Association,04/01/24,01/28/26,9.6,9.6,4.0,26557533,249722,663938335,5.0,0.6,Rate,False
1,949c18a7bbc0,PPA,USAA Group,Garrison Property and Casualty Insurance Company,04/01/24,01/28/26,11.2,11.2,5.0,20551498,170820,411029968,6.0,1.8,Rate,False
1,949c18a7bbc0,PPA,USAA Group,USAA Casualty Insurance Company,04/01/24,01/28/26,11.2,3.3,2.8,17615636,258404,629129842,5.0,0.0,Rate,False
