group,subsidiary,filing_date_added,filing_date,effective_date,filing_action,overall_rate_effect_pct,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,max_pct,min_pct
,Integon Indemnity Corporation,04/17/26,04/16/26,04/16/26,Rate,-5.1,-5.1,-5.1,-525346,7690,10251008,82.5,-37.6
,Permanent General Assurance Corporation,04/16/26,04/08/26,04/15/26,Rate,7.9,7.9,5.0,396651,3822,7988336,8.4,1.0
,Nationwide General Insurance Company,04/06/26,04/25/26,04/02/26,Rate,-2.9,-2.9,0.0,0,0,5662036,0.0,0.0
,Nationwide Insurance Company of America,04/06/26,04/25/26,04/02/26,Rate,-2.9,-2.9,-6.0,-250048,1541,4187849,-0.5,-20.5
,Nationwide Mutual Insurance Company,04/06/26,04/25/26,04/02/26,Rate,-2.9,-2.9,0.0,0,0,6010806,0.0,0.0
,Nationwide Property and Casualty Insurance Company,04/06/26,04/25/26,04/02/26,Rate,-2.9,-2.9,0.0,0,0,6076437,0.0,0.0
,Nationwide General Insurance Company,04/06/26,04/25/26,04/02/26,Rate,-2.9,-2.9,0.0,0,0,5662036,0.0,0.0
,Nationwide Insurance Company of America,04/06/26,04/25/26,04/02/26,Rate,-2.9,-2.9,-6.0,-250048,1541,4187849,-0.5,-20.5
,Nationwide Mutual Insurance Company,04/06/26,04/25/26,04/02/26,Rate,-2.9,-2.9,0.0,0,0,6010806,0.0,0.0
,Nationwide Property and Casualty Insurance Company,04/06/26,04/25/26,04/02/26,Rate,-2.9,-2.9,0.0,0,0,6076437,0.0,0.0
,Mutual of Enumclaw Insurance Company,03/17/26,04/10/26,03/16/26,Rate,10.0,10.0,6.98,411255,1976,5894496,29.7,-13.93
,Bristol West Insurance Company,03/17/26,03/06/26,03/16/26,Rate,1.3,1.3,1.1,181016,5349,16455998,10.0,-12.0
,CSAA Fire & Casualty Insurance Company,02/23/26,04/01/26,02/13/26,Rate,6.9,6.9,-2.2,-662951,11741,30756862,203.8,-66.3
,Safeco Insurance Company of Illinois,02/19/26,03/10/26,02/18/26,Rate,9.2,9.2,3.0,1132356,11639,37495165,6.0,0.0
,Farmers Insurance Exchange,02/13/26,01/12/26,02/12/26,Rate,-9.1,-9.1,0.0,0,8073,19649030,14.1,-14.1
,Old American Indemnity Company,02/12/26,01/07/26,02/11/26,Rate,9.8,9.8,7.2,539746,1833,7496468,27.6,-9.9
,American Economy Insurance Company,02/11/26,03/10/26,02/10/26,Rate,9.2,9.2,4.0,2528144,23806,63600178,7.0,-6.6
,Viking Insurance Company of WI,01/22/26,02/16/26,01/14/26,Rate,0.9,0.9,-0.06,-21716,12925,36193484,44.2,-37.7
,American Family Insurance Company,01/20/26,01/29/26,01/12/26,Rate,-10.0,-10.0,-5.0,-3666459,23207,73650411,20.2,-23.7
,Unique Insurance Company,12/30/25,01/01/26,12/29/25,Rate,-3.9,-3.9,-2.0,-118672,4150,5933584,0.0,-2.2
,Falcon Insurance Company,12/30/25,01/01/26,12/29/25,Rate,5.3,5.3,-1.2,-75267,1448,5092154,1.7,-49.0
,Allstate Indemnity Company,12/30/25,01/19/26,12/23/25,Rate,5.6,5.6,5.6,265332,1374,4738080,9.4,0.0
,Allstate Indemnity Company,12/30/25,01/19/26,12/23/25,Rate,5.6,5.6,5.6,265332,1374,4738080,9.4,0.0
BAMR US PC Group,American National General Insurance Company,12/12/25,02/06/26,12/11/25,Rate,3.2,3.2,2.3,92465,2029,3940248,7.7,-2.4
BAMR US PC Group,American National Property And Casualty Company,12/12/25,02/06/26,12/11/25,Rate,3.2,3.2,3.5,335742,4308,9580929,10.8,-13.0
BAMR US PC Group,American National General Insurance Company,12/12/25,02/06/26,12/11/25,Rate,3.2,3.2,2.3,92465,2029,3940248,7.7,-2.4
BAMR US PC Group,American National Property And Casualty Company,12/12/25,02/06/26,12/11/25,Rate,3.2,3.2,3.5,335742,4308,9580929,10.8,-13.0
,Stillwater Insurance Company,12/09/25,01/07/26,12/08/25,Rate,8.2,8.2,3.0,35844,536,1193198,84.4,-46.8
,Central Insurance Company,12/05/25,03/01/26,12/04/25,Rate,16.1,16.1,3.1,108473,708,3518100,41.3,-18.8
,Equity Insurance Company,12/04/25,12/01/25,12/03/25,Rate,-5.6,-5.6,-5.6,-315949,5202,5623046,22.9,-28.3
