source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,51b97530a1bf,PPA,,"TNEDICCA, Inc.",06/08/26,06/08/26,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,d0010890a27d,PPA,Insurance Group,,06/04/26,06/04/26,,,,,,,,,Rate,False
1,4f28a6973c6f,PPA,,,05/18/26,05/18/26,,,,,,,,,Rate,False
1,135d833f9912,PPA,Travelers Group,The Standard Fire Insurance Company,06/05/26,05/12/26,-3.9,-3.9,-3.0,-497467,9804,16582241,4.0,-6.2,Rate,False
1,552a0988828e,HO,Insurance Group,American Strategic Insurance Corp.,05/27/26,05/01/26,26.1,26.1,9.8,166101,1161,1858391,92.6,-32.4,Rate,False
1,0f06d166b16c,PPA,,General Insurance Company of America,03/22/24,04/24/26,18.1,18.1,17.0,3511132,10531,20601656,45.3,-0.4,Rate,False
1,14b8b294dbca,PPA,,Allstate Fire and Casualty Insurance Company,05/25/26,04/24/26,,0.0,0.0,0,0,25157492,0.0,0.0,Rate,False
1,b97ed33f2636,PPA,,General Insurance Company of America,10/02/25,04/23/26,-3.8,-3.8,-1.0,-166158,7670,16403155,0.0,-12.0,Rate,False
1,fd904683a7d8,PPA,,LM General Insurance Company,02/17/24,04/22/26,24.8,24.8,23.1,3200205,6803,13844192,34.8,10.2,Rate,False
1,fd904683a7d8,PPA,,LM Insurance Corporation,02/17/24,04/22/26,24.8,24.8,24.6,47609,86,193437,33.3,20.1,Rate,False
1,fd904683a7d8,PPA,,LM General Insurance Company,02/17/24,04/22/26,24.8,24.8,23.1,3200205,6803,13844192,34.8,10.2,Rate,False
1,fd904683a7d8,PPA,,LM Insurance Corporation,02/17/24,04/22/26,24.8,24.8,24.6,47609,86,193437,33.3,20.1,Rate,False
1,87b4225baf5a,PPA,Travelers Group,The Standard Fire Insurance Company,12/05/25,04/14/26,,,0.1,16205,9541,16205265,42.6,-36.9,Rate,False
1,9d2d77bf4b01,HO,,Economy Fire & Casualty Company,05/15/26,04/13/26,,0.0,0.0,0,1721,1606071,0.0,0.0,Rate,False
1,f201a35d2884,PPA,Travelers Group,The Standard Fire Insurance Company,04/09/26,04/09/26,,,0.0,0,9817,16862185,0.0,0.0,Rate,False
1,becffb1d0b13,HO,,Allstate Insurance Company,04/27/26,04/09/26,38.8,38.8,38.8,63705,471,164284,84.9,12.1,Rate,False
1,55d39d83d208,HO,,Hartford Insurance Company of the Southeast,05/07/26,04/07/26,16.1,16.1,2.0,7532,452,376609,41.9,-19.2,Rate,False
1,89568ac271cc,HO,,Integon National Insurance Company,05/11/26,04/06/26,,0.0,-10.0,-18002,148,179636,-12.2,-4.5,Rate,False
1,392148517cbf,PPA,,Farmers Property and Casualty Insurance Company,04/20/26,04/01/26,-3.9,-3.9,-0.1,1998,1005,1998288,38.7,-38.7,Rate,False
1,0f0899a4d2a3,PPA,,Farmers Group Property and Casualty Insurance Company,04/20/26,03/26/26,-7.2,-7.2,-0.1,-2104,1043,2103840,48.6,-40.9,Rate,False
1,8a50ac7d6924,HO,,Allstate Property and Casualty Insurance Company,06/01/26,03/26/26,6.4,6.4,6.4,739558,8496,11555598,7.6,2.6,Rate,False
1,65d58223c1ea,PPA,,,01/01/26,03/12/26,1.1,,,,,,,,Rate,False
1,2a36963859a4,HO,Ins Group,Union Mutual Fire Insurance Company,05/15/26,03/11/26,,0.0,0.0,0,7537,8782654,6.0,-6.4,Rate,False
1,9846c08eeaa8,PPA,Amica Mutual Group,Amica Mutual Insurance Company,05/01/26,03/10/26,-3.6,-3.6,-2.2,-130127,2892,5914864,0.0,-6.0,Rate,False
