source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,107289524fd7,HO,,Selective Insurance Company of South Carolina,01/15/24,05/08/25,,46.2,46.2,4041952,5311,8752140,48.8,0.0,Rate,False
1,85912f733e6c,HO,Insurance Group,MICO,02/25/24,05/08/25,,21.6,15.0,281444,1990,1876296,23.8,0.0,Rate,False
1,4720e7fc758e,PPA,,LM General Insurance Company,01/24/24,05/08/25,,18.6,9.7,2367166,8977,24303052,30.0,0.0,Rate,False
1,4720e7fc758e,PPA,,LM Insurance Corporation,01/24/24,05/08/25,,18.6,9.9,49716,166,502743,16.0,0.0,Rate,False
1,07b80c2d4d18,PPA,Markel Insurance Group,,06/22/24,05/31/24,,,,,,,,,Rate,False
1,4c33bf783be1,HO,Assurant P&C Group,American Bankers Insurance Company of Florida,02/01/24,11/13/23,14.1,14.1,13.3,14755,435,111284,21.5,6.7,Rate,False
1,102838d55cf1,PPA,Erie Insurance Group,,10/01/24,10/07/24,,,,,,,,,Rate,True
1,b4b2b43f1421,HO,,Forward Mutual Insurance Company,10/01/24,10/03/24,1.5,1.5,1.5,10890,741,726000,5.0,0.5,Rate,False
1,4dd557db0040,PPA,Travelers Group,,10/01/24,10/01/24,,,,,,,,,Rate,True
1,dc65a9faabdd,HO,,Nationwide General Insurance Company,08/24/24,09/30/24,38.0,38.0,40.8,2698972,6679,6614480,98.9,2.0,Rate,False
1,dc65a9faabdd,HO,,Nationwide Insurance Company of America,08/24/24,09/30/24,38.0,38.0,36.4,1267847,2874,3484099,46.2,8.7,Rate,False
1,dc65a9faabdd,HO,,Nationwide Mutual Insurance Company,08/24/24,09/30/24,38.0,38.0,27.7,366483,1054,1322653,28.6,5.8,Rate,False
1,dc65a9faabdd,HO,,Nationwide General Insurance Company,08/24/24,09/30/24,38.0,38.0,40.8,2698972,6679,6614480,98.9,2.0,Rate,False
1,dc65a9faabdd,HO,,Nationwide Insurance Company of America,08/24/24,09/30/24,38.0,38.0,36.4,1267847,2874,3484099,46.2,8.7,Rate,False
1,dc65a9faabdd,HO,,Nationwide Mutual Insurance Company,08/24/24,09/30/24,38.0,38.0,27.7,366483,1054,1322653,28.6,5.8,Rate,False
1,dc65a9faabdd,HO,,Nationwide General Insurance Company,08/24/24,09/30/24,38.0,38.0,40.8,2698972,6679,6614480,98.9,2.0,Rate,False
1,dc65a9faabdd,HO,,Nationwide Insurance Company of America,08/24/24,09/30/24,38.0,38.0,36.4,1267847,2874,3484099,46.2,8.7,Rate,False
1,dc65a9faabdd,HO,,Nationwide Mutual Insurance Company,08/24/24,09/30/24,38.0,38.0,27.7,366483,1054,1322653,28.6,5.8,Rate,False
1,e733d4aa2e60,PPA,,,06/10/24,09/26/24,,,,,,,,,Rate,True
1,18330f2a669c,PPA,,Allstate Indemnity Company,09/23/24,09/25/24,,0.0,0.0,0,0,3541493,0.0,0.0,Rate,False
1,a4518fa17ba1,HO,Tower Hill Group,,08/22/24,09/24/24,,,,,,,,,Rate,True
1,a4518fa17ba1,HO,Tower Hill Group,,08/22/24,09/24/24,,,,,,,,,Rate,True
1,f5cf2152bc00,PPA,,,09/20/24,09/20/24,,,,,,,,,Rate,True
1,97e8450934dd,PPA,,National General Assurance Company,09/13/24,09/16/24,,0.0,-3.5,-41548,847,1198483,31.0,-29.0,Rate,False
1,cd9feb2b5fcb,HO,,Germantown Mutual Insurance Company,10/01/24,09/12/24,5.0,5.0,5.0,6106,240,122114,,,Rate,False
