source_file,block_id,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,391ec4c5b318,HO,,Allstate Insurance Company,05/25/26,05/26/26,76.9,76.9,30.0,20202,243,67365,99.6,0.0,Rate,False
1,575c99bb5175,PPA,,Farmers Group Property and Casualty Insurance Company,05/30/26,04/07/26,,0.0,-5.6,-229287,1024,4094406,-6.0,-11.6,Rate,False
1,6c078dfc535b,PPA,Insurance Group,,04/24/26,04/03/26,,,,,,,,,Rate,True
1,201cb16a4818,PPA,Insurance Group,Progressive Classic Insurance Company,04/17/26,03/13/26,,,0.1,5222,14959,5222239,32.4,-23.8,Rate,False
1,201cb16a4818,PPA,Insurance Group,Progressive Max Insurance Company,04/17/26,03/13/26,,,-0.1,-4181,11693,4181308,33.1,-26.2,Rate,False
1,201cb16a4818,PPA,Insurance Group,Progressive Classic Insurance Company,04/17/26,03/13/26,,,0.1,5222,14959,5222239,32.4,-23.8,Rate,False
1,201cb16a4818,PPA,Insurance Group,Progressive Max Insurance Company,04/17/26,03/13/26,,,-0.1,-4181,11693,4181308,33.1,-26.2,Rate,False
1,d4ebb9a32320,HO,,Stillwater Insurance Company,03/31/26,02/27/26,,,-0.04,-769,677,1933761,44.1,-27.8,Rate,False
1,a9af18e1b323,PPA,Insurance Group,West Virginia National Auto Insurance Company,03/01/26,02/26/26,,0.0,-14.1,-9830,67,69550,-8.1,-23.8,Rate,False
1,c97940f9e6d0,PPA,,CSAA Fire & Casualty Insurance Company,04/09/26,02/24/26,,0.0,0.0,0,500,1161278,67.4,-28.5,Rate,False
1,236211913c2b,HO,State Farm Group,State Farm Fire and Casualty Company,04/15/26,02/20/26,,,5.4,474672,10250,8779260,,,Rate,False
1,b21b28aa469f,PPA,,American Economy Insurance Company,05/18/26,02/20/26,,0.0,0.0,0,7216,15906338,0.0,0.0,Rate,False
1,d062e5e806e0,PPA,,Allstate North American Insurance Company,03/02/26,01/12/26,4.5,4.5,4.5,337074,5553,7490542,9.0,0.8,Rate,False
1,aaa9e747f9f1,PPA,Cas Group,Nationwide Property and Casualty Insurance Company,03/21/26,12/17/25,,0.0,-10.0,-1323361,5595,13267991,-1.6,-26.1,Rate,False
1,001ac8070119,PPA,Erie Insurance Group,Erie Insurance Property and Casualty Company,04/01/26,12/09/25,,,0.0,,128992,300540844,,,Rate,False
1,0b2869a2b863,PPA,,The Celina Mutual Insurance Company,01/15/26,12/02/25,,,0.1,1129,405,1065337,1.6,-0.5,Rate,False
1,256012d00e8e,PPA,Amica Mutual Group,,04/01/26,12/02/25,,,,,,,,,Rate,True
1,5d13b8aaeef1,HO,Westfield Group,Old Guard Insurance Company,01/20/26,11/10/25,,0.0,-2.0,-156,5,8233,-2.0,-2.0,Rate,False
1,832815eae4dd,PPA,Westfield Group,Old Guard Insurance Company,01/20/26,11/10/25,,0.0,-4.0,-642,8,16052,-4.0,-4.0,Rate,False
1,432a4a45a67c,PPA,Insurance Group,Progressive Classic Insurance Company,01/16/26,11/10/25,-0.058,-4.22,-2.713,-1414496,43367,52137716,21.844,-24.349,Rate,False
1,432a4a45a67c,PPA,Insurance Group,Progressive Max Insurance Company,01/16/26,11/10/25,-0.058,-0.058,-0.828,-586083,62519,70782945,23.816,-19.471,Rate,False
1,432a4a45a67c,PPA,Insurance Group,Progressive Classic Insurance Company,01/16/26,11/10/25,-4.22,-4.22,-2.713,-1414496,43367,52137716,21.844,-24.349,Rate,False
1,432a4a45a67c,PPA,Insurance Group,Progressive Max Insurance Company,01/16/26,11/10/25,-4.22,-0.058,-0.828,-586083,62519,70782945,23.816,-19.471,Rate,False
1,7a45cd869b86,HO,Insurance Group,Motorists Mutual Insurance Company,02/01/26,11/05/25,,0.0,0.0,0,607,1213078,4.7,-15.8,Rate,False
1,98ccb5c3a03f,PPA,,,02/13/26,11/04/25,,,,,,,,,Rate,True
1,890cc6c1a26a,HO,Erie Insurance Group,Erie Insurance Property and Casualty Company,03/01/26,11/04/25,,0.0,0.0,0,27303,35637000,0.0,0.0,Rate,False
1,34a78e86c87e,HO,Erie Insurance Group,Erie Insurance Company,03/01/26,11/04/25,,0.0,0.0,0,74340,91376000,0.0,0.0,Rate,False
1,244ea27e4118,PPA,,American Economy Insurance Company,01/08/26,11/03/25,-0.3,-0.3,0.0,-1705,5259,11689009,23.5,-58.5,Rate,False
1,35acc783f751,PPA,Insurance Group,West Virginia National Auto Insurance Company,10/28/25,10/28/25,,0.0,-20.0,-8417,46,38916,-34.0,-8.8,Rate,False
1,cfdca0f2cd07,PPA,,LM General Insurance Company,12/05/25,10/24/25,14.7,14.7,14.6,16751,212,114540,28.1,0.0,Rate,False
1,cfdca0f2cd07,PPA,,LM Insurance Corporation,12/05/25,10/24/25,14.7,14.7,19.8,439,4,2219,23.4,14.4,Rate,False
1,cfdca0f2cd07,PPA,,LM General Insurance Company,12/05/25,10/24/25,14.7,14.7,14.6,16751,212,114540,28.1,0.0,Rate,False
1,cfdca0f2cd07,PPA,,LM Insurance Corporation,12/05/25,10/24/25,14.7,14.7,19.8,439,4,2219,23.4,14.4,Rate,False
1,90f1df2b3fe7,HO,Erie Insurance Group,Erie Insurance Company,01/01/26,10/24/25,7.0,7.0,5.9,5433000,74172,91649367,40.0,-48.4,Rate,False
1,59b6e0feb09b,HO,,,10/17/25,10/17/25,,,,,,,,,Rate,True
1,5bb8d9203f7c,PPA,State Farm Group,State Farm Fire and Casualty Company,12/29/25,10/17/25,,,-11.1,-3014931,16701,27081620,,,Rate,False
1,5bb8d9203f7c,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,12/29/25,10/17/25,,,-9.0,-43050496,486539,479915241,,,Rate,False
1,5bb8d9203f7c,PPA,State Farm Group,State Farm Fire and Casualty Company,12/29/25,10/17/25,,,-11.1,-3014931,16701,27081620,,,Rate,False
1,5bb8d9203f7c,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,12/29/25,10/17/25,,,-9.0,-43050496,486539,479915241,,,Rate,False
1,4dd030a04a6a,PPA,,,02/01/26,10/02/25,-1.2,,,,,,,,Rate,False
1,dc663b4ef13b,HO,,,03/01/26,09/26/25,2.5,,,,,,,,Rate,False
1,d27816d6ab15,PPA,,Midvale Indemnity Company,12/09/25,09/26/25,,0.0,-2.9,-2619,35,88939,3.2,-5.3,Rate,False
1,d3c37c626be6,HO,,,09/24/25,09/24/25,2.7,,,,,,,,Rate,False
1,58ca1c23f7cf,PPA,,,11/21/25,09/22/25,,,,,,,,,Rate,False
1,ef2a333b2383,HO,,Farmers Group Property and Casualty Insurance Company,11/21/25,09/22/25,5.6,5.6,5.6,10000,127,162000,6.4,0.0,Rate,False
1,768fad54e098,PPA,Erie Insurance Group,Erie Insurance Property and Casualty Company,01/01/26,09/22/25,6.6,6.6,2.0,5919000,132019,298797000,26.2,-24.9,Rate,False
1,18286e61a75e,HO,,Armed Forces Insurance Exchange,02/23/26,09/22/25,2.1,2.1,2.1,7710,210,366992,2.63,1.37,Rate,False
1,41101d7a96b0,HO,Amica Mutual Group,Amica Mutual Insurance Company,03/01/26,09/22/25,4.4,4.4,4.0,67327,855,1683172,12.0,10.0,Rate,False
1,3df37f099b7e,PPA,Insurance Group,West Virginia National Auto Insurance Company,09/04/25,08/29/25,,0.0,-12.7,-2514,22,19393,-21.2,-4.9,Rate,False
1,7e24325d24d5,PPA,,Liberty Mutual Insurance Company,09/09/25,07/21/25,0.7,0.7,3.8,2412,28,64028,14.7,-14.2,Rate,False
1,7e24325d24d5,PPA,,Liberty Mutual Personal Insurance Company,09/09/25,07/21/25,0.7,0.7,0.0,-345,5585,15374811,19.3,-76.4,Rate,False
1,7e24325d24d5,PPA,,Liberty Mutual Insurance Company,09/09/25,07/21/25,0.7,0.7,3.8,2412,28,64028,14.7,-14.2,Rate,False
1,7e24325d24d5,PPA,,Liberty Mutual Personal Insurance Company,09/09/25,07/21/25,0.7,0.7,0.0,-345,5585,15374811,19.3,-76.4,Rate,False
1,8eeca9c40191,PPA,,Safeco Insurance Company of America,08/16/25,07/21/25,4.1,4.1,3.0,1501942,21452,49515377,28.4,-7.4,Rate,False
1,f80060eddb5a,HO,Insurance Group,MICO,09/23/25,07/07/25,10.7,10.7,2.0,75991,2660,3799572,35.8,-35.3,Rate,False
1,b022e24dd3af,HO,,Encompass Home and Auto Insurance Company,09/22/25,07/07/25,22.9,22.9,14.8,979032,3034,6603185,15.8,0.0,Rate,False
1,91bc662e8c25,PPA,,Encompass Home and Auto Insurance Company,09/15/25,07/07/25,19.4,19.4,9.4,1906783,4683,20284929,27.8,0.0,Rate,False
1,fe6cc3f44393,PPA,,Allstate North American Insurance Company,09/15/25,07/07/25,4.0,4.0,4.0,176517,3231,4412924,7.3,1.7,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Horace Mann Insurance Company,02/09/26,06/30/25,8.8,8.8,9.5,1341075,5107,8153129,91.5,-60.3,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Horace Mann Property & Casualty Insurance Company,02/09/26,06/30/25,8.8,8.8,-7.2,67648,446,695999,62.8,-28.2,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Teachers Insurance Company,02/09/26,06/30/25,8.8,8.8,-13.5,10311,198,288266,29.7,-34.0,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Horace Mann Insurance Company,02/09/26,06/30/25,8.8,8.8,9.5,1341075,5107,8153129,91.5,-60.3,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Horace Mann Property & Casualty Insurance Company,02/09/26,06/30/25,8.8,8.8,-7.2,67648,446,695999,62.8,-28.2,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Teachers Insurance Company,02/09/26,06/30/25,8.8,8.8,-13.5,10311,198,288266,29.7,-34.0,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Horace Mann Insurance Company,02/09/26,06/30/25,8.8,8.8,9.5,1341075,5107,8153129,91.5,-60.3,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Horace Mann Property & Casualty Insurance Company,02/09/26,06/30/25,8.8,8.8,-7.2,67648,446,695999,62.8,-28.2,Rate,False
1,4fdd13eabd65,PPA,Insurance Group,Teachers Insurance Company,02/09/26,06/30/25,8.8,8.8,-13.5,10311,198,288266,29.7,-34.0,Rate,False
1,f02b6cd3ba97,PPA,Insurance Group,MICO,08/15/25,06/27/25,,0.0,0.0,0,3207,8229788,0.0,0.0,Rate,False
1,d5af0a2f3e3e,HO,Amica Mutual Group,Amica Mutual Insurance Company,01/01/26,06/26/25,,,-0.5,-8416,855,1683172,0.0,-3.1,Rate,False
1,6e63d599244d,PPA,Amica Mutual Group,Amica Mutual Insurance Company,01/01/26,06/26/25,,,-1.6,-22338,494,1396128,0.0,-3.1,Rate,False
1,a07899497c37,HO,Insurance Group,Horace Mann Insurance Company,02/09/26,06/19/25,0.4,0.4,0.1,1157,562,995187,40.6,-46.5,Rate,False
1,a07899497c37,HO,Insurance Group,Horace Mann Property & Casualty Insurance Company,02/09/26,06/19/25,0.4,0.4,0.1,1268,1171,1385513,43.4,-44.6,Rate,False
1,a07899497c37,HO,Insurance Group,Teachers Insurance Company,02/09/26,06/19/25,0.4,0.4,-0.2,-2404,993,1512980,38.2,-39.8,Rate,False
1,a07899497c37,HO,Insurance Group,Horace Mann Insurance Company,02/09/26,06/19/25,0.4,0.4,0.1,1157,562,995187,40.6,-46.5,Rate,False
1,a07899497c37,HO,Insurance Group,Horace Mann Property & Casualty Insurance Company,02/09/26,06/19/25,0.4,0.4,0.1,1268,1171,1385513,43.4,-44.6,Rate,False
1,a07899497c37,HO,Insurance Group,Teachers Insurance Company,02/09/26,06/19/25,0.4,0.4,-0.2,-2404,993,1512980,38.2,-39.8,Rate,False
1,e8f7b9c24f0b,HO,Erie Insurance Group,Erie Insurance Property and Casualty Company,10/01/25,06/19/25,2.1,2.1,2.1,777000,28431,36986054,2.1,1.6,Rate,False
1,e708c9799b60,PPA,Insurance Group,MICO,09/23/25,06/04/25,,0.0,0.0,0,3207,8229788,4.5,-9.8,Rate,False
1,d8719ef0c432,PPA,Westfield Group,Westfield Insurance Company,09/04/25,05/19/25,2.6,2.6,2.4,291040,5435,11880581,14.5,-3.7,Rate,False
1,7f9a141e6cee,PPA,Westfield Group,American Select Insurance Company,07/29/25,05/19/25,4.9,4.9,4.7,955613,8198,20332296,14.3,-1.5,Rate,False
1,11f47352cdd8,PPA,Insurance Group,MICO,07/20/25,05/19/25,15.3,15.3,3.0,247199,3223,8239972,4.6,1.7,Rate,False
1,70d8d807255f,PPA,USAA Group,Garrison Property and Casualty Insurance Company,07/12/25,05/16/25,,,0.0,0,0,7627943,0.0,0.0,Rate,False
1,70d8d807255f,PPA,USAA Group,USAA Casualty Insurance Company,07/12/25,05/16/25,,,0.0,0,0,14154952,0.0,0.0,Rate,False
1,70d8d807255f,PPA,USAA Group,USAA General Indemnity Company,07/12/25,05/16/25,,,0.0,0,0,16903212,0.0,0.0,Rate,False
1,70d8d807255f,PPA,USAA Group,United Services Automobile Association,07/12/25,05/16/25,,,0.0,0,0,19650892,0.0,0.0,Rate,False
1,f6453dcf5972,PPA,Cas Group,Nationwide Property and Casualty Insurance Company,08/07/25,05/16/25,-4.1,-4.1,-6.0,-683862,4411,11370846,4.5,-10.8,Rate,False
1,aea683e4310e,PPA,,Esurance Property and Casualty Insurance Company,07/10/25,05/16/25,,0.0,0.0,0,0,4423756,0.0,0.0,Rate,False
1,c517b1397081,PPA,Insurance Group,West Virginia National Auto Insurance Company,06/01/25,05/13/25,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,5b7dda8d8385,HO,,CSAA General Insurance Company,07/29/25,05/06/25,23.6,23.6,10.5,91392,513,872859,15.9,-5.2,Rate,False
1,99bd5465674d,HO,Westfield Group,Westfield Insurance Company,07/31/25,05/01/25,3.3,3.3,2.8,278440,6189,10054662,18.3,0.0,Rate,False
1,e2d1d20433f3,PPA,Insurance Group,Progressive Classic Insurance Company,07/25/25,05/01/25,0.935,-6.191,-1.147,-549579,39078,47926993,38.851,-28.476,Rate,False
1,e2d1d20433f3,PPA,Insurance Group,Progressive Max Insurance Company,07/25/25,05/01/25,0.935,0.935,-0.103,-61747,53429,59887465,33.506,-23.285,Rate,False
1,e2d1d20433f3,PPA,Insurance Group,Progressive Classic Insurance Company,07/25/25,05/01/25,-6.191,-6.191,-1.147,-549579,39078,47926993,38.851,-28.476,Rate,False
1,e2d1d20433f3,PPA,Insurance Group,Progressive Max Insurance Company,07/25/25,05/01/25,-6.191,0.935,-0.103,-61747,53429,59887465,33.506,-23.285,Rate,False
1,1371bd906479,PPA,,Root Insurance Company,06/10/25,05/01/25,4.4,4.4,0.0,0,4208,12037536,196.5,-57.4,Rate,False
1,09e38c931368,HO,Westfield Group,American Select Insurance Company,06/24/25,05/01/25,10.7,10.7,5.4,746102,8768,13713146,35.1,-8.2,Rate,False
1,d014da5f0d07,PPA,,,08/18/25,04/14/25,,,,,,,,,Rate,True
1,6938b81fa4bb,PPA,,Allstate Property and Casualty Insurance Company,06/23/25,04/14/25,,0.0,0.0,0,0,63253912,0.0,0.0,Rate,False
1,bc825cc74e82,PPA,,,04/02/25,04/02/25,,,,,,,,,Rate,True
1,4a59eaa6a3ac,PPA,,Allstate North American Insurance Company,06/10/25,04/02/25,,0.0,0.0,0,31519,31077092,18.6,-2.5,Rate,False
1,a70d1162420e,PPA,,Root Insurance Company,04/01/25,03/26/25,,0.0,0.0,0,4747,12472153,0.0,0.0,Rate,False
1,2cdf8664358c,PPA,Insurance Group,Allstate Insurance Company,07/19/25,03/25/25,,76.9,30.0,20202,243,67365,99.6,0.0,Rate,False
1,575c99bb5175,PPA,,Farmers Group Property and Casualty Insurance Company,05/30/26,04/07/26,,0.0,-5.6,-229287,1024,4094406,-6.0,-11.6,Rate,False
1,6c078dfc535b,PPA,Insurance Group,,04/24/26,04/03/26,,,,,,,,,Rate,True
1,201cb16a4818,PPA,Insurance Group,Progressive Classic Insurance Company,04/17/26,03/13/26,,,0.1,5222,14959,5222239,32.4,-23.8,Rate,False
1,201cb16a4818,PPA,Insurance Group,Progressive Max Insurance Company,04/17/26,03/13/26,,,-0.1,-4181,11693,4181308,33.1,-26.2,Rate,False
1,201cb16a4818,PPA,Insurance Group,Progressive Classic Insurance Company,04/17/26,03/13/26,,,0.1,5222,14959,5222239,32.4,-23.8,Rate,False
1,201cb16a4818,PPA,Insurance Group,Progressive Max Insurance Company,04/17/26,03/13/26,,,-0.1,-4181,11693,4181308,33.1,-26.2,Rate,False
1,d4ebb9a32320,HO,,Stillwater Insurance Company,03/31/26,02/27/26,,,-0.04,-769,677,1933761,44.1,-27.8,Rate,False
1,a9af18e1b323,PPA,Insurance Group,West Virginia National Auto Insurance Company,03/01/26,02/26/26,,0.0,-14.1,-9830,67,69550,-8.1,-23.8,Rate,False
1,c97940f9e6d0,PPA,,CSAA Fire & Casualty Insurance Company,04/09/26,02/24/26,,0.0,0.0,0,500,1161278,67.4,-28.5,Rate,False
1,236211913c2b,HO,State Farm Group,State Farm Fire and Casualty Company,04/15/26,02/20/26,,,5.4,474672,10250,8779260,,,Rate,False
1,b21b28aa469f,PPA,,American Economy Insurance Company,05/18/26,02/20/26,,0.0,0.0,0,7216,15906338,0.0,0.0,Rate,False
1,d062e5e806e0,PPA,,Allstate North American Insurance Company,03/02/26,01/12/26,4.5,4.5,4.5,337074,5553,7490542,9.0,0.8,Rate,False
1,aaa9e747f9f1,PPA,Cas Group,Nationwide Property and Casualty Insurance Company,03/21/26,12/17/25,,0.0,-10.0,-1323361,5595,13267991,-1.6,-26.1,Rate,False
1,001ac8070119,PPA,Erie Insurance Group,Erie Insurance Property and Casualty Company,04/01/26,12/09/25,,,0.0,,128992,300540844,,,Rate,False
1,0b2869a2b863,PPA,,The Celina Mutual Insurance Company,01/15/26,12/02/25,,,0.1,1129,405,1065337,1.6,-0.5,Rate,False
1,256012d00e8e,PPA,Amica Mutual Group,,04/01/26,12/02/25,,,,,,,,,Rate,True
1,5d13b8aaeef1,HO,Westfield Group,Old Guard Insurance Company,01/20/26,11/10/25,,0.0,-2.0,-156,5,8233,-2.0,-2.0,Rate,False
1,832815eae4dd,PPA,Westfield Group,Old Guard Insurance Company,01/20/26,11/10/25,,0.0,-4.0,-642,8,16052,-4.0,-4.0,Rate,False
1,432a4a45a67c,PPA,Insurance Group,Progressive Classic Insurance Company,01/16/26,11/10/25,-0.058,-4.22,-2.713,-1414496,43367,52137716,21.844,-24.349,Rate,False
1,432a4a45a67c,PPA,Insurance Group,Progressive Max Insurance Company,01/16/26,11/10/25,-0.058,-0.058,-0.828,-586083,62519,70782945,23.816,-19.471,Rate,False
1,432a4a45a67c,PPA,Insurance Group,Progressive Classic Insurance Company,01/16/26,11/10/25,-4.22,-4.22,-2.713,-1414496,43367,52137716,21.844,-24.349,Rate,False
1,432a4a45a67c,PPA,Insurance Group,Progressive Max Insurance Company,01/16/26,11/10/25,-4.22,-0.058,-0.828,-586083,62519,70782945,23.816,-19.471,Rate,False
1,7a45cd869b86,HO,Insurance Group,Motorists Mutual Insurance Company,02/01/26,11/05/25,,0.0,0.0,0,607,1213078,4.7,-15.8,Rate,False
1,98ccb5c3a03f,PPA,,,02/13/26,11/04/25,,,,,,,,,Rate,True
1,890cc6c1a26a,HO,Erie Insurance Group,Erie Insurance Property and Casualty Company,03/01/26,11/04/25,,0.0,0.0,0,27303,35637000,0.0,0.0,Rate,False
1,34a78e86c87e,HO,Erie Insurance Group,Erie Insurance Company,03/01/26,11/04/25,,0.0,0.0,0,74340,91376000,0.0,0.0,Rate,False
1,244ea27e4118,PPA,,American Economy Insurance Company,01/08/26,11/03/25,-0.3,-0.3,0.0,-1705,5259,11689009,23.5,-58.5,Rate,False
1,35acc783f751,PPA,Insurance Group,West Virginia National Auto Insurance Company,10/28/25,10/28/25,,0.0,-20.0,-8417,46,38916,-34.0,-8.8,Rate,False
1,cfdca0f2cd07,PPA,,LM General Insurance Company,12/05/25,10/24/25,14.7,14.7,14.6,16751,212,114540,28.1,0.0,Rate,False
1,cfdca0f2cd07,PPA,,LM Insurance Corporation,12/05/25,10/24/25,14.7,14.7,19.8,439,4,2219,23.4,14.4,Rate,False
1,cfdca0f2cd07,PPA,,LM General Insurance Company,12/05/25,10/24/25,14.7,14.7,14.6,16751,212,114540,28.1,0.0,Rate,False
1,cfdca0f2cd07,PPA,,LM Insurance Corporation,12/05/25,10/24/25,14.7,14.7,19.8,439,4,2219,23.4,14.4,Rate,False
1,90f1df2b3fe7,HO,Erie Insurance Group,Erie Insurance Company,01/01/26,10/24/25,7.0,7.0,5.9,5433000,74172,91649367,40.0,-48.4,Rate,False
1,59b6e0feb09b,HO,,,10/17/25,10/17/25,,,,,,,,,Rate,True
1,5bb8d9203f7c,PPA,State Farm Group,State Farm Fire and Casualty Company,12/29/25,10/17/25,,,-11.1,-3014931,16701,27081620,,,Rate,False
1,5bb8d9203f7c,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,12/29/25,10/17/25,,,-9.0,-43050496,486539,479915241,,,Rate,False
1,5bb8d9203f7c,PPA,State Farm Group,State Farm Fire and Casualty Company,12/29/25,10/17/25,,,-11.1,-3014931,16701,27081620,,,Rate,False
1,5bb8d9203f7c,PPA,State Farm Group,State Farm Mutual Automobile Insurance Company,12/29/25,10/17/25,,,-9.0,-43050496,486539,479915241,,,Rate,False
1,4dd030a04a6a,PPA,,,02/01/26,10/02/25,-1.2,,,,,,,,Rate,False
1,dc663b4ef13b,HO,,,03/01/26,09/26/25,2.5,,,,,,,,Rate,False
1,d27816d6ab15,PPA,,Midvale Indemnity Company,12/09/25,09/26/25,,0.0,-2.9,-2619,35,88939,3.2,-5.3,Rate,False
1,d3c37c626be6,HO,,,09/24/25,09/24/25,2.7,,,,,,,,Rate,False
1,58ca1c23f7cf,PPA,,,11/21/25,09/22/25,,,,,,,,,Rate,False
1,ef2a333b2383,HO,,Farmers Group Property and Casualty Insurance Company,11/21/25,09/22/25,5.6,5.6,5.6,10000,127,162000,6.4,0.0,Rate,False
1,768fad54e098,PPA,Erie Insurance Group,Erie Insurance Property and Casualty Company,01/01/26,09/22/25,6.6,6.6,2.0,5919000,132019,298797000,26.2,-24.9,Rate,False
1,18286e61a75e,HO,,Armed Forces Insurance Exchange,02/23/26,09/22/25,2.1,2.1,2.1,7710,210,366992,2.63,1.37,Rate,False
1,41101d7a96b0,HO,Amica Mutual Group,Amica Mutual Insurance Company,03/01/26,09/22/25,4.4,4.4,4.0,67327,855,1683172,12.0,10.0,Rate,False
1,3df37f099b7e,PPA,Insurance Group,West Virginia National Auto Insurance Company,09/04/25,08/29/25,,0.0,-12.7,-2514,22,19393,-21.2,-4.9,Rate,False
1,7e24325d24d5,PPA,,Liberty Mutual Insurance Company,09/09/25,07/21/25,0.7,0.7,3.8,2412,28,64028,14.7,-14.2,Rate,False
1,7e24325d24d5,PPA,,Liberty Mutual Personal Insurance Company,09/09/25,07/21/25,0.7,0.7,0.0,-345,5585,15374811,19.3,-76.4,Rate,False
