date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result
2025-03-28,778560,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,43.92,45.88,2.0,57.2,0.0,9.2,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778549,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,54.91,37.45,17.5,53.5,0.0,8.9,10,8,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-28,778548,Miami Marlins,Pittsburgh Pirates,loanDepot park,45.8,42.69,3.1,59.2,0.0,9.3,7,3,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778550,Texas Rangers,Boston Red Sox,Globe Life Field,44.27,43.07,1.2,57.7,0.0,9.3,5,4,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778518,Houston Astros,New York Mets,Daikin Park,36.68,27.14,9.5,63.2,0.0,9.9,4,1,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778543,Arizona Diamondbacks,Chicago Cubs,Chase Field,38.87,42.04,3.2,59.1,0.0,9.4,9,8,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778541,Seattle Mariners,Athletics,T-Mobile Park,34.85,59.75,24.9,60.2,0.0,9.3,7,0,7,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET
2025-03-28,778542,San Diego Padres,Atlanta Braves,Petco Park,39.18,28.14,11.0,62.6,0.0,9.8,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-28,778544,Los Angeles Dodgers,Detroit Tigers,Dodger Stadium,44.7,33.3,11.4,60.5,0.0,9.6,13,8,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778538,New York Yankees,Milwaukee Brewers,Yankee Stadium,38.32,40.53,2.2,59.5,0.0,9.5,29,20,9,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778534,Chicago White Sox,Los Angeles Angels,Rate Field,42.09,41.86,0.2,59.8,0.0,9.4,1,0,1,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778528,St. Louis Cardinals,Minnesota Twins,Busch Stadium,42.75,53.04,10.3,58.5,0.0,9.2,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778536,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,71.5,33.38,38.1,53.0,0.0,8.7,14,5,9,False,HOME,HOME,0.6288,NO BET,,NO BET,LOSS,NO BET,NO BET
2025-03-29,778535,Washington Nationals,Philadelphia Phillies,Nationals Park,37.22,42.71,5.5,59.6,0.0,9.5,17,6,11,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778529,Kansas City Royals,Cleveland Guardians,Kauffman Stadium,37.78,37.97,0.2,61.5,0.0,9.6,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778540,Cincinnati Reds,San Francisco Giants,Great American Ball Park,37.71,42.0,4.3,60.5,0.0,9.5,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778537,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,58.99,37.51,21.5,59.4,0.0,9.3,3,1,2,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-03-29,778539,Miami Marlins,Pittsburgh Pirates,loanDepot park,52.94,33.39,19.5,61.3,0.0,9.5,9,5,4,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-29,778531,Texas Rangers,Boston Red Sox,Globe Life Field,54.07,48.19,5.9,55.1,0.0,8.9,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778530,Houston Astros,New York Mets,Daikin Park,29.26,28.41,0.9,65.2,0.0,10.1,3,2,1,True,NO BET,,,NO BET,,OVER,NO BET,NO BET,LOSS
2025-03-29,778520,San Diego Padres,Atlanta Braves,Petco Park,27.33,28.9,1.6,63.9,0.0,10.0,1,1,0,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778532,Arizona Diamondbacks,Chicago Cubs,Chase Field,42.41,35.33,7.1,60.2,0.0,9.5,7,3,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-29,778533,Los Angeles Dodgers,Detroit Tigers,Dodger Stadium,47.15,22.55,24.6,63.5,0.0,9.8,10,7,3,True,HOME,HOME,0.5327,NO BET,,NO BET,WIN,NO BET,NO BET
2025-03-29,778521,Seattle Mariners,Athletics,T-Mobile Park,33.52,26.57,7.0,65.3,0.0,10.1,6,2,4,False,NO BET,,,NO BET,,OVER,NO BET,NO BET,LOSS
2025-03-30,778526,Washington Nationals,Philadelphia Phillies,Nationals Park,39.78,44.12,4.3,58.7,0.0,9.4,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778523,New York Yankees,Milwaukee Brewers,Yankee Stadium,38.14,38.76,0.6,59.7,0.0,9.5,15,12,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778525,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,36.3,37.48,1.2,60.4,0.0,9.6,4,3,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778522,Cincinnati Reds,San Francisco Giants,Great American Ball Park,44.94,47.57,2.6,57.8,0.0,9.2,9,3,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778524,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,52.86,42.03,10.8,57.1,0.0,9.1,10,6,4,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778519,Miami Marlins,Pittsburgh Pirates,loanDepot park,50.63,31.43,19.2,62.1,0.0,9.6,5,3,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-30,778510,Kansas City Royals,Cleveland Guardians,Kauffman Stadium,44.01,52.89,8.9,56.5,0.0,9.1,8,2,6,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778527,Chicago White Sox,Los Angeles Angels,Rate Field,51.51,48.23,3.3,55.4,0.0,9.0,5,2,3,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778517,St. Louis Cardinals,Minnesota Twins,Busch Stadium,33.09,41.54,8.4,62.5,0.0,9.7,11,9,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778516,Texas Rangers,Boston Red Sox,Globe Life Field,57.14,52.3,4.8,55.2,0.0,8.8,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778515,Arizona Diamondbacks,Chicago Cubs,Chase Field,46.56,37.95,8.6,59.0,0.0,9.4,16,10,6,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778513,Seattle Mariners,Athletics,T-Mobile Park,44.56,45.17,0.6,57.1,0.0,9.2,3,2,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-30,778514,San Diego Padres,Atlanta Braves,Petco Park,42.18,25.04,17.1,63.3,0.0,9.9,5,5,0,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-31,778506,Chicago White Sox,Minnesota Twins,Rate Field,40.69,67.53,26.8,57.6,0.0,9.0,9,9,0,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET
2025-03-31,778504,Milwaukee Brewers,Kansas City Royals,American Family Field,34.61,39.34,4.7,64.3,0.0,9.8,12,1,11,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778512,Baltimore Orioles,Boston Red Sox,Oriole Park at Camden Yards,30.84,37.86,7.0,62.0,0.0,9.8,13,8,5,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778502,Philadelphia Phillies,Colorado Rockies,Citizens Bank Park,48.46,25.35,23.1,64.1,0.0,9.8,7,6,1,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-31,778511,Cincinnati Reds,Texas Rangers,Great American Ball Park,62.78,26.78,36.0,61.7,0.0,9.4,17,14,3,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-31,778509,Miami Marlins,New York Mets,loanDepot park,35.49,37.54,2.0,60.6,0.0,9.6,14,4,10,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778508,Tampa Bay Rays,Pittsburgh Pirates,George M. Steinbrenner Field,41.57,33.79,7.8,62.3,0.0,9.7,7,6,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778507,Toronto Blue Jays,Washington Nationals,Rogers Centre,34.98,40.93,6.0,62.0,0.0,9.7,7,5,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778503,St. Louis Cardinals,Los Angeles Angels,Busch Stadium,51.8,48.65,3.1,55.2,0.0,8.9,9,4,5,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778505,Houston Astros,San Francisco Giants,Daikin Park,40.57,29.34,11.2,63.7,0.0,9.9,9,2,7,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778499,San Diego Padres,Cleveland Guardians,Petco Park,41.63,25.04,16.6,63.3,0.0,9.9,9,7,2,True,NO BET,,,HOME,HOME,NO BET,NO BET,WIN,NO BET
2025-03-31,778496,Seattle Mariners,Detroit Tigers,T-Mobile Park,52.79,43.25,9.5,56.7,0.0,9.1,15,6,9,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-03-31,778501,Athletics,Chicago Cubs,Sutter Health Park,38.87,25.96,12.9,64.9,0.0,10.0,21,3,18,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET
2025-03-31,778500,Los Angeles Dodgers,Atlanta Braves,Dodger Stadium,41.48,31.63,9.8,61.4,0.0,9.7,7,6,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
2025-04-01,778498,Cincinnati Reds,Texas Rangers,Great American Ball Park,47.81,57.04,9.2,56.0,0.0,8.9,1,0,1,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET
