date,game_id,home_team,away_team,venue,home_edge_score,away_edge_score,edge_diff,ou_score,ou_convergence_boost,model_total,actual_total,home_score,away_score,home_won,bet_signal,bet_side,model_win_prob,diff_signal,diff_side,ou_signal,ml_result,diff_result,ou_result,home_zone,home_pitch,home_walk,home_hand,away_zone,away_pitch,away_walk,away_hand,park_factor,park_weather_adj,home_bp_mod,away_bp_mod,home_bullpen_score,away_bullpen_score,home_moneyline,away_moneyline,ml_signal,ml_model_prob,ml_line_prob,ml_value_edge,ml_bet_ml,ml_profit,diff_gap,diff_model_prob,diff_line_prob,diff_value_edge,diff_bet_ml,diff_profit
2025-03-28,778560,Tampa Bay Rays,Colorado Rockies,George M. Steinbrenner Field,37.68,34.12,3.6,59.7,0.0,9.5,5,3,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,5.95,16.94,5.24,12.5,0.0,14.41,14.65,7.5,1.0,0.0,0.0,0.0,55.0,55.0,-222.0,179.0,NO BET,,,,,,3.6,,,,,
2025-03-28,778549,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,40.77,37.2,3.6,52.7,0.0,8.9,10,8,2,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,1.62,20.83,8.56,10.0,1.08,18.68,9.88,10.0,1.0,3.0,0.0,0.0,55.0,55.0,-125.0,104.0,NO BET,,,,,,3.6,,,,,
2025-03-28,778548,Miami Marlins,Pittsburgh Pirates,loanDepot park,40.35,32.88,7.5,61.3,0.0,9.6,7,3,4,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,5.41,20.08,7.37,10.0,2.16,14.2,11.7,7.5,1.0,0.0,0.0,0.0,55.0,55.0,118.0,-135.0,NO BET,,,,,,7.5,,,,,
2025-03-28,778550,Texas Rangers,Boston Red Sox,Globe Life Field,35.4,32.02,3.4,59.9,0.0,9.5,5,4,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,10.81,11.47,3.22,10.0,3.78,17.22,6.39,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-105.0,-115.0,NO BET,,,,,,3.4,,,,,
2025-03-28,778518,Houston Astros,New York Mets,Daikin Park,46.3,31.05,15.2,60.0,0.0,9.5,4,1,3,False,NO BET,,,HOME,,NO BET,NO BET,NO VALUE,NO BET,16.76,4.87,9.89,10.0,6.49,10.78,5.42,12.5,1.0,0.0,0.0,0.0,55.0,55.0,-115.0,-105.0,NO BET,,,,,,15.2,53.8,51.1,2.7,,
2025-03-28,778543,Arizona Diamondbacks,Chicago Cubs,Chase Field,37.5,40.51,3.0,59.6,0.0,9.5,9,8,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,3.24,15.13,10.08,10.0,10.81,7.19,15.0,4.5,1.0,0.0,0.0,0.0,55.0,55.0,-143.0,125.0,NO BET,,,,,,3.0,,,,,
2025-03-28,778541,Seattle Mariners,Athletics,T-Mobile Park,32.85,50.58,17.7,60.5,0.0,9.4,7,0,7,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,WIN,NO BET,0.0,14.25,10.05,10.0,18.38,12.83,10.78,7.5,1.0,0.0,0.0,0.0,55.0,55.0,-139.0,120.0,NO BET,,,,,,17.7,54.4,43.9,10.6,120.0,120.0
2025-03-28,778542,San Diego Padres,Atlanta Braves,Petco Park,30.33,23.67,6.7,62.8,0.0,9.9,7,4,3,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,0.0,21.29,5.3,7.5,0.0,11.99,6.48,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-135.0,114.0,NO BET,,,,,,6.7,,,,,
2025-03-28,778544,Los Angeles Dodgers,Detroit Tigers,Dodger Stadium,44.29,66.73,22.4,54.4,0.0,8.8,13,8,5,True,NO BET,,,AWAY,AWAY,NO BET,NO BET,LOSS,NO BET,5.41,17.14,12.18,10.0,26.49,11.74,15.0,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-222.0,185.0,NO BET,,,,,,22.4,55.6,33.7,21.9,185.0,-100
2025-03-29,778538,New York Yankees,Milwaukee Brewers,Yankee Stadium,43.01,31.95,11.1,59.9,0.0,9.5,29,20,9,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,7.57,15.79,9.86,10.0,0.0,12.08,12.97,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-164.0,140.0,NO BET,,,,,,11.1,,,,,
2025-03-29,778534,Chicago White Sox,Los Angeles Angels,Rate Field,37.01,39.66,2.6,59.3,0.0,9.3,1,0,1,False,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,2.7,13.06,10.1,12.5,0.0,30.0,8.68,10.0,1.0,0.0,0.0,0.0,55.0,55.0,140.0,-161.0,NO BET,,,,,,2.6,,,,,
2025-03-29,778528,St. Louis Cardinals,Minnesota Twins,Busch Stadium,54.65,64.72,10.1,45.1,-8.0,8.3,6,5,1,True,NO BET,,,NO BET,,NO BET,NO BET,NO BET,NO BET,14.59,18.26,10.83,10.0,19.46,20.75,15.0,10.0,1.0,0.0,0.0,0.0,55.0,55.0,-110.0,-110.0,NO BET,,,,,,10.1,,,,,
2025-03-29,778536,Toronto Blue Jays,Baltimore Orioles,Rogers Centre,68.92,31.73,37.2,52.7,0.0,8.8,14,5,9,False,NO BET,,,HOME,HOME,NO BET,NO BET,LOSS,NO BET,24.86,14.03,13.56,7.5,2.7,13.87,6.78,10.0,1.0,3.0,0.0,0.0,55.0,55.0,-120.0,110.0,NO BET,,,,,,37.2,59.3,53.4,5.9,-120.0,-100
2025-03-29,778535,Washington Nationals,Philadelphia Phillies,Nationals Park,33.88,48.44,14.6,59.0,0.0,9.3,17,6,11,False,NO BET,,,AWAY,AWAY,NO BET,NO BET,NO VALUE,NO BET,1.62,9.69,11.94,10.0,16.22,17.57,7.12,10.0,1.0,0.0,0.0,0.0,55.0,55.0,135.0,-154.0,NO BET,,,,,,14.6,53.6,58.8,-5.1,,
