zone,pitch,walk,hand,ml_games,ml_win_rate,diff_games,diff_win_rate,rl_games,rl_win_by_2
30,35,15,20,193,60.1,1036,55.6,70,45.7
40,40,5,15,189,59.8,1157,53.8,79,39.2
40,45,10,5,210,59.5,1229,53.8,98,36.7
30,30,20,20,184,59.2,1019,54.0,71,42.3
35,30,25,10,193,59.1,1137,54.7,80,40.0
50,30,20,0,156,59.0,1236,54.0,82,32.9
40,45,5,10,217,59.0,1214,53.7,101,38.6
45,45,5,5,200,59.0,1263,53.1,101,39.6
35,40,10,15,197,58.9,1118,54.7,81,37.0
40,30,15,15,146,58.9,1068,53.8,55,40.0
40,45,15,0,204,58.8,1266,54.5,103,37.9
30,25,25,20,199,58.8,1053,53.6,72,41.7
45,30,15,10,143,58.7,1125,54.4,60,36.7
30,40,10,20,215,58.6,1091,54.4,88,44.3
35,20,25,20,176,58.5,1054,53.0,67,40.3
50,35,10,5,151,58.3,1212,54.0,80,36.2
50,25,15,10,141,58.2,1154,53.9,61,39.3
40,20,20,20,134,58.2,1029,53.4,55,41.8
45,30,20,5,155,58.1,1169,54.6,76,32.9
25,40,15,20,265,58.1,1091,54.4,105,41.0
35,45,10,10,222,58.1,1187,54.0,106,41.5
35,40,5,20,212,58.0,1116,54.0,84,40.5
35,25,20,20,162,58.0,1012,53.8,56,39.3
35,45,20,0,238,58.0,1270,53.8,115,38.3
45,40,5,10,176,58.0,1220,53.6,87,37.9
50,45,5,0,188,58.0,1317,53.5,103,39.8
50,30,15,5,147,57.8,1195,54.1,72,34.7
40,40,10,10,180,57.8,1169,53.7,83,36.1
45,40,10,5,168,57.7,1206,53.8,92,37.0
30,40,15,15,226,57.5,1108,54.6,95,40.0
30,45,10,15,252,57.5,1154,54.2,114,40.4
40,35,5,20,167,57.5,1101,54.0,70,34.3
30,45,5,20,272,57.4,1151,54.4,117,41.9
40,25,25,10,169,57.4,1125,54.4,71,36.6
45,30,10,15,136,57.4,1095,54.2,62,35.5
40,40,20,0,197,57.4,1239,54.0,97,38.1
35,45,5,15,237,57.4,1170,53.3,104,39.4
25,35,20,20,241,57.3,1067,54.1,94,41.5
30,45,25,0,302,57.3,1279,53.3,145,40.7
45,35,15,5,152,57.2,1166,54.8,84,34.5
40,25,20,15,152,57.2,1047,54.4,59,40.7
35,25,25,15,180,57.2,1082,54.3,66,40.9
45,25,25,5,159,57.2,1174,54.3,77,33.8
35,30,20,15,173,57.2,1051,54.2,62,40.3
50,30,10,10,138,57.2,1157,54.0,64,37.5
50,40,5,5,173,57.2,1267,53.0,91,38.5
30,35,20,15,217,57.1,1081,54.9,84,41.7
25,45,10,20,317,57.1,1117,54.5,130,41.5
35,35,25,5,212,57.1,1178,54.1,97,37.1
35,40,25,0,238,57.1,1238,53.8,109,37.6
45,25,15,15,140,57.1,1074,53.8,54,38.9
25,40,25,10,310,57.1,1188,53.6,129,38.0
40,35,10,15,161,57.1,1086,53.2,65,35.4
40,20,25,15,168,57.1,1093,52.6,64,42.2
25,45,15,15,302,57.0,1148,54.7,127,40.2
30,45,15,10,251,57.0,1186,54.3,114,43.0
25,40,20,15,272,57.0,1121,53.5,111,40.5
30,45,20,5,265,57.0,1233,53.4,122,41.0
45,20,20,15,135,57.0,1070,53.4,56,41.1
25,45,20,10,304,56.9,1191,53.9,143,39.2
50,20,20,10,144,56.9,1166,53.9,65,36.9
25,35,25,15,271,56.8,1138,54.6,114,42.1
45,35,5,15,155,56.8,1146,54.1,73,35.6
45,45,10,0,199,56.8,1287,53.8,99,35.4
50,35,5,10,155,56.8,1215,53.3,77,37.7
35,35,20,10,194,56.7,1120,55.5,78,37.2
30,30,25,15,208,56.7,1097,54.9,88,37.5
50,40,10,0,164,56.7,1269,53.5,88,38.6
50,25,10,15,134,56.7,1107,53.3,56,35.7
40,30,25,5,184,56.5,1167,54.4,83,33.7
35,45,15,5,225,56.4,1225,54.5,112,39.3
25,45,25,5,341,56.3,1261,53.1,167,37.7
45,30,5,20,144,56.2,1092,54.7,64,32.8
30,40,25,5,265,56.2,1205,53.7,119,41.2
45,20,15,20,128,56.2,1062,53.7,51,37.3
50,30,5,15,137,56.2,1161,53.3,66,34.8
40,35,15,10,164,56.1,1116,54.3,74,35.1
35,30,15,20,159,56.0,1017,55.1,53,39.6
40,40,15,5,184,56.0,1184,54.9,91,38.5
50,35,15,0,159,56.0,1243,54.5,87,35.6
30,35,25,10,236,55.9,1144,55.3,103,39.8
40,30,20,10,170,55.9,1096,54.7,67,38.8
35,35,15,15,177,55.9,1078,54.6,63,38.1
40,30,10,20,136,55.9,1029,54.4,58,37.9
35,40,20,5,213,55.9,1193,54.0,98,37.8
45,30,25,0,181,55.8,1221,54.1,89,36.0
45,25,20,10,147,55.8,1111,53.9,62,38.7
45,35,10,10,147,55.8,1144,53.8,70,34.3
40,35,20,5,183,55.7,1162,54.7,83,34.9
35,35,10,20,176,55.7,1044,54.2,68,38.2
50,25,20,5,149,55.7,1169,54.2,71,32.4
45,20,25,10,158,55.7,1134,52.6,73,42.5
50,20,25,5,153,55.6,1190,53.6,77,37.7
45,25,10,20,128,55.5,1057,53.7,55,36.4
35,40,15,10,204,55.4,1144,54.5,90,38.9
45,35,20,0,177,55.4,1214,54.5,88,35.2
25,30,25,20,246,55.3,1082,53.9,103,38.8
40,25,15,20,134,55.2,1023,54.7,54,38.9
45,40,15,0,176,55.1,1249,54.2,92,37.0
40,35,25,0,200,55.0,1230,54.2,94,39.4
50,25,25,0,162,54.9,1248,53.8,85,32.9
50,25,5,20,129,54.3,1115,53.1,64,32.8
30,40,20,10,237,54.0,1157,54.5,100,44.0
50,20,15,15,132,53.0,1110,53.7,55,36.4
50,20,10,20,126,52.4,1082,53.0,57,33.3
