game_date,game_datetime,home_team,away_team,home_odds,away_odds,home_score,away_score,home_team_abbr,away_team_abbr
2025-11-01,2025-11-01,141,119,120.0,-135.0,4,5,Toronto Blue Jays,Los Angeles Dodgers
2025-10-31,2025-10-31,141,119,120.0,-141.0,1,3,Toronto Blue Jays,Los Angeles Dodgers
2025-10-29,2025-10-29,119,141,-200.0,170.0,1,6,Los Angeles Dodgers,Toronto Blue Jays
2025-10-28,2025-10-28,119,141,-200.0,170.0,2,6,Los Angeles Dodgers,Toronto Blue Jays
2025-10-27,2025-10-27,119,141,-200.0,165.0,6,5,Los Angeles Dodgers,Toronto Blue Jays
2025-10-25,2025-10-25,141,119,,,1,5,Toronto Blue Jays,Los Angeles Dodgers
2025-10-24,2025-10-24,141,119,129.0,-149.0,11,4,Toronto Blue Jays,Los Angeles Dodgers
2025-10-20,2025-10-20,141,136,-130.0,114.0,4,3,Toronto Blue Jays,Seattle Mariners
2025-10-19,2025-10-19,141,136,-120.0,100.0,6,2,Toronto Blue Jays,Seattle Mariners
2025-10-17,2025-10-17,119,158,-204.0,170.0,5,1,Los Angeles Dodgers,Milwaukee Brewers
2025-10-17,2025-10-17,136,141,-105.0,-110.0,6,2,Seattle Mariners,Toronto Blue Jays
2025-10-16,2025-10-16,136,141,-130.0,114.0,2,8,Seattle Mariners,Toronto Blue Jays
2025-10-16,2025-10-16,119,158,-164.0,140.0,3,1,Los Angeles Dodgers,Milwaukee Brewers
2025-10-15,2025-10-15,136,141,-130.0,114.0,4,13,Seattle Mariners,Toronto Blue Jays
2025-10-14,2025-10-14,158,119,100.0,-120.0,1,5,Milwaukee Brewers,Los Angeles Dodgers
2025-10-13,2025-10-13,158,119,129.0,-154.0,1,2,Milwaukee Brewers,Los Angeles Dodgers
2025-10-13,2025-10-13,141,136,-125.0,104.0,3,10,Toronto Blue Jays,Seattle Mariners
2025-10-12,2025-10-12,141,136,-167.0,145.0,1,3,Toronto Blue Jays,Seattle Mariners
2025-10-11,2025-10-11,158,112,-135.0,114.0,3,1,Milwaukee Brewers,Chicago Cubs
2025-10-10,2025-10-10,136,116,100.0,-120.0,3,2,Seattle Mariners,Detroit Tigers
2025-10-09,2025-10-09,112,158,100.0,-115.0,6,0,Chicago Cubs,Milwaukee Brewers
2025-10-09,2025-10-09,119,143,-135.0,120.0,2,1,Los Angeles Dodgers,Philadelphia Phillies
2025-10-08,2025-10-08,119,143,-182.0,154.0,2,8,Los Angeles Dodgers,Philadelphia Phillies
2025-10-08,2025-10-08,147,141,-169.0,145.0,2,5,New York Yankees,Toronto Blue Jays
2025-10-08,2025-10-08,112,158,-110.0,-105.0,4,3,Chicago Cubs,Milwaukee Brewers
2025-10-08,2025-10-08,116,136,-110.0,-110.0,9,3,Detroit Tigers,Seattle Mariners
2025-10-07,2025-10-07,147,141,-169.0,145.0,9,6,New York Yankees,Toronto Blue Jays
2025-10-07,2025-10-07,116,136,120.0,-135.0,4,8,Detroit Tigers,Seattle Mariners
2025-10-06,2025-10-06,158,112,-135.0,120.0,7,3,Milwaukee Brewers,Chicago Cubs
2025-10-06,2025-10-06,143,119,-110.0,-110.0,3,4,Philadelphia Phillies,Los Angeles Dodgers
2025-10-05,2025-10-05,136,116,125.0,-149.0,3,2,Seattle Mariners,Detroit Tigers
2025-10-05,2025-10-05,141,147,129.0,-154.0,13,7,Toronto Blue Jays,New York Yankees
2025-10-04,2025-10-04,136,116,-189.0,165.0,2,3,Seattle Mariners,Detroit Tigers
2025-10-04,2025-10-04,143,119,-115.0,-105.0,3,5,Philadelphia Phillies,Los Angeles Dodgers
2025-10-04,2025-10-04,141,147,-118.0,100.0,10,1,Toronto Blue Jays,New York Yankees
2025-10-04,2025-10-04,158,112,-141.0,120.0,9,3,Milwaukee Brewers,Chicago Cubs
